dataset_id,doi,license,sample_id,label,top_category,project_id,source_group,split_group,acquisition_id,extension,modality,file_role,size_bytes,sha256,relative_path,root_relative_path,absolute_path,manifest_date,blind_external_eligible,blind_external_reason
zenodo_14637589,10.5281/zenodo.14637589,cc-by-4.0,zenodo_14637589_00000,pipe,pipe,001.MIS,pipe/001.MIS,pipe/001.MIS,180922AA.ZON,.dt,raw_gpr_trace,raw_trace,287840,f1cc3fec2480104574425134c2f481041d8aaeb9d5b94015086a672f1aa73658,pipe/001.MIS/180922AA.ZON/LID10001.dt,external_assets/zenodo_gpr_14637589/extracted/Data Set/pipe/001.MIS/180922AA.ZON/LID10001.dt,<LOCAL_DATA_ROOT>\external_assets\zenodo_gpr_14637589\extracted\Data Set\pipe\001.MIS\180922AA.ZON\LID10001.dt,2026-08-11,False,public labelled or organized dataset; labels are visible before prediction freeze
zenodo_14637589,10.5281/zenodo.14637589,cc-by-4.0,zenodo_14637589_00001,pipe,pipe,001.MIS,pipe/001.MIS,pipe/001.MIS,180922AB.ZON,.dt,raw_gpr_trace,raw_trace,531476,b3a59bcae170ef8e499d664018b118d96af5dccd24ccbd1bfefcd141648b96aa,pipe/001.MIS/180922AB.ZON/LID10001.dt,external_assets/zenodo_gpr_14637589/extracted/Data Set/pipe/001.MIS/180922AB.ZON/LID10001.dt,<LOCAL_DATA_ROOT>\external_assets\zenodo_gpr_14637589\extracted\Data Set\pipe\001.MIS\180922AB.ZON\LID10001.dt,2026-08-11,False,public labelled or organized dataset; labels are visible before prediction freeze
zenodo_14637589,10.5281/zenodo.14637589,cc-by-4.0,zenodo_14637589_00002,pipe,pipe,001.MIS,pipe/001.MIS,pipe/001.MIS,180922AC.ZON,.dt,raw_gpr_trace,raw_trace,556148,db217ddc480c91e6175330310e0c603acf675cc119ba73fdb51feaeebf627803,pipe/001.MIS/180922AC.ZON/LID10002.dt,external_assets/zenodo_gpr_14637589/extracted/Data Set/pipe/001.MIS/180922AC.ZON/LID10002.dt,<LOCAL_DATA_ROOT>\external_assets\zenodo_gpr_14637589\extracted\Data Set\pipe\001.MIS\180922AC.ZON\LID10002.dt,2026-08-11,False,public labelled or organized dataset; labels are visible before prediction freeze
zenodo_14637589,10.5281/zenodo.14637589,cc-by-4.0,zenodo_14637589_00003,pipe,pipe,001.MIS,pipe/001.MIS,pipe/001.MIS,180922AD.ZON,.dt,raw_gpr_trace,raw_trace,555120,1a958a042ef02175ea9a038aec8dcf3215c070cdd5199fb2c27a37632353c3c9,pipe/001.MIS/180922AD.ZON/LID10001.dt,external_assets/zenodo_gpr_14637589/extracted/Data Set/pipe/001.MIS/180922AD.ZON/LID10001.dt,<LOCAL_DATA_ROOT>\external_assets\zenodo_gpr_14637589\extracted\Data Set\pipe\001.MIS\180922AD.ZON\LID10001.dt,2026-08-11,False,public labelled or organized dataset; labels are visible before prediction freeze
zenodo_14637589,10.5281/zenodo.14637589,cc-by-4.0,zenodo_14637589_00004,pipe,pipe,001.MIS,pipe/001.MIS,pipe/001.MIS,180922AE.ZON,.dt,raw_gpr_trace,raw_trace,231300,b9e8761411e07003e2268f54960a07b42468240c7b57d3747a88b45f26620b95,pipe/001.MIS/180922AE.ZON/LID10001.dt,external_assets/zenodo_gpr_14637589/extracted/Data Set/pipe/001.MIS/180922AE.ZON/LID10001.dt,<LOCAL_DATA_ROOT>\external_assets\zenodo_gpr_14637589\extracted\Data Set\pipe\001.MIS\180922AE.ZON\LID10001.dt,2026-08-11,False,public labelled or organized dataset; labels are visible before prediction freeze
zenodo_14637589,10.5281/zenodo.14637589,cc-by-4.0,zenodo_14637589_00005,pipe,pipe,001.MIS,pipe/001.MIS,pipe/001.MIS,190321AA.ZON,.dt,raw_gpr_trace,raw_trace,137752,44958e47c8289cffa69a88423a7ec03ac37999aa34f50f661cf03fe437e4ed62,pipe/001.MIS/190321AA.ZON/LID10001.dt,external_assets/zenodo_gpr_14637589/extracted/Data Set/pipe/001.MIS/190321AA.ZON/LID10001.dt,<LOCAL_DATA_ROOT>\external_assets\zenodo_gpr_14637589\extracted\Data Set\pipe\001.MIS\190321AA.ZON\LID10001.dt,2026-08-11,False,public labelled or organized dataset; labels are visible before prediction freeze
zenodo_14637589,10.5281/zenodo.14637589,cc-by-4.0,zenodo_14637589_00006,pipe,pipe,001.MIS,pipe/001.MIS,pipe/001.MIS,190321AA.ZON,.dt,raw_gpr_trace,raw_trace,138780,a5f8e86c420fdf0ffba1b49e29a88232508b1d0e68f74a1b1e2738e85070a1e0,pipe/001.MIS/190321AA.ZON/LID10002.dt,external_assets/zenodo_gpr_14637589/extracted/Data Set/pipe/001.MIS/190321AA.ZON/LID10002.dt,<LOCAL_DATA_ROOT>\external_assets\zenodo_gpr_14637589\extracted\Data Set\pipe\001.MIS\190321AA.ZON\LID10002.dt,2026-08-11,False,public labelled or organized dataset; labels are visible before prediction freeze
zenodo_14637589,10.5281/zenodo.14637589,cc-by-4.0,zenodo_14637589_00007,pipe,pipe,001.MIS,pipe/001.MIS,pipe/001.MIS,190321AA.ZON,.dt,raw_gpr_trace,raw_trace,126444,d0e76c7e0830df807e90aad3199fc86c825f504aa61a1ceaa53f83950a709aa3,pipe/001.MIS/190321AA.ZON/LID10003.dt,external_assets/zenodo_gpr_14637589/extracted/Data Set/pipe/001.MIS/190321AA.ZON/LID10003.dt,<LOCAL_DATA_ROOT>\external_assets\zenodo_gpr_14637589\extracted\Data Set\pipe\001.MIS\190321AA.ZON\LID10003.dt,2026-08-11,False,public labelled or organized dataset; labels are visible before prediction freeze
zenodo_14637589,10.5281/zenodo.14637589,cc-by-4.0,zenodo_14637589_00008,pipe,pipe,0701,pipe/0701,pipe/0701,ASCII,.rd3,raw_gpr_trace,raw_trace,721500,aab54063a358c1b921c4867073d5e8bfcb67b7d8b66ea07e1a2c830bbce545df,pipe/0701/ASCII_707-01/ASCII/LA010001.RD3,external_assets/zenodo_gpr_14637589/extracted/Data Set/pipe/0701/ASCII_707-01/ASCII/LA010001.RD3,<LOCAL_DATA_ROOT>\external_assets\zenodo_gpr_14637589\extracted\Data Set\pipe\0701\ASCII_707-01\ASCII\LA010001.RD3,2026-08-11,False,public labelled or organized dataset; labels are visible before prediction freeze
zenodo_14637589,10.5281/zenodo.14637589,cc-by-4.0,zenodo_14637589_00009,pipe,pipe,0701,pipe/0701,pipe/0701,ASCII,.rd3,raw_gpr_trace,raw_trace,741988,d1e1a67e1bbf35991d8b898585bb19986437929913157691fd32d8315a804ea2,pipe/0701/ASCII_707-01/ASCII/LA010002.RD3,external_assets/zenodo_gpr_14637589/extracted/Data Set/pipe/0701/ASCII_707-01/ASCII/LA010002.RD3,<LOCAL_DATA_ROOT>\external_assets\zenodo_gpr_14637589\extracted\Data Set\pipe\0701\ASCII_707-01\ASCII\LA010002.RD3,2026-08-11,False,public labelled or organized dataset; labels are visible before prediction freeze
