sample_id,dataset,subset,split_role,label,source_group,image_abs_path,image_rel_path_from_cns1,image_sha256,mask_abs_path,mask_rel_path_from_cns1,mask_sha256,width_px,height_px,image_size_bytes,mask_size_bytes,foreground_ratio,has_annotation
zenodo_mcg_gpr::DOWNSTREAM::D_TEST::AA169,zenodo_mcg_gpr_14270869,DOWNSTREAM,test,foreground_present,DOWNSTREAM::D_TEST,<LOCAL_DATA_ROOT>\external_assets\zenodo_mcg_gpr_14270869\extracted\images\DOWNSTREAM\D_TEST\AA169.png,external_assets/zenodo_mcg_gpr_14270869/extracted/images/DOWNSTREAM/D_TEST/AA169.png,b277008184277aa839730b6ccef4a894287ad66453f7a596dbf51968ea976e83,<LOCAL_DATA_ROOT>\external_assets\zenodo_mcg_gpr_14270869\extracted\annotations\DOWNSTREAM\D_TEST\AA169.png,external_assets/zenodo_mcg_gpr_14270869/extracted/annotations/DOWNSTREAM/D_TEST/AA169.png,4a894b07c4b2c248ef0d4dbbe34f21e3b93a6f44eb248bfad5043f074e4ed1c1,720,340,223520,20924,0.18725490,true
zenodo_mcg_gpr::DOWNSTREAM::D_TEST::AA170,zenodo_mcg_gpr_14270869,DOWNSTREAM,test,foreground_present,DOWNSTREAM::D_TEST,<LOCAL_DATA_ROOT>\external_assets\zenodo_mcg_gpr_14270869\extracted\images\DOWNSTREAM\D_TEST\AA170.png,external_assets/zenodo_mcg_gpr_14270869/extracted/images/DOWNSTREAM/D_TEST/AA170.png,d7f53490da2b12722116d732dfac9a315e09ed427dcaa01fb536013fe7caaf33,<LOCAL_DATA_ROOT>\external_assets\zenodo_mcg_gpr_14270869\extracted\annotations\DOWNSTREAM\D_TEST\AA170.png,external_assets/zenodo_mcg_gpr_14270869/extracted/annotations/DOWNSTREAM/D_TEST/AA170.png,3e426e00372997ddeaaffb0525b7ada42dee22e9e784fcd233310f95ba9fba73,720,340,297609,29864,0.29413807,true
zenodo_mcg_gpr::DOWNSTREAM::D_TEST::AA171,zenodo_mcg_gpr_14270869,DOWNSTREAM,test,foreground_present,DOWNSTREAM::D_TEST,<LOCAL_DATA_ROOT>\external_assets\zenodo_mcg_gpr_14270869\extracted\images\DOWNSTREAM\D_TEST\AA171.png,external_assets/zenodo_mcg_gpr_14270869/extracted/images/DOWNSTREAM/D_TEST/AA171.png,4048634da0410f369fe27adf94726bf95d38226881b6c186c2cb5c3c737ddfa5,<LOCAL_DATA_ROOT>\external_assets\zenodo_mcg_gpr_14270869\extracted\annotations\DOWNSTREAM\D_TEST\AA171.png,external_assets/zenodo_mcg_gpr_14270869/extracted/annotations/DOWNSTREAM/D_TEST/AA171.png,91ab2cfd92e6713940349121d7e416aded38503b239332a1314a67af9d0f9454,720,340,276455,24705,0.25810866,true
zenodo_mcg_gpr::DOWNSTREAM::D_TEST::AA172,zenodo_mcg_gpr_14270869,DOWNSTREAM,test,foreground_present,DOWNSTREAM::D_TEST,<LOCAL_DATA_ROOT>\external_assets\zenodo_mcg_gpr_14270869\extracted\images\DOWNSTREAM\D_TEST\AA172.png,external_assets/zenodo_mcg_gpr_14270869/extracted/images/DOWNSTREAM/D_TEST/AA172.png,c113b003efa2012b8212dc5956e0f1a28ded47ed3321c5bb134b3b4e8f444eda,<LOCAL_DATA_ROOT>\external_assets\zenodo_mcg_gpr_14270869\extracted\annotations\DOWNSTREAM\D_TEST\AA172.png,external_assets/zenodo_mcg_gpr_14270869/extracted/annotations/DOWNSTREAM/D_TEST/AA172.png,7ca1de82361ff844f9767b1264a43c7346799da943a8668e53398d68312803cc,720,340,256950,22800,0.26694036,true
zenodo_mcg_gpr::DOWNSTREAM::D_TEST::AA173,zenodo_mcg_gpr_14270869,DOWNSTREAM,test,foreground_present,DOWNSTREAM::D_TEST,<LOCAL_DATA_ROOT>\external_assets\zenodo_mcg_gpr_14270869\extracted\images\DOWNSTREAM\D_TEST\AA173.png,external_assets/zenodo_mcg_gpr_14270869/extracted/images/DOWNSTREAM/D_TEST/AA173.png,29c4ae9e9d95a38b7b1470a76baf8d2dcf5469f835d4eef63c2d46c14ea2f67d,<LOCAL_DATA_ROOT>\external_assets\zenodo_mcg_gpr_14270869\extracted\annotations\DOWNSTREAM\D_TEST\AA173.png,external_assets/zenodo_mcg_gpr_14270869/extracted/annotations/DOWNSTREAM/D_TEST/AA173.png,e6b31e8b5eb1c0fdc42af17c38b854a25c67f6df7508199be4fda0dbdf317259,720,340,276790,24993,0.26123775,true
zenodo_mcg_gpr::DOWNSTREAM::D_TEST::AA174,zenodo_mcg_gpr_14270869,DOWNSTREAM,test,foreground_present,DOWNSTREAM::D_TEST,<LOCAL_DATA_ROOT>\external_assets\zenodo_mcg_gpr_14270869\extracted\images\DOWNSTREAM\D_TEST\AA174.png,external_assets/zenodo_mcg_gpr_14270869/extracted/images/DOWNSTREAM/D_TEST/AA174.png,f4ab5814a43adec729b0a15d98770dc03eedd8e56005756448c16a72d6c6b49c,<LOCAL_DATA_ROOT>\external_assets\zenodo_mcg_gpr_14270869\extracted\annotations\DOWNSTREAM\D_TEST\AA174.png,external_assets/zenodo_mcg_gpr_14270869/extracted/annotations/DOWNSTREAM/D_TEST/AA174.png,4ebb6c4e823ea45a92314536575a25a24c98b1f37928dcbe5fb5a62b83c0011b,720,340,203164,26888,0.24152369,true
zenodo_mcg_gpr::DOWNSTREAM::D_TEST::AA175,zenodo_mcg_gpr_14270869,DOWNSTREAM,test,foreground_present,DOWNSTREAM::D_TEST,<LOCAL_DATA_ROOT>\external_assets\zenodo_mcg_gpr_14270869\extracted\images\DOWNSTREAM\D_TEST\AA175.png,external_assets/zenodo_mcg_gpr_14270869/extracted/images/DOWNSTREAM/D_TEST/AA175.png,d77f0e9cb6c50ce4122ecc94b4db2057a8a4eadf78c7b03a2ced93967760a5e5,<LOCAL_DATA_ROOT>\external_assets\zenodo_mcg_gpr_14270869\extracted\annotations\DOWNSTREAM\D_TEST\AA175.png,external_assets/zenodo_mcg_gpr_14270869/extracted/annotations/DOWNSTREAM/D_TEST/AA175.png,6cc0338dc0d6fdb00624f15d34c826f7d56859ed9904260f6fe405c0ebf30c55,720,340,295477,28765,0.27931781,true
zenodo_mcg_gpr::DOWNSTREAM::D_TEST::AA176,zenodo_mcg_gpr_14270869,DOWNSTREAM,test,foreground_present,DOWNSTREAM::D_TEST,<LOCAL_DATA_ROOT>\external_assets\zenodo_mcg_gpr_14270869\extracted\images\DOWNSTREAM\D_TEST\AA176.png,external_assets/zenodo_mcg_gpr_14270869/extracted/images/DOWNSTREAM/D_TEST/AA176.png,cded56a27b6540bc1518019b6ee544fb9241bb771866b9a062fcc6db6d2ce1db,<LOCAL_DATA_ROOT>\external_assets\zenodo_mcg_gpr_14270869\extracted\annotations\DOWNSTREAM\D_TEST\AA176.png,external_assets/zenodo_mcg_gpr_14270869/extracted/annotations/DOWNSTREAM/D_TEST/AA176.png,e1ee9615e2cf7719139d62af37b4bf0b752f8e289e74e90acf59b6d2ded8d36e,720,340,239595,22721,0.24892974,true
zenodo_mcg_gpr::DOWNSTREAM::D_TEST::AA177,zenodo_mcg_gpr_14270869,DOWNSTREAM,test,foreground_present,DOWNSTREAM::D_TEST,<LOCAL_DATA_ROOT>\external_assets\zenodo_mcg_gpr_14270869\extracted\images\DOWNSTREAM\D_TEST\AA177.png,external_assets/zenodo_mcg_gpr_14270869/extracted/images/DOWNSTREAM/D_TEST/AA177.png,2fae5d70008af55207f825dd7441cd8a41167fc8f18d2ef7f4d7d5bcf08c927e,<LOCAL_DATA_ROOT>\external_assets\zenodo_mcg_gpr_14270869\extracted\annotations\DOWNSTREAM\D_TEST\AA177.png,external_assets/zenodo_mcg_gpr_14270869/extracted/annotations/DOWNSTREAM/D_TEST/AA177.png,869fb550ed7c895e770bbfddd18a57befb6e3d5f6ef27463bf2bd823e9c837a3,720,340,256114,21729,0.24227941,true
zenodo_mcg_gpr::DOWNSTREAM::D_TEST::AA178,zenodo_mcg_gpr_14270869,DOWNSTREAM,test,foreground_present,DOWNSTREAM::D_TEST,<LOCAL_DATA_ROOT>\external_assets\zenodo_mcg_gpr_14270869\extracted\images\DOWNSTREAM\D_TEST\AA178.png,external_assets/zenodo_mcg_gpr_14270869/extracted/images/DOWNSTREAM/D_TEST/AA178.png,d7959a2269f9d1e7a70cce0c446a3024003471317447942b03416bce814b7876,<LOCAL_DATA_ROOT>\external_assets\zenodo_mcg_gpr_14270869\extracted\annotations\DOWNSTREAM\D_TEST\AA178.png,external_assets/zenodo_mcg_gpr_14270869/extracted/annotations/DOWNSTREAM/D_TEST/AA178.png,2386eb38953f7a3613ad5545b9905edb2c5ead5a5d21988e574744b86f150de9,720,340,225095,17446,0.19969771,true
