seed,method,metric,value
20260811,raw_source_only,accuracy,0.375
20260811,raw_source_only,balanced_accuracy,0.38571428571428573
20260811,raw_source_only,macro_f1,0.27923976608187134
20260811,per_matrix_zscore_source_only,accuracy,0.5
20260811,per_matrix_zscore_source_only,balanced_accuracy,0.37142857142857144
20260811,per_matrix_zscore_source_only,macro_f1,0.326984126984127
20260811,mean_std_unlabeled_target,accuracy,0.3333333333333333
20260811,mean_std_unlabeled_target,balanced_accuracy,0.27619047619047615
20260811,mean_std_unlabeled_target,macro_f1,0.1875
20260811,coral_unlabeled_target,accuracy,0.375
20260811,coral_unlabeled_target,balanced_accuracy,0.3428571428571429
20260811,coral_unlabeled_target,macro_f1,0.3149350649350649
20260811,delta_per_matrix_zscore_minus_raw,accuracy,0.125
20260811,delta_per_matrix_zscore_minus_raw,balanced_accuracy,-0.01428571428571429
20260811,delta_per_matrix_zscore_minus_raw,macro_f1,0.047744360902255645
20260811,delta_mean_std_minus_raw,accuracy,-0.041666666666666685
20260811,delta_mean_std_minus_raw,balanced_accuracy,-0.10952380952380958
20260811,delta_mean_std_minus_raw,macro_f1,-0.09173976608187134
20260811,delta_coral_minus_raw,accuracy,0.0
20260811,delta_coral_minus_raw,balanced_accuracy,-0.042857142857142816
20260811,delta_coral_minus_raw,macro_f1,0.03569529885319356
20260812,raw_source_only,accuracy,0.375
20260812,raw_source_only,balanced_accuracy,0.38571428571428573
20260812,raw_source_only,macro_f1,0.27923976608187134
20260812,per_matrix_zscore_source_only,accuracy,0.5
20260812,per_matrix_zscore_source_only,balanced_accuracy,0.37142857142857144
20260812,per_matrix_zscore_source_only,macro_f1,0.326984126984127
20260812,mean_std_unlabeled_target,accuracy,0.3333333333333333
20260812,mean_std_unlabeled_target,balanced_accuracy,0.27619047619047615
20260812,mean_std_unlabeled_target,macro_f1,0.1875
20260812,coral_unlabeled_target,accuracy,0.375
20260812,coral_unlabeled_target,balanced_accuracy,0.3428571428571429
20260812,coral_unlabeled_target,macro_f1,0.3149350649350649
20260812,delta_per_matrix_zscore_minus_raw,accuracy,0.125
20260812,delta_per_matrix_zscore_minus_raw,balanced_accuracy,-0.01428571428571429
20260812,delta_per_matrix_zscore_minus_raw,macro_f1,0.047744360902255645
20260812,delta_mean_std_minus_raw,accuracy,-0.041666666666666685
20260812,delta_mean_std_minus_raw,balanced_accuracy,-0.10952380952380958
20260812,delta_mean_std_minus_raw,macro_f1,-0.09173976608187134
20260812,delta_coral_minus_raw,accuracy,0.0
20260812,delta_coral_minus_raw,balanced_accuracy,-0.042857142857142816
20260812,delta_coral_minus_raw,macro_f1,0.03569529885319356
20260813,raw_source_only,accuracy,0.375
20260813,raw_source_only,balanced_accuracy,0.38571428571428573
20260813,raw_source_only,macro_f1,0.27923976608187134
20260813,per_matrix_zscore_source_only,accuracy,0.5
20260813,per_matrix_zscore_source_only,balanced_accuracy,0.37142857142857144
20260813,per_matrix_zscore_source_only,macro_f1,0.326984126984127
20260813,mean_std_unlabeled_target,accuracy,0.3333333333333333
20260813,mean_std_unlabeled_target,balanced_accuracy,0.27619047619047615
20260813,mean_std_unlabeled_target,macro_f1,0.1875
20260813,coral_unlabeled_target,accuracy,0.375
20260813,coral_unlabeled_target,balanced_accuracy,0.3428571428571429
20260813,coral_unlabeled_target,macro_f1,0.3149350649350649
20260813,delta_per_matrix_zscore_minus_raw,accuracy,0.125
20260813,delta_per_matrix_zscore_minus_raw,balanced_accuracy,-0.01428571428571429
20260813,delta_per_matrix_zscore_minus_raw,macro_f1,0.047744360902255645
20260813,delta_mean_std_minus_raw,accuracy,-0.041666666666666685
20260813,delta_mean_std_minus_raw,balanced_accuracy,-0.10952380952380958
20260813,delta_mean_std_minus_raw,macro_f1,-0.09173976608187134
20260813,delta_coral_minus_raw,accuracy,0.0
20260813,delta_coral_minus_raw,balanced_accuracy,-0.042857142857142816
20260813,delta_coral_minus_raw,macro_f1,0.03569529885319356
20260814,raw_source_only,accuracy,0.375
20260814,raw_source_only,balanced_accuracy,0.38571428571428573
20260814,raw_source_only,macro_f1,0.27923976608187134
20260814,per_matrix_zscore_source_only,accuracy,0.5
20260814,per_matrix_zscore_source_only,balanced_accuracy,0.37142857142857144
20260814,per_matrix_zscore_source_only,macro_f1,0.326984126984127
20260814,mean_std_unlabeled_target,accuracy,0.3333333333333333
20260814,mean_std_unlabeled_target,balanced_accuracy,0.27619047619047615
20260814,mean_std_unlabeled_target,macro_f1,0.1875
20260814,coral_unlabeled_target,accuracy,0.375
20260814,coral_unlabeled_target,balanced_accuracy,0.3428571428571429
20260814,coral_unlabeled_target,macro_f1,0.3149350649350649
20260814,delta_per_matrix_zscore_minus_raw,accuracy,0.125
20260814,delta_per_matrix_zscore_minus_raw,balanced_accuracy,-0.01428571428571429
20260814,delta_per_matrix_zscore_minus_raw,macro_f1,0.047744360902255645
20260814,delta_mean_std_minus_raw,accuracy,-0.041666666666666685
20260814,delta_mean_std_minus_raw,balanced_accuracy,-0.10952380952380958
20260814,delta_mean_std_minus_raw,macro_f1,-0.09173976608187134
20260814,delta_coral_minus_raw,accuracy,0.0
20260814,delta_coral_minus_raw,balanced_accuracy,-0.042857142857142816
20260814,delta_coral_minus_raw,macro_f1,0.03569529885319356
20260815,raw_source_only,accuracy,0.375
20260815,raw_source_only,balanced_accuracy,0.38571428571428573
20260815,raw_source_only,macro_f1,0.27923976608187134
20260815,per_matrix_zscore_source_only,accuracy,0.5
20260815,per_matrix_zscore_source_only,balanced_accuracy,0.37142857142857144
20260815,per_matrix_zscore_source_only,macro_f1,0.326984126984127
20260815,mean_std_unlabeled_target,accuracy,0.3333333333333333
20260815,mean_std_unlabeled_target,balanced_accuracy,0.27619047619047615
20260815,mean_std_unlabeled_target,macro_f1,0.1875
20260815,coral_unlabeled_target,accuracy,0.375
20260815,coral_unlabeled_target,balanced_accuracy,0.3428571428571429
20260815,coral_unlabeled_target,macro_f1,0.3149350649350649
20260815,delta_per_matrix_zscore_minus_raw,accuracy,0.125
20260815,delta_per_matrix_zscore_minus_raw,balanced_accuracy,-0.01428571428571429
20260815,delta_per_matrix_zscore_minus_raw,macro_f1,0.047744360902255645
20260815,delta_mean_std_minus_raw,accuracy,-0.041666666666666685
20260815,delta_mean_std_minus_raw,balanced_accuracy,-0.10952380952380958
20260815,delta_mean_std_minus_raw,macro_f1,-0.09173976608187134
20260815,delta_coral_minus_raw,accuracy,0.0
20260815,delta_coral_minus_raw,balanced_accuracy,-0.042857142857142816
20260815,delta_coral_minus_raw,macro_f1,0.03569529885319356
