target_field,records,feature,image_size,epochs,seed,model,best_epoch,variant,val_balanced_accuracy,test_balanced_accuracy,balanced_accuracy_delta_vs_original,test_macro_f1,macro_f1_delta_vs_original,prediction_flip_rate_vs_original,n_predicted_classes_not_in_test,predicted_classes_not_in_test
Land type,93,cnn_pixels,64,40,20260810,small_cnn,39,original,0.375,0.42380952380952386,0.0,0.31777777777777777,0.0,0.0,0,
Land type,93,cnn_pixels,64,40,20260810,small_cnn,39,log_clip,0.375,0.023809523809523808,-0.4,0.03333333333333333,-0.28444444444444444,1.0,1,3
Land type,93,cnn_pixels,64,40,20260810,small_cnn,39,zscore_clip,0.375,0.19999999999999998,-0.22380952380952387,0.11538461538461539,-0.20239316239316238,0.9166666666666666,1,3
Land type,93,cnn_pixels,64,40,20260810,small_cnn,39,amplitude_jitter,0.375,0.42380952380952386,0.0,0.31777777777777777,0.0,0.0,0,
Land type,93,cnn_pixels,64,40,20260810,small_cnn,39,remove_top_band,0.375,0.49047619047619045,0.0666666666666666,0.2761904761904762,-0.04158730158730156,0.08333333333333333,1,3
Land type,93,cnn_pixels,64,40,20260810,small_cnn,39,remove_bottom_band,0.375,0.42380952380952386,0.0,0.31777777777777777,0.0,0.0,0,
Land type,93,cnn_pixels,64,40,20260810,small_cnn,39,remove_border,0.375,0.49047619047619045,0.0666666666666666,0.3631257631257631,0.04534798534798534,0.041666666666666664,0,
Land type,93,cnn_pixels,64,40,20260810,small_cnn,39,time_reverse,0.375,0.3333333333333333,-0.09047619047619054,0.1149425287356322,-0.20283524904214556,0.16666666666666666,0,
Land cover,93,cnn_pixels,64,40,20260810,small_cnn,23,original,0.4166666666666667,0.27272727272727276,0.0,0.1875,0.0,0.0,0,
Land cover,93,cnn_pixels,64,40,20260810,small_cnn,23,log_clip,0.4166666666666667,0.3333333333333333,0.06060606060606055,0.17204301075268816,-0.015456989247311842,0.9583333333333334,0,
Land cover,93,cnn_pixels,64,40,20260810,small_cnn,23,zscore_clip,0.4166666666666667,0.3333333333333333,0.06060606060606055,0.20952380952380953,0.02202380952380953,0.125,0,
Land cover,93,cnn_pixels,64,40,20260810,small_cnn,23,amplitude_jitter,0.4166666666666667,0.27272727272727276,0.0,0.1875,0.0,0.0,0,
Land cover,93,cnn_pixels,64,40,20260810,small_cnn,23,remove_top_band,0.4166666666666667,0.3090909090909091,0.03636363636363632,0.24444444444444446,0.056944444444444464,0.16666666666666666,0,
Land cover,93,cnn_pixels,64,40,20260810,small_cnn,23,remove_bottom_band,0.4166666666666667,0.27272727272727276,0.0,0.1875,0.0,0.0,0,
Land cover,93,cnn_pixels,64,40,20260810,small_cnn,23,remove_border,0.4166666666666667,0.24848484848484845,-0.024242424242424315,0.1984126984126984,0.010912698412698402,0.16666666666666666,0,
Land cover,93,cnn_pixels,64,40,20260810,small_cnn,23,time_reverse,0.4166666666666667,0.3333333333333333,0.06060606060606055,0.16666666666666666,-0.020833333333333343,1.0,0,
Utility crossing,84,cnn_pixels,64,40,20260810,small_cnn,1,original,0.5,0.5,0.0,0.4878048780487805,0.0,0.0,0,
Utility crossing,84,cnn_pixels,64,40,20260810,small_cnn,1,log_clip,0.5,0.5,0.0,0.4878048780487805,0.0,0.0,0,
Utility crossing,84,cnn_pixels,64,40,20260810,small_cnn,1,zscore_clip,0.5,0.5,0.0,0.4878048780487805,0.0,0.0,0,
Utility crossing,84,cnn_pixels,64,40,20260810,small_cnn,1,amplitude_jitter,0.5,0.5,0.0,0.4878048780487805,0.0,0.0,0,
Utility crossing,84,cnn_pixels,64,40,20260810,small_cnn,1,remove_top_band,0.5,0.5,0.0,0.4878048780487805,0.0,0.0,0,
Utility crossing,84,cnn_pixels,64,40,20260810,small_cnn,1,remove_bottom_band,0.5,0.5,0.0,0.4878048780487805,0.0,0.0,0,
Utility crossing,84,cnn_pixels,64,40,20260810,small_cnn,1,remove_border,0.5,0.5,0.0,0.4878048780487805,0.0,0.0,0,
Utility crossing,84,cnn_pixels,64,40,20260810,small_cnn,1,time_reverse,0.5,0.5,0.0,0.4878048780487805,0.0,0.0,0,
Construction workers,93,cnn_pixels,64,40,20260810,small_cnn,1,original,0.5,0.5,0.0,0.3684210526315789,0.0,0.0,0,
Construction workers,93,cnn_pixels,64,40,20260810,small_cnn,1,log_clip,0.5,0.5,0.0,0.3684210526315789,0.0,0.0,0,
Construction workers,93,cnn_pixels,64,40,20260810,small_cnn,1,zscore_clip,0.5,0.5,0.0,0.3684210526315789,0.0,0.0,0,
Construction workers,93,cnn_pixels,64,40,20260810,small_cnn,1,amplitude_jitter,0.5,0.5,0.0,0.3684210526315789,0.0,0.0,0,
Construction workers,93,cnn_pixels,64,40,20260810,small_cnn,1,remove_top_band,0.5,0.5,0.0,0.3684210526315789,0.0,0.0,0,
Construction workers,93,cnn_pixels,64,40,20260810,small_cnn,1,remove_bottom_band,0.5,0.5,0.0,0.3684210526315789,0.0,0.0,0,
Construction workers,93,cnn_pixels,64,40,20260810,small_cnn,1,remove_border,0.5,0.5,0.0,0.3684210526315789,0.0,0.0,0,
Construction workers,93,cnn_pixels,64,40,20260810,small_cnn,1,time_reverse,0.5,0.5,0.0,0.3684210526315789,0.0,0.0,0,
