target_field,records,feature,image_size,epochs,seed,model,best_epoch,variant,val_balanced_accuracy,test_balanced_accuracy,balanced_accuracy_delta_vs_original,test_macro_f1,macro_f1_delta_vs_original,prediction_flip_rate_vs_original,n_predicted_classes_not_in_test,predicted_classes_not_in_test
Land type,93,cnn_pixels,64,40,20260810,small_cnn,39,original,0.375,0.42380952380952386,0.0,0.31777777777777777,0.0,0.0,0,
Land type,93,cnn_pixels,64,40,20260810,small_cnn,39,log_clip,0.375,0.023809523809523808,-0.4,0.03333333333333333,-0.28444444444444444,1.0,1,3
Land type,93,cnn_pixels,64,40,20260810,small_cnn,39,zscore_clip,0.375,0.19999999999999998,-0.22380952380952387,0.11538461538461539,-0.20239316239316238,0.9166666666666666,1,3
Land type,93,cnn_pixels,64,40,20260810,small_cnn,39,amplitude_jitter,0.375,0.42380952380952386,0.0,0.31777777777777777,0.0,0.0,0,
Land type,93,cnn_pixels,64,40,20260810,small_cnn,39,remove_top_band,0.375,0.49047619047619045,0.0666666666666666,0.2761904761904762,-0.04158730158730156,0.08333333333333333,1,3
Land type,93,cnn_pixels,64,40,20260810,small_cnn,39,remove_bottom_band,0.375,0.42380952380952386,0.0,0.31777777777777777,0.0,0.0,0,
Land type,93,cnn_pixels,64,40,20260810,small_cnn,39,remove_border,0.375,0.49047619047619045,0.0666666666666666,0.3631257631257631,0.04534798534798534,0.041666666666666664,0,
Land type,93,cnn_pixels,64,40,20260810,small_cnn,39,time_reverse,0.375,0.3333333333333333,-0.09047619047619054,0.1149425287356322,-0.20283524904214556,0.16666666666666666,0,
Land type,93,cnn_pixels,64,40,20260811,small_cnn,19,original,0.4375,0.20000000000000004,0.0,0.12037037037037036,0.0,0.0,0,
Land type,93,cnn_pixels,64,40,20260811,small_cnn,19,log_clip,0.4375,0.0,-0.20000000000000004,0.0,-0.12037037037037036,1.0,1,3
Land type,93,cnn_pixels,64,40,20260811,small_cnn,19,zscore_clip,0.4375,0.26666666666666666,0.06666666666666662,0.10256410256410257,-0.01780626780626779,0.4166666666666667,0,
Land type,93,cnn_pixels,64,40,20260811,small_cnn,19,amplitude_jitter,0.4375,0.20000000000000004,0.0,0.12037037037037036,0.0,0.0,0,
