target_field,split_seed,model_seed,image_size,selected_model,model,variant,train_projects,val_projects,test_projects,val_balanced_accuracy,test_balanced_accuracy,balanced_accuracy_delta_vs_original,test_macro_f1,macro_f1_delta_vs_original,prediction_flip_rate_vs_original,n_predicted_classes_not_in_test,predicted_classes_not_in_test
Land type,20260810,20260810,64,rbf_svm,dummy_majority,original,010;011;04;06;08,05;09,02;07,0.25,0.3333333333333333,0.0,0.10256410256410257,0.0,0.0,0.0,
Land type,20260810,20260810,64,rbf_svm,dummy_majority,log_clip,010;011;04;06;08,05;09,02;07,0.25,0.3333333333333333,0.0,0.10256410256410257,0.0,0.0,0.0,
Land type,20260810,20260810,64,rbf_svm,dummy_majority,zscore_clip,010;011;04;06;08,05;09,02;07,0.25,0.3333333333333333,0.0,0.10256410256410257,0.0,0.0,0.0,
Land type,20260810,20260810,64,rbf_svm,dummy_majority,amplitude_jitter,010;011;04;06;08,05;09,02;07,0.25,0.3333333333333333,0.0,0.10256410256410257,0.0,0.0,0.0,
Land type,20260810,20260810,64,rbf_svm,dummy_majority,remove_top_band,010;011;04;06;08,05;09,02;07,0.25,0.3333333333333333,0.0,0.10256410256410257,0.0,0.0,0.0,
Land type,20260810,20260810,64,rbf_svm,dummy_majority,remove_bottom_band,010;011;04;06;08,05;09,02;07,0.25,0.3333333333333333,0.0,0.10256410256410257,0.0,0.0,0.0,
Land type,20260810,20260810,64,rbf_svm,dummy_majority,remove_border,010;011;04;06;08,05;09,02;07,0.25,0.3333333333333333,0.0,0.10256410256410257,0.0,0.0,0.0,
Land type,20260810,20260810,64,rbf_svm,dummy_majority,time_reverse,010;011;04;06;08,05;09,02;07,0.25,0.3333333333333333,0.0,0.10256410256410257,0.0,0.0,0.0,
Land type,20260810,20260810,64,rbf_svm,extra_trees,original,010;011;04;06;08,05;09,02;07,0.35,0.42857142857142855,0.0,0.26936026936026936,0.0,0.0,0.0,
Land type,20260810,20260810,64,rbf_svm,extra_trees,log_clip,010;011;04;06;08,05;09,02;07,0.35,0.3333333333333333,-0.09523809523809523,0.10256410256410257,-0.16679616679616677,0.18181818181818182,0.0,
Land type,20260810,20260810,64,rbf_svm,extra_trees,zscore_clip,010;011;04;06;08,05;09,02;07,0.35,0.38095238095238093,-0.047619047619047616,0.19444444444444442,-0.07491582491582494,0.09090909090909091,0.0,
Land type,20260810,20260810,64,rbf_svm,extra_trees,amplitude_jitter,010;011;04;06;08,05;09,02;07,0.35,0.42857142857142855,0.0,0.26936026936026936,0.0,0.0,0.0,
Land type,20260810,20260810,64,rbf_svm,extra_trees,remove_top_band,010;011;04;06;08,05;09,02;07,0.35,0.42857142857142855,0.0,0.26666666666666666,-0.0026936026936026924,0.09090909090909091,0.0,
Land type,20260810,20260810,64,rbf_svm,extra_trees,remove_bottom_band,010;011;04;06;08,05;09,02;07,0.35,0.42857142857142855,0.0,0.26936026936026936,0.0,0.0,0.0,
Land type,20260810,20260810,64,rbf_svm,extra_trees,remove_border,010;011;04;06;08,05;09,02;07,0.35,0.38095238095238093,-0.047619047619047616,0.19444444444444442,-0.07491582491582494,0.09090909090909091,0.0,
Land type,20260810,20260810,64,rbf_svm,extra_trees,time_reverse,010;011;04;06;08,05;09,02;07,0.35,0.3333333333333333,-0.09523809523809523,0.10256410256410257,-0.16679616679616677,0.18181818181818182,0.0,
Land type,20260810,20260810,64,rbf_svm,rbf_svm,original,010;011;04;06;08,05;09,02;07,0.4,0.3333333333333333,0.0,0.10256410256410257,0.0,0.0,0.0,
Land type,20260810,20260810,64,rbf_svm,rbf_svm,log_clip,010;011;04;06;08,05;09,02;07,0.4,0.3333333333333333,0.0,0.10256410256410257,0.0,0.0,0.0,
Land type,20260810,20260810,64,rbf_svm,rbf_svm,zscore_clip,010;011;04;06;08,05;09,02;07,0.4,0.3333333333333333,0.0,0.10256410256410257,0.0,0.0,0.0,
Land type,20260810,20260810,64,rbf_svm,rbf_svm,amplitude_jitter,010;011;04;06;08,05;09,02;07,0.4,0.3333333333333333,0.0,0.10256410256410257,0.0,0.0,0.0,
Land type,20260810,20260810,64,rbf_svm,rbf_svm,remove_top_band,010;011;04;06;08,05;09,02;07,0.4,0.3333333333333333,0.0,0.10256410256410257,0.0,0.0,0.0,
Land type,20260810,20260810,64,rbf_svm,rbf_svm,remove_bottom_band,010;011;04;06;08,05;09,02;07,0.4,0.3333333333333333,0.0,0.10256410256410257,0.0,0.0,0.0,
Land type,20260810,20260810,64,rbf_svm,rbf_svm,remove_border,010;011;04;06;08,05;09,02;07,0.4,0.3333333333333333,0.0,0.10256410256410257,0.0,0.0,0.0,
Land type,20260810,20260810,64,rbf_svm,rbf_svm,time_reverse,010;011;04;06;08,05;09,02;07,0.4,0.3333333333333333,0.0,0.10256410256410257,0.0,0.0,0.0,
Land type,20260811,20260810,64,dummy_majority,dummy_majority,original,010;011;02;07;08,06;09,04;05,0.5,0.3333333333333333,0.0,0.20512820512820515,0.0,0.0,0.0,
Land type,20260811,20260810,64,dummy_majority,dummy_majority,log_clip,010;011;02;07;08,06;09,04;05,0.5,0.3333333333333333,0.0,0.20512820512820515,0.0,0.0,0.0,
Land type,20260811,20260810,64,dummy_majority,dummy_majority,zscore_clip,010;011;02;07;08,06;09,04;05,0.5,0.3333333333333333,0.0,0.20512820512820515,0.0,0.0,0.0,
Land type,20260811,20260810,64,dummy_majority,dummy_majority,amplitude_jitter,010;011;02;07;08,06;09,04;05,0.5,0.3333333333333333,0.0,0.20512820512820515,0.0,0.0,0.0,
Land type,20260811,20260810,64,dummy_majority,dummy_majority,remove_top_band,010;011;02;07;08,06;09,04;05,0.5,0.3333333333333333,0.0,0.20512820512820515,0.0,0.0,0.0,
Land type,20260811,20260810,64,dummy_majority,dummy_majority,remove_bottom_band,010;011;02;07;08,06;09,04;05,0.5,0.3333333333333333,0.0,0.20512820512820515,0.0,0.0,0.0,
Land type,20260811,20260810,64,dummy_majority,dummy_majority,remove_border,010;011;02;07;08,06;09,04;05,0.5,0.3333333333333333,0.0,0.20512820512820515,0.0,0.0,0.0,
Land type,20260811,20260810,64,dummy_majority,dummy_majority,time_reverse,010;011;02;07;08,06;09,04;05,0.5,0.3333333333333333,0.0,0.20512820512820515,0.0,0.0,0.0,
Land type,20260811,20260810,64,dummy_majority,extra_trees,original,010;011;02;07;08,06;09,04;05,0.16666666666666666,0.5833333333333334,0.0,0.48179271708683474,0.0,0.0,0.0,
Land type,20260811,20260810,64,dummy_majority,extra_trees,log_clip,010;011;02;07;08,06;09,04;05,0.16666666666666666,0.3333333333333333,-0.25000000000000006,0.21333333333333335,-0.2684593837535014,0.6111111111111112,0.0,
Land type,20260811,20260810,64,dummy_majority,extra_trees,zscore_clip,010;011;02;07;08,06;09,04;05,0.16666666666666666,0.625,0.04166666666666663,0.5138888888888888,0.032096171802054096,0.1111111111111111,0.0,
Land type,20260811,20260810,64,dummy_majority,extra_trees,amplitude_jitter,010;011;02;07;08,06;09,04;05,0.16666666666666666,0.5833333333333334,0.0,0.48179271708683474,0.0,0.0,0.0,
