target_field,records,feature,image_size,hog_dimension,selected_model,model,variant,val_balanced_accuracy,test_balanced_accuracy,balanced_accuracy_delta_vs_original,test_macro_f1,macro_f1_delta_vs_original,prediction_flip_rate_vs_original,n_predicted_classes_not_in_test,predicted_classes_not_in_test
Land type,93,hog,64,1764,extra_trees,dummy_majority,original,0.25,0.3333333333333333,0.0,0.24561403508771928,0.0,0.0,0.0,
Land type,93,hog,64,1764,extra_trees,dummy_majority,log_clip,0.25,0.3333333333333333,0.0,0.24561403508771928,0.0,0.0,0.0,
Land type,93,hog,64,1764,extra_trees,dummy_majority,zscore_clip,0.25,0.3333333333333333,0.0,0.24561403508771928,0.0,0.0,0.0,
Land type,93,hog,64,1764,extra_trees,dummy_majority,amplitude_jitter,0.25,0.3333333333333333,0.0,0.24561403508771928,0.0,0.0,0.0,
Land type,93,hog,64,1764,extra_trees,dummy_majority,remove_top_band,0.25,0.3333333333333333,0.0,0.24561403508771928,0.0,0.0,0.0,
Land type,93,hog,64,1764,extra_trees,dummy_majority,remove_bottom_band,0.25,0.3333333333333333,0.0,0.24561403508771928,0.0,0.0,0.0,
Land type,93,hog,64,1764,extra_trees,dummy_majority,remove_border,0.25,0.3333333333333333,0.0,0.24561403508771928,0.0,0.0,0.0,
Land type,93,hog,64,1764,extra_trees,dummy_majority,time_reverse,0.25,0.3333333333333333,0.0,0.24561403508771928,0.0,0.0,0.0,
Land type,93,hog,64,1764,extra_trees,extra_trees,original,0.4,0.4761904761904762,0.0,0.341991341991342,0.0,0.0,0.0,
Land type,93,hog,64,1764,extra_trees,extra_trees,log_clip,0.4,0.09523809523809523,-0.380952380952381,0.1,-0.241991341991342,0.8333333333333334,1.0,Street/Cycling road
Land type,93,hog,64,1764,extra_trees,extra_trees,zscore_clip,0.4,0.5523809523809523,0.07619047619047609,0.46349206349206346,0.12150072150072144,0.2916666666666667,0.0,
Land type,93,hog,64,1764,extra_trees,extra_trees,amplitude_jitter,0.4,0.4761904761904762,0.0,0.341991341991342,0.0,0.0,0.0,
Land type,93,hog,64,1764,extra_trees,extra_trees,remove_top_band,0.4,0.4047619047619047,-0.07142857142857151,0.24444444444444446,-0.09754689754689755,0.125,0.0,
Land type,93,hog,64,1764,extra_trees,extra_trees,remove_bottom_band,0.4,0.4761904761904762,0.0,0.341991341991342,0.0,0.0,0.0,
Land type,93,hog,64,1764,extra_trees,extra_trees,remove_border,0.4,0.5,0.02380952380952378,0.3737373737373737,0.03174603174603169,0.08333333333333333,0.0,
Land type,93,hog,64,1764,extra_trees,extra_trees,time_reverse,0.4,0.3333333333333333,-0.1428571428571429,0.24561403508771928,-0.09637730690362273,0.7083333333333334,0.0,
Land type,93,hog,64,1764,extra_trees,rbf_svm,original,0.375,0.5476190476190476,0.0,0.425438596491228,0.0,0.0,0.0,
Land type,93,hog,64,1764,extra_trees,rbf_svm,log_clip,0.375,0.3333333333333333,-0.21428571428571425,0.24561403508771928,-0.17982456140350872,0.5833333333333334,0.0,
Land type,93,hog,64,1764,extra_trees,rbf_svm,zscore_clip,0.375,0.6666666666666666,0.11904761904761907,0.5599343185550082,0.1344957220637802,0.20833333333333334,0.0,
Land type,93,hog,64,1764,extra_trees,rbf_svm,amplitude_jitter,0.375,0.5476190476190476,0.0,0.425438596491228,0.0,0.0,0.0,
Land type,93,hog,64,1764,extra_trees,rbf_svm,remove_top_band,0.375,0.5476190476190476,0.0,0.425438596491228,0.0,0.0,0.0,
Land type,93,hog,64,1764,extra_trees,rbf_svm,remove_bottom_band,0.375,0.5476190476190476,0.0,0.425438596491228,0.0,0.0,0.0,
Land type,93,hog,64,1764,extra_trees,rbf_svm,remove_border,0.375,0.6,0.05238095238095242,0.5162393162393163,0.09080071974808829,0.25,0.0,
Land type,93,hog,64,1764,extra_trees,rbf_svm,time_reverse,0.375,0.3333333333333333,-0.21428571428571425,0.24561403508771928,-0.17982456140350872,0.5833333333333334,0.0,
Land cover,93,hog,64,1764,rbf_svm,dummy_majority,original,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,
Land cover,93,hog,64,1764,rbf_svm,dummy_majority,log_clip,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,
Land cover,93,hog,64,1764,rbf_svm,dummy_majority,zscore_clip,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,
Land cover,93,hog,64,1764,rbf_svm,dummy_majority,amplitude_jitter,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,
Land cover,93,hog,64,1764,rbf_svm,dummy_majority,remove_top_band,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,
Land cover,93,hog,64,1764,rbf_svm,dummy_majority,remove_bottom_band,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,
Land cover,93,hog,64,1764,rbf_svm,dummy_majority,remove_border,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,
Land cover,93,hog,64,1764,rbf_svm,dummy_majority,time_reverse,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,
Land cover,93,hog,64,1764,rbf_svm,extra_trees,original,0.3333333333333333,0.375,0.0,0.20000000000000004,0.0,0.0,0.0,
Land cover,93,hog,64,1764,rbf_svm,extra_trees,log_clip,0.3333333333333333,0.3333333333333333,-0.041666666666666685,0.20952380952380953,0.00952380952380949,0.9166666666666666,0.0,
Land cover,93,hog,64,1764,rbf_svm,extra_trees,zscore_clip,0.3333333333333333,0.7651515151515151,0.39015151515151514,0.7152882205513785,0.5152882205513785,0.5416666666666666,0.0,
Land cover,93,hog,64,1764,rbf_svm,extra_trees,amplitude_jitter,0.3333333333333333,0.375,0.0,0.20000000000000004,0.0,0.0,0.0,
Land cover,93,hog,64,1764,rbf_svm,extra_trees,remove_top_band,0.3333333333333333,0.375,0.0,0.20000000000000004,0.0,0.0,0.0,
Land cover,93,hog,64,1764,rbf_svm,extra_trees,remove_bottom_band,0.3333333333333333,0.375,0.0,0.20000000000000004,0.0,0.0,0.0,
Land cover,93,hog,64,1764,rbf_svm,extra_trees,remove_border,0.3333333333333333,0.4166666666666667,0.041666666666666685,0.26153846153846155,0.061538461538461514,0.08333333333333333,0.0,
Land cover,93,hog,64,1764,rbf_svm,extra_trees,time_reverse,0.3333333333333333,0.3333333333333333,-0.041666666666666685,0.16666666666666666,-0.03333333333333338,0.9166666666666666,0.0,
Land cover,93,hog,64,1764,rbf_svm,rbf_svm,original,0.5952380952380952,0.4053030303030303,0.0,0.2698412698412698,0.0,0.0,0.0,
Land cover,93,hog,64,1764,rbf_svm,rbf_svm,log_clip,0.5952380952380952,0.3333333333333333,-0.07196969696969696,0.16666666666666666,-0.10317460317460317,0.9583333333333334,0.0,
Land cover,93,hog,64,1764,rbf_svm,rbf_svm,zscore_clip,0.5952380952380952,0.7159090909090908,0.31060606060606055,0.6170426065162907,0.3472013366750209,0.5416666666666666,0.0,
Land cover,93,hog,64,1764,rbf_svm,rbf_svm,amplitude_jitter,0.5952380952380952,0.4053030303030303,0.0,0.2698412698412698,0.0,0.0,0.0,
Land cover,93,hog,64,1764,rbf_svm,rbf_svm,remove_top_band,0.5952380952380952,0.4053030303030303,0.0,0.2648049118637354,-0.005036357977534434,0.041666666666666664,0.0,
Land cover,93,hog,64,1764,rbf_svm,rbf_svm,remove_bottom_band,0.5952380952380952,0.4053030303030303,0.0,0.2698412698412698,0.0,0.0,0.0,
Land cover,93,hog,64,1764,rbf_svm,rbf_svm,remove_border,0.5952380952380952,0.5128787878787878,0.10757575757575755,0.47179487179487184,0.201953601953602,0.4583333333333333,0.0,
Land cover,93,hog,64,1764,rbf_svm,rbf_svm,time_reverse,0.5952380952380952,0.3333333333333333,-0.07196969696969696,0.16666666666666666,-0.10317460317460317,0.9583333333333334,0.0,
Utility crossing,84,hog,64,1764,dummy_majority,dummy_majority,original,0.5,0.5,0.0,0.4878048780487805,0.0,0.0,0.0,
Utility crossing,84,hog,64,1764,dummy_majority,dummy_majority,log_clip,0.5,0.5,0.0,0.4878048780487805,0.0,0.0,0.0,
Utility crossing,84,hog,64,1764,dummy_majority,dummy_majority,zscore_clip,0.5,0.5,0.0,0.4878048780487805,0.0,0.0,0.0,
Utility crossing,84,hog,64,1764,dummy_majority,dummy_majority,amplitude_jitter,0.5,0.5,0.0,0.4878048780487805,0.0,0.0,0.0,
Utility crossing,84,hog,64,1764,dummy_majority,dummy_majority,remove_top_band,0.5,0.5,0.0,0.4878048780487805,0.0,0.0,0.0,
Utility crossing,84,hog,64,1764,dummy_majority,dummy_majority,remove_bottom_band,0.5,0.5,0.0,0.4878048780487805,0.0,0.0,0.0,
Utility crossing,84,hog,64,1764,dummy_majority,dummy_majority,remove_border,0.5,0.5,0.0,0.4878048780487805,0.0,0.0,0.0,
Utility crossing,84,hog,64,1764,dummy_majority,dummy_majority,time_reverse,0.5,0.5,0.0,0.4878048780487805,0.0,0.0,0.0,
Utility crossing,84,hog,64,1764,dummy_majority,extra_trees,original,0.5,0.5,0.0,0.4878048780487805,0.0,0.0,0.0,
Utility crossing,84,hog,64,1764,dummy_majority,extra_trees,log_clip,0.5,0.5,0.0,0.4878048780487805,0.0,0.0,0.0,
Utility crossing,84,hog,64,1764,dummy_majority,extra_trees,zscore_clip,0.5,0.5,0.0,0.4878048780487805,0.0,0.0,0.0,
Utility crossing,84,hog,64,1764,dummy_majority,extra_trees,amplitude_jitter,0.5,0.5,0.0,0.4878048780487805,0.0,0.0,0.0,
Utility crossing,84,hog,64,1764,dummy_majority,extra_trees,remove_top_band,0.5,0.5,0.0,0.4878048780487805,0.0,0.0,0.0,
Utility crossing,84,hog,64,1764,dummy_majority,extra_trees,remove_bottom_band,0.5,0.5,0.0,0.4878048780487805,0.0,0.0,0.0,
Utility crossing,84,hog,64,1764,dummy_majority,extra_trees,remove_border,0.5,0.5,0.0,0.4878048780487805,0.0,0.0,0.0,
Utility crossing,84,hog,64,1764,dummy_majority,extra_trees,time_reverse,0.5,0.5,0.0,0.4878048780487805,0.0,0.0,0.0,
Utility crossing,84,hog,64,1764,dummy_majority,rbf_svm,original,0.5,0.5,0.0,0.4878048780487805,0.0,0.0,0.0,
Utility crossing,84,hog,64,1764,dummy_majority,rbf_svm,log_clip,0.5,0.5,0.0,0.4878048780487805,0.0,0.0,0.0,
Utility crossing,84,hog,64,1764,dummy_majority,rbf_svm,zscore_clip,0.5,0.5,0.0,0.4878048780487805,0.0,0.0,0.0,
Utility crossing,84,hog,64,1764,dummy_majority,rbf_svm,amplitude_jitter,0.5,0.5,0.0,0.4878048780487805,0.0,0.0,0.0,
Utility crossing,84,hog,64,1764,dummy_majority,rbf_svm,remove_top_band,0.5,0.5,0.0,0.4878048780487805,0.0,0.0,0.0,
Utility crossing,84,hog,64,1764,dummy_majority,rbf_svm,remove_bottom_band,0.5,0.5,0.0,0.4878048780487805,0.0,0.0,0.0,
Utility crossing,84,hog,64,1764,dummy_majority,rbf_svm,remove_border,0.5,0.5,0.0,0.4878048780487805,0.0,0.0,0.0,
Utility crossing,84,hog,64,1764,dummy_majority,rbf_svm,time_reverse,0.5,0.5,0.0,0.4878048780487805,0.0,0.0,0.0,
Construction workers,93,hog,64,1764,dummy_majority,dummy_majority,original,0.5,0.5,0.0,0.3684210526315789,0.0,0.0,0.0,
Construction workers,93,hog,64,1764,dummy_majority,dummy_majority,log_clip,0.5,0.5,0.0,0.3684210526315789,0.0,0.0,0.0,
Construction workers,93,hog,64,1764,dummy_majority,dummy_majority,zscore_clip,0.5,0.5,0.0,0.3684210526315789,0.0,0.0,0.0,
Construction workers,93,hog,64,1764,dummy_majority,dummy_majority,amplitude_jitter,0.5,0.5,0.0,0.3684210526315789,0.0,0.0,0.0,
Construction workers,93,hog,64,1764,dummy_majority,dummy_majority,remove_top_band,0.5,0.5,0.0,0.3684210526315789,0.0,0.0,0.0,
Construction workers,93,hog,64,1764,dummy_majority,dummy_majority,remove_bottom_band,0.5,0.5,0.0,0.3684210526315789,0.0,0.0,0.0,
Construction workers,93,hog,64,1764,dummy_majority,dummy_majority,remove_border,0.5,0.5,0.0,0.3684210526315789,0.0,0.0,0.0,
Construction workers,93,hog,64,1764,dummy_majority,dummy_majority,time_reverse,0.5,0.5,0.0,0.3684210526315789,0.0,0.0,0.0,
Construction workers,93,hog,64,1764,dummy_majority,extra_trees,original,0.14285714285714285,0.07142857142857142,0.0,0.08333333333333333,0.0,0.0,1.0,None
Construction workers,93,hog,64,1764,dummy_majority,extra_trees,log_clip,0.14285714285714285,0.5,0.4285714285714286,0.3684210526315789,0.2850877192982456,0.9166666666666666,0.0,
Construction workers,93,hog,64,1764,dummy_majority,extra_trees,zscore_clip,0.14285714285714285,0.35714285714285715,0.2857142857142857,0.26666666666666666,0.18333333333333335,0.375,1.0,None
Construction workers,93,hog,64,1764,dummy_majority,extra_trees,amplitude_jitter,0.14285714285714285,0.07142857142857142,0.0,0.08333333333333333,0.0,0.0,1.0,None
Construction workers,93,hog,64,1764,dummy_majority,extra_trees,remove_top_band,0.14285714285714285,0.07142857142857142,0.0,0.0784313725490196,-0.004901960784313722,0.041666666666666664,1.0,None
Construction workers,93,hog,64,1764,dummy_majority,extra_trees,remove_bottom_band,0.14285714285714285,0.07142857142857142,0.0,0.08333333333333333,0.0,0.0,1.0,None
Construction workers,93,hog,64,1764,dummy_majority,extra_trees,remove_border,0.14285714285714285,0.07142857142857142,0.0,0.08333333333333333,0.0,0.0,1.0,None
Construction workers,93,hog,64,1764,dummy_majority,extra_trees,time_reverse,0.14285714285714285,0.5,0.4285714285714286,0.3684210526315789,0.2850877192982456,0.9166666666666666,0.0,
Construction workers,93,hog,64,1764,dummy_majority,rbf_svm,original,0.14285714285714285,0.17857142857142858,0.0,0.17543859649122806,0.0,0.0,1.0,None
Construction workers,93,hog,64,1764,dummy_majority,rbf_svm,log_clip,0.14285714285714285,0.5,0.3214285714285714,0.3684210526315789,0.19298245614035087,0.7916666666666666,0.0,
Construction workers,93,hog,64,1764,dummy_majority,rbf_svm,zscore_clip,0.14285714285714285,0.5,0.3214285714285714,0.3333333333333333,0.15789473684210525,0.375,1.0,None
Construction workers,93,hog,64,1764,dummy_majority,rbf_svm,amplitude_jitter,0.14285714285714285,0.17857142857142858,0.0,0.17543859649122806,0.0,0.0,1.0,None
Construction workers,93,hog,64,1764,dummy_majority,rbf_svm,remove_top_band,0.14285714285714285,0.21428571428571427,0.0357142857142857,0.19047619047619047,0.015037593984962405,0.08333333333333333,1.0,None
Construction workers,93,hog,64,1764,dummy_majority,rbf_svm,remove_bottom_band,0.14285714285714285,0.17857142857142858,0.0,0.17543859649122806,0.0,0.0,1.0,None
Construction workers,93,hog,64,1764,dummy_majority,rbf_svm,remove_border,0.14285714285714285,0.5,0.3214285714285714,0.3111111111111111,0.13567251461988306,0.4583333333333333,1.0,None
Construction workers,93,hog,64,1764,dummy_majority,rbf_svm,time_reverse,0.14285714285714285,0.5,0.3214285714285714,0.3684210526315789,0.19298245614035087,0.7916666666666666,0.0,
