target_field,records,feature,image_size,hog_dimension,selected_model,model,variant,val_balanced_accuracy,test_balanced_accuracy,balanced_accuracy_delta_vs_original,test_macro_f1,macro_f1_delta_vs_original,prediction_flip_rate_vs_original,n_predicted_classes_not_in_test,predicted_classes_not_in_test,seed
Land type,93,hog,64,1764,extra_trees,dummy_majority,original,0.25,0.3333333333333333,0.0,0.24561403508771928,0.0,0.0,0.0,,20260810
Land type,93,hog,64,1764,extra_trees,dummy_majority,log_clip,0.25,0.3333333333333333,0.0,0.24561403508771928,0.0,0.0,0.0,,20260810
Land type,93,hog,64,1764,extra_trees,dummy_majority,zscore_clip,0.25,0.3333333333333333,0.0,0.24561403508771928,0.0,0.0,0.0,,20260810
Land type,93,hog,64,1764,extra_trees,dummy_majority,amplitude_jitter,0.25,0.3333333333333333,0.0,0.24561403508771928,0.0,0.0,0.0,,20260810
Land type,93,hog,64,1764,extra_trees,dummy_majority,remove_top_band,0.25,0.3333333333333333,0.0,0.24561403508771928,0.0,0.0,0.0,,20260810
Land type,93,hog,64,1764,extra_trees,dummy_majority,remove_bottom_band,0.25,0.3333333333333333,0.0,0.24561403508771928,0.0,0.0,0.0,,20260810
Land type,93,hog,64,1764,extra_trees,dummy_majority,remove_border,0.25,0.3333333333333333,0.0,0.24561403508771928,0.0,0.0,0.0,,20260810
Land type,93,hog,64,1764,extra_trees,dummy_majority,time_reverse,0.25,0.3333333333333333,0.0,0.24561403508771928,0.0,0.0,0.0,,20260810
Land type,93,hog,64,1764,extra_trees,extra_trees,original,0.4,0.4761904761904762,0.0,0.341991341991342,0.0,0.0,0.0,,20260810
Land type,93,hog,64,1764,extra_trees,extra_trees,log_clip,0.4,0.09523809523809523,-0.380952380952381,0.1,-0.241991341991342,0.8333333333333334,1.0,Street/Cycling road,20260810
Land type,93,hog,64,1764,extra_trees,extra_trees,zscore_clip,0.4,0.5523809523809523,0.07619047619047609,0.46349206349206346,0.12150072150072144,0.2916666666666667,0.0,,20260810
Land type,93,hog,64,1764,extra_trees,extra_trees,amplitude_jitter,0.4,0.4761904761904762,0.0,0.341991341991342,0.0,0.0,0.0,,20260810
Land type,93,hog,64,1764,extra_trees,extra_trees,remove_top_band,0.4,0.4047619047619047,-0.07142857142857151,0.24444444444444446,-0.09754689754689755,0.125,0.0,,20260810
Land type,93,hog,64,1764,extra_trees,extra_trees,remove_bottom_band,0.4,0.4761904761904762,0.0,0.341991341991342,0.0,0.0,0.0,,20260810
Land type,93,hog,64,1764,extra_trees,extra_trees,remove_border,0.4,0.5,0.02380952380952378,0.3737373737373737,0.03174603174603169,0.08333333333333333,0.0,,20260810
Land type,93,hog,64,1764,extra_trees,extra_trees,time_reverse,0.4,0.3333333333333333,-0.1428571428571429,0.24561403508771928,-0.09637730690362273,0.7083333333333334,0.0,,20260810
Land type,93,hog,64,1764,extra_trees,rbf_svm,original,0.375,0.5476190476190476,0.0,0.425438596491228,0.0,0.0,0.0,,20260810
Land type,93,hog,64,1764,extra_trees,rbf_svm,log_clip,0.375,0.3333333333333333,-0.21428571428571425,0.24561403508771928,-0.17982456140350872,0.5833333333333334,0.0,,20260810
Land type,93,hog,64,1764,extra_trees,rbf_svm,zscore_clip,0.375,0.6666666666666666,0.11904761904761907,0.5599343185550082,0.1344957220637802,0.20833333333333334,0.0,,20260810
Land type,93,hog,64,1764,extra_trees,rbf_svm,amplitude_jitter,0.375,0.5476190476190476,0.0,0.425438596491228,0.0,0.0,0.0,,20260810
Land type,93,hog,64,1764,extra_trees,rbf_svm,remove_top_band,0.375,0.5476190476190476,0.0,0.425438596491228,0.0,0.0,0.0,,20260810
Land type,93,hog,64,1764,extra_trees,rbf_svm,remove_bottom_band,0.375,0.5476190476190476,0.0,0.425438596491228,0.0,0.0,0.0,,20260810
Land type,93,hog,64,1764,extra_trees,rbf_svm,remove_border,0.375,0.6,0.05238095238095242,0.5162393162393163,0.09080071974808829,0.25,0.0,,20260810
Land type,93,hog,64,1764,extra_trees,rbf_svm,time_reverse,0.375,0.3333333333333333,-0.21428571428571425,0.24561403508771928,-0.17982456140350872,0.5833333333333334,0.0,,20260810
