target_field,records,image_size,selected_model,model,variant,val_balanced_accuracy,test_balanced_accuracy,balanced_accuracy_delta_vs_original,test_macro_f1,macro_f1_delta_vs_original,prediction_flip_rate_vs_original,n_predicted_classes_not_in_test,predicted_classes_not_in_test
Land type,93,64,rbf_svm,dummy_majority,original,0.25,0.3333333333333333,0.0,0.24561403508771928,0.0,0.0,0.0,
Land type,93,64,rbf_svm,dummy_majority,log_clip,0.25,0.3333333333333333,0.0,0.24561403508771928,0.0,0.0,0.0,
Land type,93,64,rbf_svm,dummy_majority,zscore_clip,0.25,0.3333333333333333,0.0,0.24561403508771928,0.0,0.0,0.0,
Land type,93,64,rbf_svm,dummy_majority,amplitude_jitter,0.25,0.3333333333333333,0.0,0.24561403508771928,0.0,0.0,0.0,
Land type,93,64,rbf_svm,dummy_majority,remove_top_band,0.25,0.3333333333333333,0.0,0.24561403508771928,0.0,0.0,0.0,
Land type,93,64,rbf_svm,dummy_majority,remove_bottom_band,0.25,0.3333333333333333,0.0,0.24561403508771928,0.0,0.0,0.0,
Land type,93,64,rbf_svm,dummy_majority,remove_border,0.25,0.3333333333333333,0.0,0.24561403508771928,0.0,0.0,0.0,
Land type,93,64,rbf_svm,dummy_majority,time_reverse,0.25,0.3333333333333333,0.0,0.24561403508771928,0.0,0.0,0.0,
Land type,93,64,rbf_svm,extra_trees,original,0.25,0.3333333333333333,0.0,0.1149425287356322,0.0,0.0,0.0,
Land type,93,64,rbf_svm,extra_trees,log_clip,0.25,0.4380952380952381,0.10476190476190478,0.37274220032840727,0.25779967159277506,0.625,0.0,
Land type,93,64,rbf_svm,extra_trees,zscore_clip,0.25,0.3333333333333333,0.0,0.1149425287356322,0.0,0.0,0.0,
Land type,93,64,rbf_svm,extra_trees,amplitude_jitter,0.25,0.3333333333333333,0.0,0.1149425287356322,0.0,0.0,0.0,
Land type,93,64,rbf_svm,extra_trees,remove_top_band,0.25,0.3333333333333333,0.0,0.1149425287356322,0.0,0.0,0.0,
Land type,93,64,rbf_svm,extra_trees,remove_bottom_band,0.25,0.3333333333333333,0.0,0.1149425287356322,0.0,0.0,0.0,
Land type,93,64,rbf_svm,extra_trees,remove_border,0.25,0.3333333333333333,0.0,0.1149425287356322,0.0,0.0,0.0,
Land type,93,64,rbf_svm,extra_trees,time_reverse,0.25,0.3333333333333333,0.0,0.1149425287356322,0.0,0.0,0.0,
Land type,93,64,rbf_svm,rbf_svm,original,0.3125,0.3333333333333333,0.0,0.12345679012345678,0.0,0.0,0.0,
Land type,93,64,rbf_svm,rbf_svm,log_clip,0.3125,0.3333333333333333,0.0,0.24561403508771928,0.1221572449642625,1.0,0.0,
Land type,93,64,rbf_svm,rbf_svm,zscore_clip,0.3125,0.3333333333333333,0.0,0.12345679012345678,0.0,0.0,0.0,
Land type,93,64,rbf_svm,rbf_svm,amplitude_jitter,0.3125,0.3333333333333333,0.0,0.12345679012345678,0.0,0.0,0.0,
Land type,93,64,rbf_svm,rbf_svm,remove_top_band,0.3125,0.3333333333333333,0.0,0.09615384615384616,-0.027302943969610624,0.041666666666666664,1.0,Street/Cycling road
Land type,93,64,rbf_svm,rbf_svm,remove_bottom_band,0.3125,0.3333333333333333,0.0,0.12345679012345678,0.0,0.0,0.0,
Land type,93,64,rbf_svm,rbf_svm,remove_border,0.3125,0.3333333333333333,0.0,0.1,-0.023456790123456778,0.08333333333333333,1.0,Street/Cycling road
Land type,93,64,rbf_svm,rbf_svm,time_reverse,0.3125,0.3333333333333333,0.0,0.24561403508771928,0.1221572449642625,1.0,0.0,
Land cover,93,64,rbf_svm,dummy_majority,original,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,
Land cover,93,64,rbf_svm,dummy_majority,log_clip,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,
Land cover,93,64,rbf_svm,dummy_majority,zscore_clip,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,
Land cover,93,64,rbf_svm,dummy_majority,amplitude_jitter,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,
Land cover,93,64,rbf_svm,dummy_majority,remove_top_band,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,
Land cover,93,64,rbf_svm,dummy_majority,remove_bottom_band,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,
Land cover,93,64,rbf_svm,dummy_majority,remove_border,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,
