target_field,records,selected_model,model,variant,val_balanced_accuracy,test_balanced_accuracy,balanced_accuracy_delta_vs_original,test_macro_f1,macro_f1_delta_vs_original,prediction_flip_rate_vs_original,n_predicted_classes_not_in_test,predicted_classes_not_in_test
Land type,93,rbf_svm,dummy_majority,original,0.25,0.3333333333333333,0.0,0.24561403508771928,0.0,0.0,0.0,
Land type,93,rbf_svm,dummy_majority,log_clip,0.25,0.3333333333333333,0.0,0.24561403508771928,0.0,0.0,0.0,
Land type,93,rbf_svm,dummy_majority,zscore_clip,0.25,0.3333333333333333,0.0,0.24561403508771928,0.0,0.0,0.0,
Land type,93,rbf_svm,dummy_majority,amplitude_jitter,0.25,0.3333333333333333,0.0,0.24561403508771928,0.0,0.0,0.0,
Land type,93,rbf_svm,dummy_majority,remove_top_band,0.25,0.3333333333333333,0.0,0.24561403508771928,0.0,0.0,0.0,
Land type,93,rbf_svm,dummy_majority,remove_bottom_band,0.25,0.3333333333333333,0.0,0.24561403508771928,0.0,0.0,0.0,
Land type,93,rbf_svm,dummy_majority,remove_border,0.25,0.3333333333333333,0.0,0.24561403508771928,0.0,0.0,0.0,
Land type,93,rbf_svm,dummy_majority,time_reverse,0.25,0.3333333333333333,0.0,0.24561403508771928,0.0,0.0,0.0,
Land type,93,rbf_svm,extra_trees,original,0.25,0.35714285714285715,0.0,0.1634920634920635,0.0,0.0,0.0,
Land type,93,rbf_svm,extra_trees,log_clip,0.25,0.3333333333333333,-0.023809523809523836,0.24561403508771928,0.08212197159565579,0.9583333333333334,0.0,
Land type,93,rbf_svm,extra_trees,zscore_clip,0.25,0.3333333333333333,-0.023809523809523836,0.24561403508771928,0.08212197159565579,0.9583333333333334,0.0,
Land type,93,rbf_svm,extra_trees,amplitude_jitter,0.25,0.3333333333333333,-0.023809523809523836,0.1149425287356322,-0.0485495347564313,0.041666666666666664,0.0,
Land type,93,rbf_svm,extra_trees,remove_top_band,0.25,0.3333333333333333,-0.023809523809523836,0.09259259259259259,-0.0708994708994709,0.08333333333333333,1.0,Street/Cycling road
Land type,93,rbf_svm,extra_trees,remove_bottom_band,0.25,0.35714285714285715,0.0,0.1634920634920635,0.0,0.0,0.0,
Land type,93,rbf_svm,extra_trees,remove_border,0.25,0.3333333333333333,-0.023809523809523836,0.1149425287356322,-0.0485495347564313,0.041666666666666664,0.0,
Land type,93,rbf_svm,extra_trees,time_reverse,0.25,0.3333333333333333,-0.023809523809523836,0.1149425287356322,-0.0485495347564313,0.041666666666666664,0.0,
Land type,93,rbf_svm,rbf_svm,original,0.35,0.38571428571428573,0.0,0.27923976608187134,0.0,0.0,0.0,
Land type,93,rbf_svm,rbf_svm,log_clip,0.35,0.0,-0.38571428571428573,0.0,-0.27923976608187134,0.8333333333333334,1.0,Street/Cycling road
Land type,93,rbf_svm,rbf_svm,zscore_clip,0.35,0.0,-0.38571428571428573,0.0,-0.27923976608187134,0.875,1.0,Street/Cycling road
Land type,93,rbf_svm,rbf_svm,amplitude_jitter,0.35,0.3142857142857143,-0.07142857142857145,0.1847041847041847,-0.09453558137768664,0.125,0.0,
Land type,93,rbf_svm,rbf_svm,remove_top_band,0.35,0.3333333333333333,-0.05238095238095242,0.24561403508771928,-0.03362573099415206,0.5833333333333334,0.0,
Land type,93,rbf_svm,rbf_svm,remove_bottom_band,0.35,0.40952380952380957,0.023809523809523836,0.3081481481481481,0.028908382066276772,0.125,0.0,
Land type,93,rbf_svm,rbf_svm,remove_border,0.35,0.14285714285714285,-0.24285714285714288,0.1,-0.17923976608187134,0.4166666666666667,1.0,Street/Cycling road
Land type,93,rbf_svm,rbf_svm,time_reverse,0.35,0.3333333333333333,-0.05238095238095242,0.24561403508771928,-0.03362573099415206,0.5833333333333334,0.0,
Land cover,93,dummy_majority,dummy_majority,original,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,
Land cover,93,dummy_majority,dummy_majority,log_clip,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,
Land cover,93,dummy_majority,dummy_majority,zscore_clip,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,
Land cover,93,dummy_majority,dummy_majority,amplitude_jitter,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,
Land cover,93,dummy_majority,dummy_majority,remove_top_band,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,
Land cover,93,dummy_majority,dummy_majority,remove_bottom_band,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,
Land cover,93,dummy_majority,dummy_majority,remove_border,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,
Land cover,93,dummy_majority,dummy_majority,time_reverse,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,
Land cover,93,dummy_majority,extra_trees,original,0.3333333333333333,0.3333333333333333,0.0,0.12345679012345678,0.0,0.0,0.0,
Land cover,93,dummy_majority,extra_trees,log_clip,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.043209876543209874,1.0,0.0,
Land cover,93,dummy_majority,extra_trees,zscore_clip,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.043209876543209874,1.0,0.0,
Land cover,93,dummy_majority,extra_trees,amplitude_jitter,0.3333333333333333,0.3333333333333333,0.0,0.1149425287356322,-0.008514261387824587,0.08333333333333333,0.0,
Land cover,93,dummy_majority,extra_trees,remove_top_band,0.3333333333333333,0.3272727272727273,-0.006060606060605989,0.1588235294117647,0.03536673928830791,0.2916666666666667,1.0,Asphalt
Land cover,93,dummy_majority,extra_trees,remove_bottom_band,0.3333333333333333,0.3333333333333333,0.0,0.12345679012345678,0.0,0.0,0.0,
Land cover,93,dummy_majority,extra_trees,remove_border,0.3333333333333333,0.3333333333333333,0.0,0.1149425287356322,-0.008514261387824587,0.08333333333333333,0.0,
Land cover,93,dummy_majority,extra_trees,time_reverse,0.3333333333333333,0.3333333333333333,0.0,0.12345679012345678,0.0,0.0,0.0,
Land cover,93,dummy_majority,rbf_svm,original,0.3333333333333333,0.4424242424242424,0.0,0.3495311167945439,0.0,0.0,0.0,
Land cover,93,dummy_majority,rbf_svm,log_clip,0.3333333333333333,0.3333333333333333,-0.10909090909090907,0.16666666666666666,-0.18286445012787725,1.0,0.0,
Land cover,93,dummy_majority,rbf_svm,zscore_clip,0.3333333333333333,0.3333333333333333,-0.10909090909090907,0.16666666666666666,-0.18286445012787725,1.0,0.0,
Land cover,93,dummy_majority,rbf_svm,amplitude_jitter,0.3333333333333333,0.4537878787878788,0.011363636363636409,0.3138888888888889,-0.03564222790565502,0.16666666666666666,1.0,Asphalt
Land cover,93,dummy_majority,rbf_svm,remove_top_band,0.3333333333333333,0.3333333333333333,-0.10909090909090907,0.20952380952380953,-0.14000730727073438,0.5,0.0,
Land cover,93,dummy_majority,rbf_svm,remove_bottom_band,0.3333333333333333,0.5257575757575758,0.08333333333333337,0.4985507246376811,0.14901960784313717,0.08333333333333333,0.0,
Land cover,93,dummy_majority,rbf_svm,remove_border,0.3333333333333333,0.3333333333333333,-0.10909090909090907,0.2037037037037037,-0.1458274130908402,0.3333333333333333,1.0,Asphalt
Land cover,93,dummy_majority,rbf_svm,time_reverse,0.3333333333333333,0.3333333333333333,-0.10909090909090907,0.20952380952380953,-0.14000730727073438,0.5,0.0,
Utility crossing,84,dummy_majority,dummy_majority,original,0.5,0.5,0.0,0.4878048780487805,0.0,0.0,0.0,
Utility crossing,84,dummy_majority,dummy_majority,log_clip,0.5,0.5,0.0,0.4878048780487805,0.0,0.0,0.0,
Utility crossing,84,dummy_majority,dummy_majority,zscore_clip,0.5,0.5,0.0,0.4878048780487805,0.0,0.0,0.0,
Utility crossing,84,dummy_majority,dummy_majority,amplitude_jitter,0.5,0.5,0.0,0.4878048780487805,0.0,0.0,0.0,
Utility crossing,84,dummy_majority,dummy_majority,remove_top_band,0.5,0.5,0.0,0.4878048780487805,0.0,0.0,0.0,
Utility crossing,84,dummy_majority,dummy_majority,remove_bottom_band,0.5,0.5,0.0,0.4878048780487805,0.0,0.0,0.0,
Utility crossing,84,dummy_majority,dummy_majority,remove_border,0.5,0.5,0.0,0.4878048780487805,0.0,0.0,0.0,
Utility crossing,84,dummy_majority,dummy_majority,time_reverse,0.5,0.5,0.0,0.4878048780487805,0.0,0.0,0.0,
Utility crossing,84,dummy_majority,extra_trees,original,0.5,0.425,0.0,0.4473684210526316,0.0,0.0,0.0,
Utility crossing,84,dummy_majority,extra_trees,log_clip,0.5,0.5,0.07500000000000001,0.4878048780487805,0.040436456996148895,0.14285714285714285,0.0,
Utility crossing,84,dummy_majority,extra_trees,zscore_clip,0.5,0.5,0.07500000000000001,0.4878048780487805,0.040436456996148895,0.14285714285714285,0.0,
Utility crossing,84,dummy_majority,extra_trees,amplitude_jitter,0.5,0.5,0.07500000000000001,0.4878048780487805,0.040436456996148895,0.14285714285714285,0.0,
