target,project_id,n_samples,n_labels,labels_json
Land type,010,24,4,"{""Greenery"": 11, ""Pedestrian/parking area"": 3, ""Sidewalk"": 6, ""Street/Cycling road"": 4}"
Land type,011,17,3,"{""Pedestrian/parking area"": 1, ""Sidewalk"": 13, ""Street/Cycling road"": 3}"
Land type,02,7,3,"{""Greenery"": 3, ""Sidewalk"": 2, ""Street/Cycling road"": 2}"
Land type,04,8,1,"{""Sidewalk"": 8}"
Land type,05,10,2,"{""Greenery"": 5, ""Pedestrian/parking area"": 5}"
Land type,06,6,1,"{""Sidewalk"": 6}"
Land type,07,4,1,"{""Greenery"": 4}"
Land type,08,8,4,"{""Greenery"": 1, ""Pedestrian/parking area"": 2, ""Sidewalk"": 3, ""Street/Cycling road"": 2}"
Land type,09,9,2,"{""Sidewalk"": 6, ""Street/Cycling road"": 3}"
Land use,010,24,2,"{""Commercial and industrial"": 12, ""High density residental - land-high rise, town and city centre with high population"": 12}"
Land use,011,17,1,"{""High density residental - land-high rise, town and city centre with high population"": 17}"
Land use,02,7,1,"{""High density residental - land-high rise, town and city centre with high population"": 7}"
Land use,04,8,1,"{""Residential - quiet suburbia"": 8}"
Land use,05,10,1,"{""Public institutions and service"": 10}"
Land use,06,6,1,"{""Residential - quiet suburbia"": 6}"
Land use,07,4,1,"{""Rural residential - small farm allotments, increased population"": 4}"
Land use,08,8,1,"{""High density residental - land-high rise, town and city centre with high population"": 8}"
Land use,09,9,1,"{""High density residental - land-high rise, town and city centre with high population"": 9}"
Land cover,010,24,3,"{""Asphalt"": 3, ""Brick road concrete"": 10, ""Grass / vegetation"": 11}"
Land cover,011,17,2,"{""Brick road concrete"": 4, ""Concrete surfacing"": 13}"
Land cover,02,7,3,"{""Brick road concrete"": 2, ""Concrete surfacing"": 2, ""Grass / vegetation"": 3}"
Land cover,04,8,1,"{""Concrete surfacing"": 8}"
Land cover,05,10,2,"{""Brick road concrete"": 5, ""Grass / vegetation"": 5}"
Land cover,06,6,1,"{""Brick road concrete"": 6}"
Land cover,07,4,1,"{""Grass / vegetation"": 4}"
Land cover,08,8,3,"{""Brick road concrete"": 2, ""Concrete surfacing"": 5, ""Grass / vegetation"": 1}"
Land cover,09,9,2,"{""Brick road concrete"": 3, ""Concrete surfacing"": 6}"
Utility crossing,010,18,2,"{""No"": 16, ""Yes"": 2}"
Utility crossing,011,17,2,"{""No"": 15, ""Yes"": 2}"
Utility crossing,02,7,1,"{""No"": 7}"
Utility crossing,04,8,1,"{""No"": 8}"
Utility crossing,05,7,2,"{""No"": 6, ""Yes"": 1}"
Utility crossing,06,6,1,"{""No"": 6}"
Utility crossing,07,4,1,"{""No"": 4}"
Utility crossing,08,8,2,"{""No"": 7, ""Yes"": 1}"
Utility crossing,09,9,1,"{""No"": 9}"
Construction workers,011,17,1,"{""New installation of utilities"": 17}"
Construction workers,02,7,1,"{""New installation of utilities"": 7}"
Construction workers,04,8,1,"{""New installation of utilities"": 8}"
Construction workers,05,10,1,"{""Replacement and new installation of utilities"": 10}"
Construction workers,06,6,1,"{""New installation of utilities"": 6}"
Construction workers,07,4,1,"{""New installation of utilities"": 4}"
Construction workers,08,8,1,"{""Replacement of utilities"": 8}"
Construction workers,09,9,1,"{""New installation of utilities"": 9}"
Relative groundwater level,010,24,3,"{""Below utility range"": 15, ""Partially within utility range"": 5, ""Within utility range"": 4}"
Relative groundwater level,011,17,2,"{""Below utility range"": 10, ""Partially within utility range"": 7}"
Relative groundwater level,02,7,1,"{""Below utility range"": 7}"
Relative groundwater level,04,8,1,"{""Below utility range"": 8}"
Relative groundwater level,05,10,1,"{""Below utility range"": 10}"
Relative groundwater level,06,6,1,"{""Below utility range"": 6}"
Relative groundwater level,07,4,1,"{""Below utility range"": 4}"
Relative groundwater level,08,8,2,"{""Below utility range"": 2, ""Partially within utility range"": 6}"
Relative groundwater level,09,9,1,"{""Below utility range"": 9}"
