dataset,protocol,seed,feature,model,train_n,test_n,train_label_counts,test_label_counts,train_groups,test_groups,shared_train_test_base_groups,shared_test_samples,accuracy,balanced_accuracy,macro_f1
deepmask_gpr,random_stratified_80_20,20260811,hog64,hog64_sgd,2019,505,"{""intact"": 780, ""utility"": 733, ""cavity"": 506}","{""cavity"": 126, ""utility"": 184, ""intact"": 195}",285,236,236,505,0.8910891089108911,0.8871914317566492,0.886341024704196
deepmask_gpr,random_stratified_80_20,20260811,pixel32,pixel32_extra_trees,2019,505,"{""intact"": 780, ""utility"": 733, ""cavity"": 506}","{""cavity"": 126, ""utility"": 184, ""intact"": 195}",285,236,236,505,0.9742574257425742,0.969778007821486,0.9718343348925312
deepmask_gpr,random_stratified_80_20,20260811,metadata,metadata_extra_trees,2019,505,"{""intact"": 780, ""utility"": 733, ""cavity"": 506}","{""cavity"": 126, ""utility"": 184, ""intact"": 195}",285,236,236,505,0.8594059405940594,0.8723332625506538,0.8694324712643678
deepmask_gpr,base_source_group_holdout_80_20,20260811,hog64,hog64_sgd,2012,512,"{""cavity"": 496, ""intact"": 767, ""utility"": 749}","{""cavity"": 136, ""intact"": 208, ""utility"": 168}",228,57,0,0,0.806640625,0.7978704302233713,0.7969733835625249
deepmask_gpr,base_source_group_holdout_80_20,20260811,pixel32,pixel32_extra_trees,2012,512,"{""cavity"": 496, ""intact"": 767, ""utility"": 749}","{""cavity"": 136, ""intact"": 208, ""utility"": 168}",228,57,0,0,0.939453125,0.9258870214752567,0.931058618780605
deepmask_gpr,base_source_group_holdout_80_20,20260811,metadata,metadata_extra_trees,2012,512,"{""cavity"": 496, ""intact"": 767, ""utility"": 749}","{""cavity"": 136, ""intact"": 208, ""utility"": 168}",228,57,0,0,0.8515625,0.8539467068878834,0.8603549438484986
deepmask_gpr,train_original_test_augmented,20260811,hog64,hog64_sgd,285,2239,"{""cavity"": 79, ""intact"": 75, ""utility"": 131}","{""cavity"": 553, ""intact"": 900, ""utility"": 786}",285,285,285,2239,0.7963376507369362,0.8024889657820374,0.7908257309086104
deepmask_gpr,train_original_test_augmented,20260811,pixel32,pixel32_extra_trees,285,2239,"{""cavity"": 79, ""intact"": 75, ""utility"": 131}","{""cavity"": 553, ""intact"": 900, ""utility"": 786}",285,285,285,2239,0.9289861545332738,0.905696044041778,0.9145002736851682
deepmask_gpr,train_original_test_augmented,20260811,metadata,metadata_extra_trees,285,2239,"{""cavity"": 79, ""intact"": 75, ""utility"": 131}","{""cavity"": 553, ""intact"": 900, ""utility"": 786}",285,285,285,2239,0.41402411790978116,0.39066840801018016,0.2857228417324788
deepmask_gpr,train_augmented_test_original,20260811,hog64,hog64_sgd,2239,285,"{""cavity"": 553, ""intact"": 900, ""utility"": 786}","{""cavity"": 79, ""intact"": 75, ""utility"": 131}",285,285,285,285,0.9789473684210527,0.9744585091420536,0.977471705928024
