dataset,seed,protocol,train_environment,test_environment,train_n,test_n,accuracy,balanced_accuracy,macro_f1
mojahid,20260810,random_stratified_80_20,,,2019,505,0.9841584158415841,0.9813377041637912,0.9836605305556977
mojahid,20260810,grouped_fold_0_test_fold_1_val,,,1512,586,0.9709897610921502,0.9680619559651817,0.9700886864285557
res_sam,20260810,within_real_world_random_80_20,real_world,real_world,480,120,0.9166666666666666,0.9166666666666666,0.9166976227309989
res_sam,20260810,within_synthetic_random_80_20,synthetic,synthetic,360,90,1.0,1.0,1.0
res_sam,20260810,transfer_synthetic_to_real_world,synthetic,real_world,450,300,0.43,0.43,0.332528768889498
res_sam,20260810,transfer_real_world_to_synthetic,real_world,synthetic,300,450,0.44,0.43999999999999995,0.37300834431269214
mojahid,20260811,random_stratified_80_20,,,2019,505,0.9900990099009901,0.9892742121002991,0.9897739299156596
mojahid,20260811,grouped_fold_0_test_fold_1_val,,,1512,586,0.9709897610921502,0.9680619559651817,0.9700886864285557
res_sam,20260811,within_real_world_random_80_20,real_world,real_world,480,120,0.9333333333333333,0.9333333333333332,0.9314669198815541
res_sam,20260811,within_synthetic_random_80_20,synthetic,synthetic,360,90,1.0,1.0,1.0
res_sam,20260811,transfer_synthetic_to_real_world,synthetic,real_world,450,300,0.43,0.43,0.332528768889498
res_sam,20260811,transfer_real_world_to_synthetic,real_world,synthetic,300,450,0.44,0.43999999999999995,0.37300834431269214
mojahid,20260812,random_stratified_80_20,,,2019,505,0.9900990099009901,0.9884403036576949,0.9898162180750883
mojahid,20260812,grouped_fold_0_test_fold_1_val,,,1512,586,0.9709897610921502,0.9680619559651817,0.9700886864285557
res_sam,20260812,within_real_world_random_80_20,real_world,real_world,480,120,0.95,0.9500000000000001,0.9497027825975195
res_sam,20260812,within_synthetic_random_80_20,synthetic,synthetic,360,90,1.0,1.0,1.0
res_sam,20260812,transfer_synthetic_to_real_world,synthetic,real_world,450,300,0.43,0.43,0.332528768889498
res_sam,20260812,transfer_real_world_to_synthetic,real_world,synthetic,300,450,0.44,0.43999999999999995,0.37300834431269214
mojahid,20260813,random_stratified_80_20,,,2019,505,0.9900990099009901,0.9884403036576949,0.9893427979887607
mojahid,20260813,grouped_fold_0_test_fold_1_val,,,1512,586,0.9709897610921502,0.9680619559651817,0.9700886864285557
res_sam,20260813,within_real_world_random_80_20,real_world,real_world,480,120,0.95,0.9500000000000001,0.9500996079943449
res_sam,20260813,within_synthetic_random_80_20,synthetic,synthetic,360,90,1.0,1.0,1.0
res_sam,20260813,transfer_synthetic_to_real_world,synthetic,real_world,450,300,0.43,0.43,0.332528768889498
res_sam,20260813,transfer_real_world_to_synthetic,real_world,synthetic,300,450,0.44,0.43999999999999995,0.37300834431269214
mojahid,20260814,random_stratified_80_20,,,2019,505,0.9900990099009901,0.9884403036576949,0.9898162180750883
mojahid,20260814,grouped_fold_0_test_fold_1_val,,,1512,586,0.9709897610921502,0.9680619559651817,0.9700886864285557
res_sam,20260814,within_real_world_random_80_20,real_world,real_world,480,120,0.9333333333333333,0.9333333333333332,0.9308335455394278
res_sam,20260814,within_synthetic_random_80_20,synthetic,synthetic,360,90,1.0,1.0,1.0
res_sam,20260814,transfer_synthetic_to_real_world,synthetic,real_world,450,300,0.43,0.43,0.332528768889498
res_sam,20260814,transfer_real_world_to_synthetic,real_world,synthetic,300,450,0.44,0.43999999999999995,0.37300834431269214
