dataset,seed,protocol,train_environment,test_environment,train_n,test_n,accuracy,balanced_accuracy,macro_f1
mojahid,20260810,random_stratified_80_20,,,2019,505,0.9900990099009901,0.9884403036576949,0.9898750453479918
mojahid,20260810,grouped_fold_0_test_fold_1_val,,,1512,586,0.9641638225255973,0.9591071141985923,0.9622047691338519
res_sam,20260810,within_real_world_random_80_20,real_world,real_world,480,120,0.925,0.9249999999999999,0.9244899302665669
res_sam,20260810,within_synthetic_random_80_20,synthetic,synthetic,360,90,1.0,1.0,1.0
res_sam,20260810,transfer_synthetic_to_real_world,synthetic,real_world,450,300,0.36,0.36000000000000004,0.2255511608509665
res_sam,20260810,transfer_real_world_to_synthetic,real_world,synthetic,300,450,0.3888888888888889,0.38888888888888884,0.2953497406985779
mojahid,20260811,random_stratified_80_20,,,2019,505,0.998019801980198,0.9973544973544973,0.9977686363849031
mojahid,20260811,grouped_fold_0_test_fold_1_val,,,1512,586,0.9641638225255973,0.9591071141985923,0.9622047691338519
res_sam,20260811,within_real_world_random_80_20,real_world,real_world,480,120,0.925,0.9249999999999999,0.925506138920773
res_sam,20260811,within_synthetic_random_80_20,synthetic,synthetic,360,90,1.0,1.0,1.0
res_sam,20260811,transfer_synthetic_to_real_world,synthetic,real_world,450,300,0.36,0.36000000000000004,0.2255511608509665
res_sam,20260811,transfer_real_world_to_synthetic,real_world,synthetic,300,450,0.3888888888888889,0.38888888888888884,0.2953497406985779
mojahid,20260812,random_stratified_80_20,,,2019,505,0.994059405940594,0.9929995929995931,0.9938221298221298
mojahid,20260812,grouped_fold_0_test_fold_1_val,,,1512,586,0.9641638225255973,0.9591071141985923,0.9622047691338519
res_sam,20260812,within_real_world_random_80_20,real_world,real_world,480,120,0.95,0.9500000000000001,0.9503509137655479
res_sam,20260812,within_synthetic_random_80_20,synthetic,synthetic,360,90,0.9888888888888889,0.9888888888888889,0.9888858016115588
res_sam,20260812,transfer_synthetic_to_real_world,synthetic,real_world,450,300,0.36,0.36000000000000004,0.2255511608509665
res_sam,20260812,transfer_real_world_to_synthetic,real_world,synthetic,300,450,0.3888888888888889,0.38888888888888884,0.2953497406985779
mojahid,20260813,random_stratified_80_20,,,2019,505,0.994059405940594,0.9938335014421971,0.9942525499419873
mojahid,20260813,grouped_fold_0_test_fold_1_val,,,1512,586,0.9641638225255973,0.9591071141985923,0.9622047691338519
res_sam,20260813,within_real_world_random_80_20,real_world,real_world,480,120,0.95,0.9500000000000001,0.9497393421013447
res_sam,20260813,within_synthetic_random_80_20,synthetic,synthetic,360,90,1.0,1.0,1.0
res_sam,20260813,transfer_synthetic_to_real_world,synthetic,real_world,450,300,0.36,0.36000000000000004,0.2255511608509665
res_sam,20260813,transfer_real_world_to_synthetic,real_world,synthetic,300,450,0.3888888888888889,0.38888888888888884,0.2953497406985779
mojahid,20260814,random_stratified_80_20,,,2019,505,0.994059405940594,0.9929995929995931,0.9937810175144414
mojahid,20260814,grouped_fold_0_test_fold_1_val,,,1512,586,0.9641638225255973,0.9591071141985923,0.9622047691338519
res_sam,20260814,within_real_world_random_80_20,real_world,real_world,480,120,0.9666666666666667,0.9666666666666667,0.9666361416361416
res_sam,20260814,within_synthetic_random_80_20,synthetic,synthetic,360,90,1.0,1.0,1.0
res_sam,20260814,transfer_synthetic_to_real_world,synthetic,real_world,450,300,0.36,0.36000000000000004,0.2255511608509665
res_sam,20260814,transfer_real_world_to_synthetic,real_world,synthetic,300,450,0.3888888888888889,0.38888888888888884,0.2953497406985779
