sample_id,rel_path,abs_path,file_sha256,label_placeholder,source_group,asset_track,modality,target_task,notes
tigpr:Crack:101,external_assets/tigpr/extracted/TIGPR/Damage Classification/Crack/101.jpg,<LOCAL_DATA_ROOT>\external_assets\tigpr\extracted\TIGPR\Damage Classification\Crack\101.jpg,c0778f5a5ca8aaacf132f7b67b907454a1694d7ab691e786499d9d634860de73,HELD_OUT,sha256:c0778f5a5ca8aaacf132f7b67b907454a1694d7ab691e786499d9d634860de73,other_external,image,tigpr_damage_classification,synthetic blind-freeze regression row; not real blind external evidence
tigpr:Crack:1028,external_assets/tigpr/extracted/TIGPR/Damage Classification/Crack/1028.jpg,<LOCAL_DATA_ROOT>\external_assets\tigpr\extracted\TIGPR\Damage Classification\Crack\1028.jpg,d5bda760a16ada632fc07a64529eb5dce6bda9d2992aa0c6ce85d0ef9b922992,HELD_OUT,sha256:d5bda760a16ada632fc07a64529eb5dce6bda9d2992aa0c6ce85d0ef9b922992,other_external,image,tigpr_damage_classification,synthetic blind-freeze regression row; not real blind external evidence
tigpr:Crack:107,external_assets/tigpr/extracted/TIGPR/Damage Classification/Crack/107.jpg,<LOCAL_DATA_ROOT>\external_assets\tigpr\extracted\TIGPR\Damage Classification\Crack\107.jpg,dfa18cf53173f9ac8ccb21cc47eed11f2d8979f74740ac549a28a98580af0524,HELD_OUT,sha256:dfa18cf53173f9ac8ccb21cc47eed11f2d8979f74740ac549a28a98580af0524,other_external,image,tigpr_damage_classification,synthetic blind-freeze regression row; not real blind external evidence
tigpr:Crack:1071,external_assets/tigpr/extracted/TIGPR/Damage Classification/Crack/1071.jpg,<LOCAL_DATA_ROOT>\external_assets\tigpr\extracted\TIGPR\Damage Classification\Crack\1071.jpg,4828923aa70654721689a6e5ff4ca83eec0dd7426a2cf0097695dc2c5613af9d,HELD_OUT,sha256:4828923aa70654721689a6e5ff4ca83eec0dd7426a2cf0097695dc2c5613af9d,other_external,image,tigpr_damage_classification,synthetic blind-freeze regression row; not real blind external evidence
tigpr:Crack:1135,external_assets/tigpr/extracted/TIGPR/Damage Classification/Crack/1135.jpg,<LOCAL_DATA_ROOT>\external_assets\tigpr\extracted\TIGPR\Damage Classification\Crack\1135.jpg,1fcfe1441051dc2f66ffaaa3c6c04d3e3b1a378dc75b6f2077726950377ad5b6,HELD_OUT,sha256:1fcfe1441051dc2f66ffaaa3c6c04d3e3b1a378dc75b6f2077726950377ad5b6,other_external,image,tigpr_damage_classification,synthetic blind-freeze regression row; not real blind external evidence
tigpr:Crack:116,external_assets/tigpr/extracted/TIGPR/Damage Classification/Crack/116.jpg,<LOCAL_DATA_ROOT>\external_assets\tigpr\extracted\TIGPR\Damage Classification\Crack\116.jpg,ec6cda766d4c5fd4492a2dddb061297c7481c4fb48d152521520ebfc1ebee57e,HELD_OUT,sha256:ec6cda766d4c5fd4492a2dddb061297c7481c4fb48d152521520ebfc1ebee57e,other_external,image,tigpr_damage_classification,synthetic blind-freeze regression row; not real blind external evidence
tigpr:Crack:1168,external_assets/tigpr/extracted/TIGPR/Damage Classification/Crack/1168.jpg,<LOCAL_DATA_ROOT>\external_assets\tigpr\extracted\TIGPR\Damage Classification\Crack\1168.jpg,33293929e1db78cbfcf6232d77e9cf413aeeb99b3d7b28da4a0c81c2077f0ec1,HELD_OUT,sha256:33293929e1db78cbfcf6232d77e9cf413aeeb99b3d7b28da4a0c81c2077f0ec1,other_external,image,tigpr_damage_classification,synthetic blind-freeze regression row; not real blind external evidence
tigpr:Crack:1176,external_assets/tigpr/extracted/TIGPR/Damage Classification/Crack/1176.jpg,<LOCAL_DATA_ROOT>\external_assets\tigpr\extracted\TIGPR\Damage Classification\Crack\1176.jpg,e34463370a19bb7a06988fd834c87636112333fc2dc18c10f3a479b60976dac5,HELD_OUT,sha256:e34463370a19bb7a06988fd834c87636112333fc2dc18c10f3a479b60976dac5,other_external,image,tigpr_damage_classification,synthetic blind-freeze regression row; not real blind external evidence
tigpr:Crack:120,external_assets/tigpr/extracted/TIGPR/Damage Classification/Crack/120.jpg,<LOCAL_DATA_ROOT>\external_assets\tigpr\extracted\TIGPR\Damage Classification\Crack\120.jpg,8f6f23b9b0c8f691d2a71695c8d8ce63a61dc4f4b248deba2d7a4fe211bf54d5,HELD_OUT,sha256:8f6f23b9b0c8f691d2a71695c8d8ce63a61dc4f4b248deba2d7a4fe211bf54d5,other_external,image,tigpr_damage_classification,synthetic blind-freeze regression row; not real blind external evidence
tigpr:Crack:1209,external_assets/tigpr/extracted/TIGPR/Damage Classification/Crack/1209.jpg,<LOCAL_DATA_ROOT>\external_assets\tigpr\extracted\TIGPR\Damage Classification\Crack\1209.jpg,382210423a29d7b0b451abf9718720a8387c9061bd890d6ce9c36ccb4c0ed6bd,HELD_OUT,sha256:382210423a29d7b0b451abf9718720a8387c9061bd890d6ce9c36ccb4c0ed6bd,other_external,image,tigpr_damage_classification,synthetic blind-freeze regression row; not real blind external evidence
tigpr:Crack:135,external_assets/tigpr/extracted/TIGPR/Damage Classification/Crack/135.jpg,<LOCAL_DATA_ROOT>\external_assets\tigpr\extracted\TIGPR\Damage Classification\Crack\135.jpg,bc9e9f43f2389a98e3974e4aecbebd49811df4dfeb0cb2b39727f492d2e9eccb,HELD_OUT,sha256:bc9e9f43f2389a98e3974e4aecbebd49811df4dfeb0cb2b39727f492d2e9eccb,other_external,image,tigpr_damage_classification,synthetic blind-freeze regression row; not real blind external evidence
tigpr:Crack:147,external_assets/tigpr/extracted/TIGPR/Damage Classification/Crack/147.jpg,<LOCAL_DATA_ROOT>\external_assets\tigpr\extracted\TIGPR\Damage Classification\Crack\147.jpg,fb17d7f3ae80e0c63671c096f20c647232f4c1b17ba46f3cbfc8dffb0fb31a34,HELD_OUT,sha256:fb17d7f3ae80e0c63671c096f20c647232f4c1b17ba46f3cbfc8dffb0fb31a34,other_external,image,tigpr_damage_classification,synthetic blind-freeze regression row; not real blind external evidence
tigpr:Crack:149,external_assets/tigpr/extracted/TIGPR/Damage Classification/Crack/149.jpg,<LOCAL_DATA_ROOT>\external_assets\tigpr\extracted\TIGPR\Damage Classification\Crack\149.jpg,bc9e9f43f2389a98e3974e4aecbebd49811df4dfeb0cb2b39727f492d2e9eccb,HELD_OUT,sha256:bc9e9f43f2389a98e3974e4aecbebd49811df4dfeb0cb2b39727f492d2e9eccb,other_external,image,tigpr_damage_classification,synthetic blind-freeze regression row; not real blind external evidence
tigpr:Crack:208,external_assets/tigpr/extracted/TIGPR/Damage Classification/Crack/208.jpg,<LOCAL_DATA_ROOT>\external_assets\tigpr\extracted\TIGPR\Damage Classification\Crack\208.jpg,c0268f49280b0b94468b43254f45b3a3244a91110a97372a07a99aab2fa82723,HELD_OUT,sha256:c0268f49280b0b94468b43254f45b3a3244a91110a97372a07a99aab2fa82723,other_external,image,tigpr_damage_classification,synthetic blind-freeze regression row; not real blind external evidence
tigpr:Crack:212,external_assets/tigpr/extracted/TIGPR/Damage Classification/Crack/212.jpg,<LOCAL_DATA_ROOT>\external_assets\tigpr\extracted\TIGPR\Damage Classification\Crack\212.jpg,18cb76848847aa4e52e08954eca20a16791def1f6a2e95924a287b78e3e541b1,HELD_OUT,sha256:18cb76848847aa4e52e08954eca20a16791def1f6a2e95924a287b78e3e541b1,other_external,image,tigpr_damage_classification,synthetic blind-freeze regression row; not real blind external evidence
tigpr:Crack:224,external_assets/tigpr/extracted/TIGPR/Damage Classification/Crack/224.jpg,<LOCAL_DATA_ROOT>\external_assets\tigpr\extracted\TIGPR\Damage Classification\Crack\224.jpg,e0dce52be5685c39edd31c137c6754c8cb80465bc5570417a971b0e282d2d595,HELD_OUT,sha256:e0dce52be5685c39edd31c137c6754c8cb80465bc5570417a971b0e282d2d595,other_external,image,tigpr_damage_classification,synthetic blind-freeze regression row; not real blind external evidence
tigpr:Crack:289,external_assets/tigpr/extracted/TIGPR/Damage Classification/Crack/289.jpg,<LOCAL_DATA_ROOT>\external_assets\tigpr\extracted\TIGPR\Damage Classification\Crack\289.jpg,09751c4752fa2b839cb4224af88e11b006546eb97f01fb4eb646cb1ba2e9517c,HELD_OUT,sha256:09751c4752fa2b839cb4224af88e11b006546eb97f01fb4eb646cb1ba2e9517c,other_external,image,tigpr_damage_classification,synthetic blind-freeze regression row; not real blind external evidence
tigpr:Crack:311,external_assets/tigpr/extracted/TIGPR/Damage Classification/Crack/311.jpg,<LOCAL_DATA_ROOT>\external_assets\tigpr\extracted\TIGPR\Damage Classification\Crack\311.jpg,9e2a65c9df6dffc65e5ec4b1fca8b5a479964268ec7c072d8edd633576eab90f,HELD_OUT,sha256:9e2a65c9df6dffc65e5ec4b1fca8b5a479964268ec7c072d8edd633576eab90f,other_external,image,tigpr_damage_classification,synthetic blind-freeze regression row; not real blind external evidence
tigpr:Crack:314,external_assets/tigpr/extracted/TIGPR/Damage Classification/Crack/314.jpg,<LOCAL_DATA_ROOT>\external_assets\tigpr\extracted\TIGPR\Damage Classification\Crack\314.jpg,d05d7d47df41957220d52c53baeee672e94df1cfb61d250d81083c0cb7016230,HELD_OUT,sha256:d05d7d47df41957220d52c53baeee672e94df1cfb61d250d81083c0cb7016230,other_external,image,tigpr_damage_classification,synthetic blind-freeze regression row; not real blind external evidence
tigpr:Crack:318,external_assets/tigpr/extracted/TIGPR/Damage Classification/Crack/318.jpg,<LOCAL_DATA_ROOT>\external_assets\tigpr\extracted\TIGPR\Damage Classification\Crack\318.jpg,6abb378ebbeab349bfae90a102318e0a9095a43b548009c1e540d52329d31350,HELD_OUT,sha256:6abb378ebbeab349bfae90a102318e0a9095a43b548009c1e540d52329d31350,other_external,image,tigpr_damage_classification,synthetic blind-freeze regression row; not real blind external evidence
tigpr:Crack:326,external_assets/tigpr/extracted/TIGPR/Damage Classification/Crack/326.jpg,<LOCAL_DATA_ROOT>\external_assets\tigpr\extracted\TIGPR\Damage Classification\Crack\326.jpg,7bf8871e48155db7aa6a0578c666864e5f6b8f3dfe84a9131df6fe6889d0ba02,HELD_OUT,sha256:7bf8871e48155db7aa6a0578c666864e5f6b8f3dfe84a9131df6fe6889d0ba02,other_external,image,tigpr_damage_classification,synthetic blind-freeze regression row; not real blind external evidence
tigpr:Crack:350,external_assets/tigpr/extracted/TIGPR/Damage Classification/Crack/350.jpg,<LOCAL_DATA_ROOT>\external_assets\tigpr\extracted\TIGPR\Damage Classification\Crack\350.jpg,94bf9080c2c33faa621dd585a918b84fb315ce0a6b68fa90ebb7bcebbcb16275,HELD_OUT,sha256:94bf9080c2c33faa621dd585a918b84fb315ce0a6b68fa90ebb7bcebbcb16275,other_external,image,tigpr_damage_classification,synthetic blind-freeze regression row; not real blind external evidence
