source_group,n,accuracy,balanced_accuracy,macro_f1
sha256:028d31722c6101694517e3bdcd4f78c4fc55bc9308bbc420bdfdc3a9aa082f7e,1,1.0,1.0,1.0
sha256:03de329b551391afd9c18319c9542266f5d0262de17b5a27061e8525afaa509b,1,0.0,0.0,0.0
sha256:046f2562c4fe8ce2485dcd4494c5c2c1afa608389d55117f631be19461474c9b,1,1.0,1.0,1.0
sha256:04e448848ce053c159a996df0fe662a7fd5a018115684a9ac34ea7be8b0f3ad7,1,1.0,1.0,1.0
sha256:056278e8a737ebbd27673b65775c83f4a63e03efb1301d7582b6026581a66634,1,1.0,1.0,1.0
sha256:05ca6a08e1549daa61f181c7107126a9bb9b0e669cfc47ceac9bc213b6d0fef8,1,1.0,1.0,1.0
sha256:068defdcf65812948649214a429a0de01de766ecb5bcc0d4756aeea01557583f,1,0.0,0.0,0.0
sha256:079909be87c5bc74463dfaf017bcdb129f26fa5fa3b85bd14211b8bce868894a,1,1.0,1.0,1.0
sha256:086375993b09e7908286c413ebf15e2acaf1089324e1869ae50cd3fc5f3025a4,1,0.0,0.0,0.0
sha256:089e15f454bb85086ec1d918df23918a82ae00b0bc0675be2a100820b0de283e,1,1.0,1.0,1.0
sha256:090ee6f2a2fe7542b0eba8d2089f04f54124c63a4553b94bfabf3e23105191da,1,1.0,1.0,1.0
sha256:09751c4752fa2b839cb4224af88e11b006546eb97f01fb4eb646cb1ba2e9517c,1,1.0,1.0,1.0
sha256:0a5373534b0da2a16c4e3264a9d05dc03acd89737f2d4ebf0865025b2d174b8d,1,1.0,1.0,1.0
sha256:0cf057db049bc8b6c31a9b999521e4c3bb585a25ccee988b1bc8f39a4b9f2079,1,1.0,1.0,1.0
sha256:0db8245cd1403c6e053f217a1f73759bc514fc783c2b46ab7cb5574ff2eb4d7f,1,1.0,1.0,1.0
sha256:0e4b79b309391d1a42bebf0fdbe9709cb9d411493857e17b0103e85fa94f1782,1,0.0,0.0,0.0
sha256:100c32b9a3758bc47129556559a2361cf405211053fb3e62e7d29945714a0aea,1,1.0,1.0,1.0
sha256:105decdb2aebc0c5dfbfd9d31e0d43fc656b6ebda661200bdf4694ac49ab1b9e,1,1.0,1.0,1.0
sha256:11647299b216b9db000f55bc07e23c9d0b0e2c7c1df853d4c8061a0fc20f076c,1,1.0,1.0,1.0
sha256:130c5ea5e3e55f0fea2cef504cf8dbcdb1d8766b0a4bf6e9e77f02eef89ef1f6,1,1.0,1.0,1.0
sha256:133928086b5c277815376143fbf079d9b3c01043cbc941257dcac86b3faad426,1,1.0,1.0,1.0
sha256:1345753863777b9b62665cdb45a080b189cf4c6c63c653a58ae71d88effcf243,1,1.0,1.0,1.0
sha256:139f4ab002efaff33bedc4ba29c035b0edc65d59d0f36e635b6e0fa7a4b52fdd,1,1.0,1.0,1.0
sha256:14dfc95643f6ca841d0a6c199d00e63499d856952919637ec566a25f1704c754,1,1.0,1.0,1.0
sha256:15028255c88a57fc712d7926b370e8bccfd109dd668ec53129aea6357f068411,1,1.0,1.0,1.0
sha256:16745e8fefd1fe42129a9e0a807c8ca7c07a97edf9b96f64e90902978c7bc40f,1,1.0,1.0,1.0
sha256:185df703ff37bf1701eb977aba303743aaa09e326130464484e55eca8a9910f7,1,1.0,1.0,1.0
sha256:18cb76848847aa4e52e08954eca20a16791def1f6a2e95924a287b78e3e541b1,1,1.0,1.0,1.0
sha256:18f6d4d3dfc918155859bfb310367cc7f20eb73b30759d524ccb2e5ba742f396,1,1.0,1.0,1.0
sha256:1aef13a69680300b5f2959f23183880d681216fdd33ddaa7608bc8d0b93a8bfd,1,1.0,1.0,1.0
sha256:1c50b8571870751646086bef806ad192ec03b70d2cf29b7fae669cc12d619303,1,1.0,1.0,1.0
sha256:1e8daea426dff8855c14c7eb1ee768c51fbfe340d1cd29fe57533a261bd4db27,1,1.0,1.0,1.0
sha256:1fb8086b72f436dd828f85b30e1bc726086ab6cb063da7b7ceddb27905a461b0,1,1.0,1.0,1.0
sha256:1fcfe1441051dc2f66ffaaa3c6c04d3e3b1a378dc75b6f2077726950377ad5b6,1,1.0,1.0,1.0
sha256:212c19999e7a423dd792aeaec2b93272b973feb7221131e8fe0504c2a38587d1,1,1.0,1.0,1.0
sha256:24fbfa4b6547eafa1fe61c99cda46fb79f3aa2f47d5343b568515b944580241c,1,1.0,1.0,1.0
sha256:25fede7484da7d7d0d9eeb263b16ef4fa43aa531a7593903a36756db452ab696,1,1.0,1.0,1.0
sha256:26903c5486283c1a5372c1f20395c8bef5cf2d2056fc2f048c9dbf5d0b1efdb9,1,0.0,0.0,0.0
sha256:26cf9ae3fd080c2079d20075876367594c4528daa28dfe6c565bdeeb5c81489f,1,1.0,1.0,1.0
sha256:274472d4ad920202810a8ad04d05f5ab4056bb834e6223415cdd4f6c589104b9,1,1.0,1.0,1.0
sha256:278d367be845d67533ee949aeeaf43d1770f71b17ba0646f2c384f035cfe03d7,1,1.0,1.0,1.0
sha256:284c39423751e630e085761e4e051a3926823c4f9413e123655d1c17d7183a1f,1,1.0,1.0,1.0
sha256:2ae1ef683600d6e8ddab37f455b1e9a6ea756222a5c9d257c4eb3bf08fbf7b73,1,1.0,1.0,1.0
sha256:2bfac4faef185ee538c02005e380b0cc1351e42216295f4a020919ffe93e4919,1,1.0,1.0,1.0
sha256:2dd748f69d3806a279bc6921872edd55133eada04dd7e668164179ebc2019c83,1,1.0,1.0,1.0
sha256:2f8a92209718e0865c523b0e4fad628854f95181aa806f6c5650d5ce4c43d1a2,1,1.0,1.0,1.0
sha256:30188d6ac6b77e2fd892167d52198b716c62c2287e5f4fbeebbed1df3c89902b,1,0.0,0.0,0.0
sha256:303da4c324a13f77568c790701935658f25b43fc3bd5f93c63a5a174d005b993,1,1.0,1.0,1.0
sha256:32dd7efa60c70a26b27129d98f32e37193cca359d69c58dda6c3bd11a7b3f57c,1,1.0,1.0,1.0
sha256:33293929e1db78cbfcf6232d77e9cf413aeeb99b3d7b28da4a0c81c2077f0ec1,1,1.0,1.0,1.0
sha256:34894bec88d43a74067f51fdf3807964448f4ee4b5cb20cf926e45569f67b760,1,1.0,1.0,1.0
sha256:380fa9a78832e2a054d7456f8c4217a45c6bf7a1e025a0ee2447fdf3a018fccf,1,1.0,1.0,1.0
sha256:382210423a29d7b0b451abf9718720a8387c9061bd890d6ce9c36ccb4c0ed6bd,1,1.0,1.0,1.0
sha256:3a542bdedc50bc1447a1d4510c60c000ea1f12d5fa6745c3e68238e4d75fb5c6,1,0.0,0.0,0.0
sha256:3adf5bd0e96eddd22b6b3bbd98c39b4af1b2827ada4575bd02d2af2d366a516c,1,1.0,1.0,1.0
sha256:3ba3ffbf46327db93d95cf9dc73cc618aae22a827172b6835109bb34c6acaf71,1,1.0,1.0,1.0
sha256:3cbe79e72b37a06e5cfea1f2f9a6553f5243468ef4d97bec4105678c91667e63,1,1.0,1.0,1.0
sha256:3dec9ada3274b16f5899ba9c446f9b637c65b9c01fe59962e759f920bb979b1a,1,1.0,1.0,1.0
sha256:3f79c86ac28b1c9ba81f1853074a9cad815ccbea84d87aaa6ccdac9fcfc494e7,1,1.0,1.0,1.0
sha256:400025d79f3f114c581a3e0f4cecfa5e44efb6922ec175dbcb0d7f0e3b03490e,1,1.0,1.0,1.0
sha256:402e27d3e36834aff8214aa156a5ba9051cd4e5b81cbff00e0a7876529daddf3,1,1.0,1.0,1.0
sha256:40a8b60690d94a286fe5e69c377d5216b8c712d94298d4886707a315e7a000b3,1,1.0,1.0,1.0
sha256:41931dda8fbd0bd26f7aac9c3c528cf126160c0aa662547b4c9880d8c1c9a9e3,1,1.0,1.0,1.0
sha256:41d7201d2e7f785fec681dc2c31eaf69035d1322121b96e8f46d42ffb5b89ce4,1,0.0,0.0,0.0
sha256:4398bd713ac0b5355ebaf3df44a9cd9f9de8e68322343be06a257979f9432204,1,0.0,0.0,0.0
sha256:44468c64f9c68b599d28aed897c91561b6fb9c060866c241931f29e88b71ff72,1,1.0,1.0,1.0
sha256:46aa9e27cde7d6c4877f3c0cfb489a6763624b33960ed2fb1b5a8e8302265e42,1,1.0,1.0,1.0
sha256:4828923aa70654721689a6e5ff4ca83eec0dd7426a2cf0097695dc2c5613af9d,1,1.0,1.0,1.0
sha256:4aa985d44ab616805378b73d5cf44195191f5fdf87b976dea5253f99fe231c34,1,1.0,1.0,1.0
sha256:4cae9b51e76535c95a933982d79774b39dbbdbd0a5c703a05323e47e65ddc99f,1,0.0,0.0,0.0
sha256:4cf2ed7aaa3e301ccea71684f69e3df4af408c4787bd161e18d37d08f97a81fd,1,1.0,1.0,1.0
sha256:4cf87267ed42fa36c91152562d205364f773b14b13524015a907767fff336e75,1,1.0,1.0,1.0
sha256:4ddeb123c7c09a1ff81937113085ec0739877b78730d25442f1795c008f13c20,1,1.0,1.0,1.0
sha256:4df40810f545d40d232a4f635662a24aac7d7672ba1f55cb9124a783fb8876da,1,0.0,0.0,0.0
sha256:4e128b90298f8aeede24efc9436956872d668830233a5983192c93f588d65763,1,1.0,1.0,1.0
sha256:4fdfcbb4905e81d8a616fd918528010885feb8bc7e9125435d713ecd953994ba,1,0.0,0.0,0.0
sha256:50a9fa987adc8d94f37a0888cb12c795be8073856bd760708381779d827d9832,1,0.0,0.0,0.0
sha256:517419f9cbef333bff4a4fe3cea3f305caf1c7bc7aa0d22793f77d2feb04e827,1,0.0,0.0,0.0
sha256:5224fce47880a0e3b144a6a3e370121abd0e68ea239fda8ea870cdfe880eb68f,1,1.0,1.0,1.0
