category,file_name,source_path,packet_path,bytes,sha256
closeout,final_human_execution_action_queue.csv,<REPO_ROOT>\reports\final_human_execution_closeout_board_20260810\final_human_execution_action_queue.csv,materials\closeout\final_human_execution_action_queue.csv,1771,1ddcb16d549f15709d4409bdd11eadcf9d86ec0757fe88e1ea005e1e6b83bc6e
closeout,final_human_execution_evidence_matrix.csv,<REPO_ROOT>\reports\final_human_execution_closeout_board_20260810\final_human_execution_evidence_matrix.csv,materials\closeout\final_human_execution_evidence_matrix.csv,632,6c189e321803310833b198b1bfebebd7192fa68674c2601b5e78b1a13015e3b7
closeout,final_human_execution_no_go_rules.csv,<REPO_ROOT>\reports\final_human_execution_closeout_board_20260810\final_human_execution_no_go_rules.csv,materials\closeout\final_human_execution_no_go_rules.csv,1008,018bd5523821779ae2503d7f2c8ba9f5a43c1f650812203c4c4bc9f3b3a5f17d
author_sendout,NatComms_author_sendout_bundle_v2_20260810.zip,<REPO_ROOT>\reports\natcomms_author_sendout_bundle_v2_20260810\NatComms_author_sendout_bundle_v2_20260810.zip,materials\author_sendout\NatComms_author_sendout_bundle_v2_20260810.zip,19069,45053afb2641a6ef63aa17b17b5373ec454137d28f61942deb2634aa84f5b19d
author_sendout,author_sendout_email_ready_draft_cn.md,<REPO_ROOT>\reports\natcomms_author_sendout_bundle_v2_20260810\author_sendout_email_ready_draft_cn.md,materials\author_sendout\author_sendout_email_ready_draft_cn.md,2968,b480fafba6593ac6fea2bb4cc68fa07b74c6d01415a5a7b83a8a3ecdbb801d68
author_sendout,AUTHOR_SENDOUT_BUNDLE_V2_INSTRUCTIONS.md,<REPO_ROOT>\reports\natcomms_author_sendout_bundle_v2_20260810\AUTHOR_SENDOUT_BUNDLE_V2_INSTRUCTIONS.md,materials\author_sendout\AUTHOR_SENDOUT_BUNDLE_V2_INSTRUCTIONS.md,885,b6df1b8b80bfa06001badd660c663dd0d3c868f5f6c5ac57f98aef4277c71ea2
author_sendout,author_sendout_bundle_v2_manifest.csv,<REPO_ROOT>\reports\natcomms_author_sendout_bundle_v2_20260810\author_sendout_bundle_v2_manifest.csv,materials\author_sendout\author_sendout_bundle_v2_manifest.csv,5588,5a2860550053d9aaac39c7614e4ff6559231361e8a516d47a55eb9a0b6b60bcb
figure_review,NatComms_python_figure_author_review_packet_20260810.zip,<REPO_ROOT>\reports\python_figure_author_review_packet_20260810\NatComms_python_figure_author_review_packet_20260810.zip,materials\figure_review\NatComms_python_figure_author_review_packet_20260810.zip,935119,f4c5255afc201cecaacc1979baba39f475e0d869db6929c1c31cc2990bd644b5
figure_review,python_figure_author_review_form.csv,<REPO_ROOT>\reports\python_figure_author_review_packet_20260810\python_figure_author_review_form.csv,materials\figure_review\python_figure_author_review_form.csv,2499,f11cf310b9b01d581487de725321ae50a00c09741e6fc4e3d3bad28abf1b812b
figure_review,PYTHON_FIGURE_AUTHOR_REVIEW_INSTRUCTIONS.md,<REPO_ROOT>\reports\python_figure_author_review_packet_20260810\PYTHON_FIGURE_AUTHOR_REVIEW_INSTRUCTIONS.md,materials\figure_review\PYTHON_FIGURE_AUTHOR_REVIEW_INSTRUCTIONS.md,568,a4b493ae3c96f661100498b8671bee7dab96e60005c838bc678703f1823f3a91
manual_evidence,manual_evidence_intake_worksheet.csv,<REPO_ROOT>\reports\manual_evidence_intake_worksheet_20260810\manual_evidence_intake_worksheet.csv,materials\manual_evidence\manual_evidence_intake_worksheet.csv,3197,4447db40fcd394fa0d186d11878659617bc1716bfa8076cce515e4ae97940e8d
manual_evidence,manual_evidence_dispatch_writeback_map.csv,<REPO_ROOT>\reports\manual_evidence_intake_worksheet_20260810\manual_evidence_dispatch_writeback_map.csv,materials\manual_evidence\manual_evidence_dispatch_writeback_map.csv,1183,2e54681fb3e966f1fb61901ba6f58f29eb03e7eb250ce7b0fc7a09209ff3b8e3
manual_evidence,manual_evidence_inbox_manifest.csv,<REPO_ROOT>\reports\manual_evidence_inbox_scaffold_20260810\manual_evidence_inbox_manifest.csv,materials\manual_evidence\manual_evidence_inbox_manifest.csv,2149,6fa1b330ab90576342b1bbbe1165332fbfb01655a6384aef3311f075b3d3f42a
manual_evidence,MANUAL_EVIDENCE_INBOX_README.md,<REPO_ROOT>\reports\manual_evidence_inbox_scaffold_20260810\MANUAL_EVIDENCE_INBOX_README.md,materials\manual_evidence\MANUAL_EVIDENCE_INBOX_README.md,1001,88a4059f7c517352d5c62def96212363ae770de77bc25cce28fd8ebb3b819d53
repository_rights,availability_repository_blockers.csv,<REPO_ROOT>\reports\availability_repository_finalization_validator_20260810\availability_repository_blockers.csv,materials\repository_rights\availability_repository_blockers.csv,953,5ca2b88e12ba46e3f30695b756504301f1cb9cccbf464c641d9cd3778eaf30de
repository_rights,availability_repository_command_queue.csv,<REPO_ROOT>\reports\availability_repository_finalization_validator_20260810\availability_repository_command_queue.csv,materials\repository_rights\availability_repository_command_queue.csv,681,0eb22da0f95b09d9aaa9c2fc8759e15bb9bda1c622ccb75ced82b20bb0050b98
reporting_summary,reporting_summary_item_final_lock_status.csv,<REPO_ROOT>\reports\reporting_summary_final_lock_validator_20260810\reporting_summary_item_final_lock_status.csv,materials\reporting_summary\reporting_summary_item_final_lock_status.csv,2563,bf03bcc6d2660d9be3fb33849a4d44262813e8eddc3726e1e1e63a2ba478507c
reporting_summary,reporting_summary_final_lock_command_queue.csv,<REPO_ROOT>\reports\reporting_summary_final_lock_validator_20260810\reporting_summary_final_lock_command_queue.csv,materials\reporting_summary\reporting_summary_final_lock_command_queue.csv,488,6d6a723d1d1571787225900eeff3f2b4519d9784a6d1ee8bc8d2c10c57b328fc
references,reference_final_lock_command_queue.csv,<REPO_ROOT>\reports\reference_final_lock_validator_20260810\reference_final_lock_command_queue.csv,materials\references\reference_final_lock_command_queue.csv,523,b1264c6f3f2ba20f80c2140e0baa801a74f90128c6513fbaae714fec700543d2
references,reference_final_lock_no_go_rules.csv,<REPO_ROOT>\reports\reference_final_lock_validator_20260810\reference_final_lock_no_go_rules.csv,materials\references\reference_final_lock_no_go_rules.csv,711,d3ca16ff0ea1333d62531528bcfab618d3736aec4b9fd5544b6db2f3c1e0aa70
submission,natcomms_submission_final_lock_blockers.csv,<REPO_ROOT>\reports\natcomms_submission_final_lock_validator_20260810\natcomms_submission_final_lock_blockers.csv,materials\submission\natcomms_submission_final_lock_blockers.csv,905,33247b7b8268c81d4e271df8bb1bb414a32a0981e4441d1f0c2d6e4e24516ca6
submission,natcomms_submission_final_lock_portal_overlay.csv,<REPO_ROOT>\reports\natcomms_submission_final_lock_validator_20260810\natcomms_submission_final_lock_portal_overlay.csv,materials\submission\natcomms_submission_final_lock_portal_overlay.csv,3783,267f053175ec23eb3dd6d9573c6cf4876cb4711b8fedc85d0652b415652193d6
