category,file_name,source_path,bundle_path,bytes,sha256
00_read_first,final_human_execution_return_routing.csv,<REPO_ROOT>\reports\final_human_execution_handoff_packet_20260810\final_human_execution_return_routing.csv,materials\00_read_first\final_human_execution_return_routing.csv,2205,5da4083875830dc0e86da445f0d14e982c3d9a9c5e626f5607bb0c796f81bdaf
00_read_first,final_human_execution_operator_checklist.csv,<REPO_ROOT>\reports\final_human_execution_handoff_packet_20260810\final_human_execution_operator_checklist.csv,materials\00_read_first\final_human_execution_operator_checklist.csv,2025,34e91c83fcfee60762a4cfa432c84e4969bf784c66ccce7718cafbca84b88bb4
00_read_first,final_human_execution_validation_commands.csv,<REPO_ROOT>\reports\final_human_execution_handoff_packet_20260810\final_human_execution_validation_commands.csv,materials\00_read_first\final_human_execution_validation_commands.csv,952,6f0390e556d53a241fe12d8238681a809deb5a5b58e9145b8d60f7e9518c40c1
01_inbox,final_return_evidence_canonical_routes.csv,<REPO_ROOT>\reports\final_return_evidence_inbox_scaffold_20260810\final_return_evidence_canonical_routes.csv,materials\01_inbox\final_return_evidence_canonical_routes.csv,3448,edb0280108a56427a7c17324f0e3335798a53d7fd18f225d36d709ea3c603eb6
01_inbox,final_return_evidence_folder_manifest.csv,<REPO_ROOT>\reports\final_return_evidence_inbox_scaffold_20260810\final_return_evidence_folder_manifest.csv,materials\01_inbox\final_return_evidence_folder_manifest.csv,960,be6ce7e956607740ad06918d978a13d5086d0d4e8ea02ed4702903d45297bacc
01_inbox,FINAL_RETURN_EVIDENCE_INBOX_SCAFFOLD_README.md,<REPO_ROOT>\reports\final_return_evidence_inbox_scaffold_20260810\FINAL_RETURN_EVIDENCE_INBOX_SCAFFOLD_README.md,materials\01_inbox\FINAL_RETURN_EVIDENCE_INBOX_SCAFFOLD_README.md,579,6fc6906dc5faccebac4c43b3a1eafeb00ea98ef7f297716301d9f52cd8a3b0df
02_scan,final_return_evidence_route_scan.csv,<REPO_ROOT>\reports\final_return_evidence_intake_scanner_20260810\final_return_evidence_route_scan.csv,materials\02_scan\final_return_evidence_route_scan.csv,1340,3b47ed0781a1be035ade41f88386ab2dcebcefdc0f0c5b06effe38cfe9d00c95
02_scan,final_return_evidence_next_validation_commands.csv,<REPO_ROOT>\reports\final_return_evidence_intake_scanner_20260810\final_return_evidence_next_validation_commands.csv,materials\02_scan\final_return_evidence_next_validation_commands.csv,1521,4191863ff5af6d8d8b14e886c64d826ca8e9fcdc8723d208b085956a4fccead1
02_scan,FINAL_RETURN_EVIDENCE_INTAKE_SCANNER_README.md,<REPO_ROOT>\reports\final_return_evidence_intake_scanner_20260810\FINAL_RETURN_EVIDENCE_INTAKE_SCANNER_README.md,materials\02_scan\FINAL_RETURN_EVIDENCE_INTAKE_SCANNER_README.md,534,222adb3a721f2125c1fc24ec52665093671680c2f22d2d11e81a769841c591fd
03_writeback,final_return_writeback_route_matrix.csv,<REPO_ROOT>\reports\final_return_evidence_writeback_preflight_20260810\final_return_writeback_route_matrix.csv,materials\03_writeback\final_return_writeback_route_matrix.csv,3541,45b4868d436fd48d7fa1b7106728c0385b8fd1ff0766e6bd1989da19931a50f5
03_writeback,final_return_writeback_protected_targets.csv,<REPO_ROOT>\reports\final_return_evidence_writeback_preflight_20260810\final_return_writeback_protected_targets.csv,materials\03_writeback\final_return_writeback_protected_targets.csv,1514,ca91d5264e8ce0340ae4ab63f101de4a6c971da70da003b7d78c149a5f7ec145
03_writeback,FINAL_RETURN_EVIDENCE_WRITEBACK_PREFLIGHT_README.md,<REPO_ROOT>\reports\final_return_evidence_writeback_preflight_20260810\FINAL_RETURN_EVIDENCE_WRITEBACK_PREFLIGHT_README.md,materials\03_writeback\FINAL_RETURN_EVIDENCE_WRITEBACK_PREFLIGHT_README.md,505,547b9d8f3fad6dbb76abf6cc3335434c3b6e3810c1965868a358783142d52fb6
04_transition,post_writeback_route_transition_matrix.csv,<REPO_ROOT>\reports\post_writeback_gate_transition_validator_20260810\post_writeback_route_transition_matrix.csv,materials\04_transition\post_writeback_route_transition_matrix.csv,1999,a39392b02a3ebf458f90d98496f6e8825403cdc5fac133da6af8c4539cba01bd
04_transition,post_writeback_final_sequence.csv,<REPO_ROOT>\reports\post_writeback_gate_transition_validator_20260810\post_writeback_final_sequence.csv,materials\04_transition\post_writeback_final_sequence.csv,664,71266757dd60b647d3e340a4ce851d7d8200c9bf62d270873cdd036c4221d9ed
04_transition,POST_WRITEBACK_GATE_TRANSITION_VALIDATOR_README.md,<REPO_ROOT>\reports\post_writeback_gate_transition_validator_20260810\POST_WRITEBACK_GATE_TRANSITION_VALIDATOR_README.md,materials\04_transition\POST_WRITEBACK_GATE_TRANSITION_VALIDATOR_README.md,443,4e173dee83fb8fae6ca7e385a0b18fc033bf94392dbbd1169b9efe82715a9ade
05_guarded_runner,post_return_guarded_command_plan.csv,<REPO_ROOT>\reports\post_return_guarded_execution_runner_20260810\post_return_guarded_command_plan.csv,materials\05_guarded_runner\post_return_guarded_command_plan.csv,1357,8dc140a3e49dd9ec11bf16cf1b3769a53e2d48b473df8453ccdf84955ddbac7c
05_guarded_runner,post_return_global_guard_state.csv,<REPO_ROOT>\reports\post_return_guarded_execution_runner_20260810\post_return_global_guard_state.csv,materials\05_guarded_runner\post_return_global_guard_state.csv,411,cb368dbb24bb4d7882cde2c0756652140e8c9e358c3bb901d89314f35a306669
05_guarded_runner,run_post_return_guarded_execution.ps1,<REPO_ROOT>\reports\post_return_guarded_execution_runner_20260810\run_post_return_guarded_execution.ps1,materials\05_guarded_runner\run_post_return_guarded_execution.ps1,320,4eff35f2da556309639112be6629ba5bd6af3f13c261ced2d2eeebeed8b9533f
05_guarded_runner,POST_RETURN_GUARDED_EXECUTION_RUNNER_README.md,<REPO_ROOT>\reports\post_return_guarded_execution_runner_20260810\POST_RETURN_GUARDED_EXECUTION_RUNNER_README.md,materials\05_guarded_runner\POST_RETURN_GUARDED_EXECUTION_RUNNER_README.md,567,c3da1ae4cff055b2f672952a1b2f343d9aa6a8c90e29ee5900b921689e5c4ae1
06_original_materials,NatComms_final_human_execution_handoff_packet_20260810.zip,<REPO_ROOT>\reports\final_human_execution_handoff_packet_20260810\NatComms_final_human_execution_handoff_packet_20260810.zip,materials\06_original_materials\NatComms_final_human_execution_handoff_packet_20260810.zip,973725,d5ad75f8dca2af8548c87a6575f3fbf7f0b797c314ff5424267c78290016aa2a
