dataset,seed,protocol,train_environment,test_environment,train_n,test_n,accuracy,balanced_accuracy,macro_f1
mojahid,20260810,random_stratified_80_20,,,2019,505,0.8356435643564356,0.8269544867370954,0.8264267600873492
mojahid,20260810,grouped_fold_0_test_fold_1_val,,,1512,586,0.8054607508532423,0.8010150858610174,0.7999461190581334
res_sam,20260810,within_real_world_random_80_20,real_world,real_world,480,120,0.675,0.6750000000000002,0.6676311743500992
res_sam,20260810,within_synthetic_random_80_20,synthetic,synthetic,360,90,0.5777777777777777,0.5777777777777778,0.5759287793186099
res_sam,20260810,transfer_synthetic_to_real_world,synthetic,real_world,450,300,0.3433333333333333,0.3433333333333333,0.34806285606099724
res_sam,20260810,transfer_real_world_to_synthetic,real_world,synthetic,300,450,0.30666666666666664,0.30666666666666664,0.27320104011833335
mojahid,20260811,random_stratified_80_20,,,2019,505,0.8198019801980198,0.8141131815044859,0.8127883964101262
mojahid,20260811,grouped_fold_0_test_fold_1_val,,,1512,586,0.8054607508532423,0.8010150858610174,0.7999461190581334
res_sam,20260811,within_real_world_random_80_20,real_world,real_world,480,120,0.7,0.7000000000000001,0.6965277995765801
res_sam,20260811,within_synthetic_random_80_20,synthetic,synthetic,360,90,0.5333333333333333,0.5333333333333333,0.5267115600448934
res_sam,20260811,transfer_synthetic_to_real_world,synthetic,real_world,450,300,0.3433333333333333,0.3433333333333333,0.34806285606099724
res_sam,20260811,transfer_real_world_to_synthetic,real_world,synthetic,300,450,0.30666666666666664,0.30666666666666664,0.27320104011833335
mojahid,20260812,random_stratified_80_20,,,2019,505,0.8277227722772277,0.8200146874059917,0.8190087350192337
mojahid,20260812,grouped_fold_0_test_fold_1_val,,,1512,586,0.8054607508532423,0.8010150858610174,0.7999461190581334
res_sam,20260812,within_real_world_random_80_20,real_world,real_world,480,120,0.675,0.6749999999999999,0.6695170695170697
res_sam,20260812,within_synthetic_random_80_20,synthetic,synthetic,360,90,0.5,0.5,0.4989224137931034
res_sam,20260812,transfer_synthetic_to_real_world,synthetic,real_world,450,300,0.3433333333333333,0.3433333333333333,0.34806285606099724
res_sam,20260812,transfer_real_world_to_synthetic,real_world,synthetic,300,450,0.30666666666666664,0.30666666666666664,0.27320104011833335
mojahid,20260813,random_stratified_80_20,,,2019,505,0.8653465346534653,0.863097007662225,0.8611347351071371
mojahid,20260813,grouped_fold_0_test_fold_1_val,,,1512,586,0.8054607508532423,0.8010150858610174,0.7999461190581334
res_sam,20260813,within_real_world_random_80_20,real_world,real_world,480,120,0.625,0.6249999999999999,0.613061659837391
res_sam,20260813,within_synthetic_random_80_20,synthetic,synthetic,360,90,0.5444444444444444,0.5444444444444444,0.5418984056358918
res_sam,20260813,transfer_synthetic_to_real_world,synthetic,real_world,450,300,0.3433333333333333,0.3433333333333333,0.34806285606099724
res_sam,20260813,transfer_real_world_to_synthetic,real_world,synthetic,300,450,0.30666666666666664,0.30666666666666664,0.27320104011833335
mojahid,20260814,random_stratified_80_20,,,2019,505,0.8693069306930693,0.8634009307922352,0.8650004715163487
mojahid,20260814,grouped_fold_0_test_fold_1_val,,,1512,586,0.8054607508532423,0.8010150858610174,0.7999461190581334
res_sam,20260814,within_real_world_random_80_20,real_world,real_world,480,120,0.5833333333333334,0.5833333333333334,0.5769925246521374
res_sam,20260814,within_synthetic_random_80_20,synthetic,synthetic,360,90,0.5555555555555556,0.5555555555555555,0.5514129727589036
res_sam,20260814,transfer_synthetic_to_real_world,synthetic,real_world,450,300,0.3433333333333333,0.3433333333333333,0.34806285606099724
res_sam,20260814,transfer_real_world_to_synthetic,real_world,synthetic,300,450,0.30666666666666664,0.30666666666666664,0.27320104011833335
