category,source_path,packet_path,exists,size_bytes
author_sendout,reports\natcomms_author_sendout_bundle_v2_20260810\NatComms_author_sendout_bundle_v2_20260810.zip,attachments\author_sendout\NatComms_author_sendout_bundle_v2_20260810.zip,True,19069
author_sendout,reports\natcomms_author_sendout_bundle_v2_20260810\author_sendout_email_ready_draft_cn.md,attachments\author_sendout\author_sendout_email_ready_draft_cn.md,True,2968
author_sendout,reports\natcomms_manual_sendout_execution_guard_20260810\manual_sendout_execution_checklist.csv,attachments\author_sendout\manual_sendout_execution_checklist.csv,True,2617
backend_scope,reports\figure_backend_scope_decision_handoff_20260810\FIGURE_BACKEND_SCOPE_DECISION_HANDOFF.md,attachments\backend_scope\FIGURE_BACKEND_SCOPE_DECISION_HANDOFF.md,True,779
backend_scope,reports\figure_backend_scope_decision_handoff_20260810\backend_option_recommendation_matrix.csv,attachments\backend_scope\backend_option_recommendation_matrix.csv,True,657
backend_scope,reports\natcomms_author_finalization_reply_packet_20260810\figure_backend_decision_ticket.csv,attachments\backend_scope\figure_backend_decision_ticket.csv,True,696
external_asset,reports\external_asset_triage_register_20260810\external_asset_contact_packet_queue.csv,attachments\external_asset\external_asset_contact_packet_queue.csv,True,870
external_asset,reports\blind_external_acquisition_package_20260810\external_blind_asset_request_letter.md,attachments\external_asset\external_blind_asset_request_letter.md,True,1553
external_asset,reports\blind_external_acquisition_package_20260810\external_asset_rights_checklist.csv,attachments\external_asset\external_asset_rights_checklist.csv,True,1019
rights_licence,reports\rights_licence_completion_handoff_20260810\rights_licence_decision_matrix.csv,attachments\rights_licence\rights_licence_decision_matrix.csv,True,1201
rights_licence,reports\rights_licence_completion_handoff_20260810\rights_completion_command_queue.csv,attachments\rights_licence\rights_completion_command_queue.csv,True,1169
reporting_summary,reports\reporting_summary_completion_handoff_20260810\reporting_summary_author_handoff_queue.csv,attachments\reporting_summary\reporting_summary_author_handoff_queue.csv,True,1132
reporting_summary,reports\reporting_summary_completion_handoff_20260810\reporting_summary_item_completion_matrix.csv,attachments\reporting_summary\reporting_summary_item_completion_matrix.csv,True,5289
references,reports\reference_completion_handoff_20260810\reference_manual_verification_queue.csv,attachments\references\reference_manual_verification_queue.csv,True,1310
references,reports\reference_completion_handoff_20260810\citation_marker_final_replacement_queue.csv,attachments\references\citation_marker_final_replacement_queue.csv,True,1202
