protocol,test_fold,val_fold,seed,train_n,test_n,train_source_groups,test_source_groups,shared_source_groups,train_label_counts,test_label_counts,uniform_accuracy,uniform_balanced_accuracy,uniform_macro_f1,class_balanced_accuracy,class_balanced_balanced_accuracy,class_balanced_macro_f1,source_balanced_accuracy,source_balanced_balanced_accuracy,source_balanced_macro_f1,label_source_balanced_accuracy,label_source_balanced_balanced_accuracy,label_source_balanced_macro_f1,delta_class_balanced_minus_uniform_accuracy,delta_class_balanced_minus_uniform_balanced_accuracy,delta_class_balanced_minus_uniform_macro_f1,delta_source_balanced_minus_uniform_accuracy,delta_source_balanced_minus_uniform_balanced_accuracy,delta_source_balanced_minus_uniform_macro_f1,delta_label_source_balanced_minus_uniform_accuracy,delta_label_source_balanced_minus_uniform_balanced_accuracy,delta_label_source_balanced_minus_uniform_macro_f1
current_fold0_test_fold1_val,0,1,20260811,1512,586,408,149,0,"{""cavity"": 384, ""intact"": 610, ""utility"": 518}","{""cavity"": 168, ""intact"": 201, ""utility"": 217}",0.8668941979522184,0.8566422877929859,0.857873240491165,0.8668941979522184,0.8566422877929859,0.857873240491165,0.856655290102389,0.842375106036637,0.8432053131031313,0.863481228668942,0.8513299478032267,0.8526607988067471,0.0,0.0,0.0,-0.010238907849829393,-0.01426718175634889,-0.014667927388033686,-0.0034129692832765013,-0.005312339989759218,-0.005212441684417923
task_aware_fold0_test_fold3_val,0,3,20260811,1489,586,406,149,0,"{""cavity"": 360, ""intact"": 597, ""utility"": 532}","{""cavity"": 168, ""intact"": 201, ""utility"": 217}",0.8856655290102389,0.8744354265538666,0.8778974775085558,0.8856655290102389,0.8744354265538666,0.8778974775085558,0.8651877133105802,0.8500555975880965,0.8517561711017146,0.8822525597269625,0.8698968674293662,0.8731802949864623,0.0,0.0,0.0,-0.020477815699658675,-0.02437982896577018,-0.026141306406841203,-0.0034129692832763903,-0.0045385591245004075,-0.0047171825220935215
current_fold0_test_fold1_val,0,1,20260812,1512,586,408,149,0,"{""cavity"": 384, ""intact"": 610, ""utility"": 518}","{""cavity"": 168, ""intact"": 201, ""utility"": 217}",0.8668941979522184,0.8566422877929859,0.857873240491165,0.8668941979522184,0.8566422877929859,0.857873240491165,0.856655290102389,0.842375106036637,0.8432053131031313,0.863481228668942,0.8513299478032267,0.8526607988067471,0.0,0.0,0.0,-0.010238907849829393,-0.01426718175634889,-0.014667927388033686,-0.0034129692832765013,-0.005312339989759218,-0.005212441684417923
task_aware_fold0_test_fold3_val,0,3,20260812,1489,586,406,149,0,"{""cavity"": 360, ""intact"": 597, ""utility"": 532}","{""cavity"": 168, ""intact"": 201, ""utility"": 217}",0.8856655290102389,0.8744354265538666,0.8778974775085558,0.8856655290102389,0.8744354265538666,0.8778974775085558,0.8651877133105802,0.8500555975880965,0.8517561711017146,0.8822525597269625,0.8698968674293662,0.8731802949864623,0.0,0.0,0.0,-0.020477815699658675,-0.02437982896577018,-0.026141306406841203,-0.0034129692832763903,-0.0045385591245004075,-0.0047171825220935215
current_fold0_test_fold1_val,0,1,20260813,1512,586,408,149,0,"{""cavity"": 384, ""intact"": 610, ""utility"": 518}","{""cavity"": 168, ""intact"": 201, ""utility"": 217}",0.8668941979522184,0.8566422877929859,0.857873240491165,0.8668941979522184,0.8566422877929859,0.857873240491165,0.856655290102389,0.842375106036637,0.8432053131031313,0.863481228668942,0.8513299478032267,0.8526607988067471,0.0,0.0,0.0,-0.010238907849829393,-0.01426718175634889,-0.014667927388033686,-0.0034129692832765013,-0.005312339989759218,-0.005212441684417923
task_aware_fold0_test_fold3_val,0,3,20260813,1489,586,406,149,0,"{""cavity"": 360, ""intact"": 597, ""utility"": 532}","{""cavity"": 168, ""intact"": 201, ""utility"": 217}",0.8856655290102389,0.8744354265538666,0.8778974775085558,0.8856655290102389,0.8744354265538666,0.8778974775085558,0.8651877133105802,0.8500555975880965,0.8517561711017146,0.8822525597269625,0.8698968674293662,0.8731802949864623,0.0,0.0,0.0,-0.020477815699658675,-0.02437982896577018,-0.026141306406841203,-0.0034129692832763903,-0.0045385591245004075,-0.0047171825220935215
current_fold0_test_fold1_val,0,1,20260814,1512,586,408,149,0,"{""cavity"": 384, ""intact"": 610, ""utility"": 518}","{""cavity"": 168, ""intact"": 201, ""utility"": 217}",0.8668941979522184,0.8566422877929859,0.857873240491165,0.8668941979522184,0.8566422877929859,0.857873240491165,0.856655290102389,0.842375106036637,0.8432053131031313,0.863481228668942,0.8513299478032267,0.8526607988067471,0.0,0.0,0.0,-0.010238907849829393,-0.01426718175634889,-0.014667927388033686,-0.0034129692832765013,-0.005312339989759218,-0.005212441684417923
task_aware_fold0_test_fold3_val,0,3,20260814,1489,586,406,149,0,"{""cavity"": 360, ""intact"": 597, ""utility"": 532}","{""cavity"": 168, ""intact"": 201, ""utility"": 217}",0.8856655290102389,0.8744354265538666,0.8778974775085558,0.8856655290102389,0.8744354265538666,0.8778974775085558,0.8651877133105802,0.8500555975880965,0.8517561711017146,0.8822525597269625,0.8698968674293662,0.8731802949864623,0.0,0.0,0.0,-0.020477815699658675,-0.02437982896577018,-0.026141306406841203,-0.0034129692832763903,-0.0045385591245004075,-0.0047171825220935215
current_fold0_test_fold1_val,0,1,20260815,1512,586,408,149,0,"{""cavity"": 384, ""intact"": 610, ""utility"": 518}","{""cavity"": 168, ""intact"": 201, ""utility"": 217}",0.8668941979522184,0.8566422877929859,0.857873240491165,0.8668941979522184,0.8566422877929859,0.857873240491165,0.856655290102389,0.842375106036637,0.8432053131031313,0.863481228668942,0.8513299478032267,0.8526607988067471,0.0,0.0,0.0,-0.010238907849829393,-0.01426718175634889,-0.014667927388033686,-0.0034129692832765013,-0.005312339989759218,-0.005212441684417923
task_aware_fold0_test_fold3_val,0,3,20260815,1489,586,406,149,0,"{""cavity"": 360, ""intact"": 597, ""utility"": 532}","{""cavity"": 168, ""intact"": 201, ""utility"": 217}",0.8856655290102389,0.8744354265538666,0.8778974775085558,0.8856655290102389,0.8744354265538666,0.8778974775085558,0.8651877133105802,0.8500555975880965,0.8517561711017146,0.8822525597269625,0.8698968674293662,0.8731802949864623,0.0,0.0,0.0,-0.020477815699658675,-0.02437982896577018,-0.026141306406841203,-0.0034129692832763903,-0.0045385591245004075,-0.0047171825220935215
