protocol,test_fold,val_fold,seed,temperature,validation_nll_at_temperature,train_n,val_n,test_n,shared_train_test_source_groups,test_label_counts,uncalibrated_accuracy,uncalibrated_balanced_accuracy,uncalibrated_macro_f1,uncalibrated_nll,uncalibrated_ece_10bin,uncalibrated_mean_confidence,temperature_calibrated_accuracy,temperature_calibrated_balanced_accuracy,temperature_calibrated_macro_f1,temperature_calibrated_nll,temperature_calibrated_ece_10bin,temperature_calibrated_mean_confidence,delta_temperature_calibrated_minus_uncalibrated_accuracy,delta_temperature_calibrated_minus_uncalibrated_balanced_accuracy,delta_temperature_calibrated_minus_uncalibrated_macro_f1,delta_temperature_calibrated_minus_uncalibrated_nll,delta_temperature_calibrated_minus_uncalibrated_ece_10bin,delta_temperature_calibrated_minus_uncalibrated_mean_confidence
current_fold0_test_fold1_val,0,1,20260811,3.7,0.42402899979128966,1512,426,586,0,"{""0"": 168, ""1"": 201, ""2"": 217}",0.7832764505119454,0.7741219020106839,0.7732306967408565,1.0433387177235127,0.1651356802441017,0.9484121307560471,0.7832764505119454,0.7741219020106839,0.7732306967408565,0.49834761216198575,0.029614931670476942,0.8128913821824224,0.0,0.0,0.0,-0.544991105561527,-0.13552074857362476,-0.13552074857362473
task_aware_fold0_test_fold3_val,0,3,20260811,3.75,0.4561243759819438,1489,449,586,0,"{""0"": 168, ""1"": 201, ""2"": 217}",0.8310580204778157,0.8209623923393784,0.8211410022759855,0.8210748060553617,0.12075499837834046,0.9452725400950135,0.8310580204778157,0.8209623923393784,0.8211410022759855,0.4486417202873963,0.029718684015909255,0.8038343091407693,0.0,0.0,0.0,-0.37243308576796536,-0.0910363143624312,-0.14143823095424424
current_fold0_test_fold1_val,0,1,20260812,3.7,0.42402899979128966,1512,426,586,0,"{""0"": 168, ""1"": 201, ""2"": 217}",0.7832764505119454,0.7741219020106839,0.7732306967408565,1.0433387177235127,0.1651356802441017,0.9484121307560471,0.7832764505119454,0.7741219020106839,0.7732306967408565,0.49834761216198575,0.029614931670476942,0.8128913821824224,0.0,0.0,0.0,-0.544991105561527,-0.13552074857362476,-0.13552074857362473
task_aware_fold0_test_fold3_val,0,3,20260812,3.75,0.4561243759819438,1489,449,586,0,"{""0"": 168, ""1"": 201, ""2"": 217}",0.8310580204778157,0.8209623923393784,0.8211410022759855,0.8210748060553617,0.12075499837834046,0.9452725400950135,0.8310580204778157,0.8209623923393784,0.8211410022759855,0.4486417202873963,0.029718684015909255,0.8038343091407693,0.0,0.0,0.0,-0.37243308576796536,-0.0910363143624312,-0.14143823095424424
current_fold0_test_fold1_val,0,1,20260813,3.7,0.42402899979128966,1512,426,586,0,"{""0"": 168, ""1"": 201, ""2"": 217}",0.7832764505119454,0.7741219020106839,0.7732306967408565,1.0433387177235127,0.1651356802441017,0.9484121307560471,0.7832764505119454,0.7741219020106839,0.7732306967408565,0.49834761216198575,0.029614931670476942,0.8128913821824224,0.0,0.0,0.0,-0.544991105561527,-0.13552074857362476,-0.13552074857362473
task_aware_fold0_test_fold3_val,0,3,20260813,3.75,0.4561243759819438,1489,449,586,0,"{""0"": 168, ""1"": 201, ""2"": 217}",0.8310580204778157,0.8209623923393784,0.8211410022759855,0.8210748060553617,0.12075499837834046,0.9452725400950135,0.8310580204778157,0.8209623923393784,0.8211410022759855,0.4486417202873963,0.029718684015909255,0.8038343091407693,0.0,0.0,0.0,-0.37243308576796536,-0.0910363143624312,-0.14143823095424424
current_fold0_test_fold1_val,0,1,20260814,3.7,0.42402899979128966,1512,426,586,0,"{""0"": 168, ""1"": 201, ""2"": 217}",0.7832764505119454,0.7741219020106839,0.7732306967408565,1.0433387177235127,0.1651356802441017,0.9484121307560471,0.7832764505119454,0.7741219020106839,0.7732306967408565,0.49834761216198575,0.029614931670476942,0.8128913821824224,0.0,0.0,0.0,-0.544991105561527,-0.13552074857362476,-0.13552074857362473
task_aware_fold0_test_fold3_val,0,3,20260814,3.75,0.4561243759819438,1489,449,586,0,"{""0"": 168, ""1"": 201, ""2"": 217}",0.8310580204778157,0.8209623923393784,0.8211410022759855,0.8210748060553617,0.12075499837834046,0.9452725400950135,0.8310580204778157,0.8209623923393784,0.8211410022759855,0.4486417202873963,0.029718684015909255,0.8038343091407693,0.0,0.0,0.0,-0.37243308576796536,-0.0910363143624312,-0.14143823095424424
current_fold0_test_fold1_val,0,1,20260815,3.7,0.42402899979128966,1512,426,586,0,"{""0"": 168, ""1"": 201, ""2"": 217}",0.7832764505119454,0.7741219020106839,0.7732306967408565,1.0433387177235127,0.1651356802441017,0.9484121307560471,0.7832764505119454,0.7741219020106839,0.7732306967408565,0.49834761216198575,0.029614931670476942,0.8128913821824224,0.0,0.0,0.0,-0.544991105561527,-0.13552074857362476,-0.13552074857362473
task_aware_fold0_test_fold3_val,0,3,20260815,3.75,0.4561243759819438,1489,449,586,0,"{""0"": 168, ""1"": 201, ""2"": 217}",0.8310580204778157,0.8209623923393784,0.8211410022759855,0.8210748060553617,0.12075499837834046,0.9452725400950135,0.8310580204778157,0.8209623923393784,0.8211410022759855,0.4486417202873963,0.029718684015909255,0.8038343091407693,0.0,0.0,0.0,-0.37243308576796536,-0.0910363143624312,-0.14143823095424424
