source_path,archive_name,exists,size_bytes
<LOCAL_DESKTOP>\\NatComms_manual_dispatch_master_packet_20260810.zip,00_master_dispatch/NatComms_manual_dispatch_master_packet_20260810.zip,True,33391
<LOCAL_DESKTOP>\\NatComms_今日人工动作最小包_20260810.md,01_start_here/NatComms_今日人工动作最小包_20260810.md,True,4376
<LOCAL_DESKTOP>\\NatComms_人工证据回收Inbox说明_20260810.md,01_start_here/NatComms_人工证据回收Inbox说明_20260810.md,True,1001
<LOCAL_DESKTOP>\\NatComms_人工证据填写与重跑说明_20260810.md,01_start_here/NatComms_人工证据填写与重跑说明_20260810.md,True,1795
<REPO_ROOT>\reports\manual_evidence_lifecycle_dashboard_20260810\manual_evidence_lifecycle_dashboard.csv,02_lifecycle/manual_evidence_lifecycle_dashboard.csv,True,1663
<REPO_ROOT>\reports\manual_evidence_lifecycle_dashboard_20260810\manual_evidence_lifecycle_next_actions.csv,02_lifecycle/manual_evidence_lifecycle_next_actions.csv,True,616
<REPO_ROOT>\reports\manual_evidence_lifecycle_dashboard_20260810\manual_evidence_lifecycle_blockers.csv,02_lifecycle/manual_evidence_lifecycle_blockers.csv,True,409
<REPO_ROOT>\reports\inbox_to_tracker_writeback_queue_20260810\inbox_to_tracker_writeback_queue.csv,03_writeback/inbox_to_tracker_writeback_queue.csv,True,4524
<REPO_ROOT>\reports\manual_evidence_inbox_audit_20260810\manual_evidence_inbox_folder_audit.csv,03_writeback/manual_evidence_inbox_folder_audit.csv,True,1068
<REPO_ROOT>\reports\post_dispatch_evidence_intake_validator_20260810\post_dispatch_next_validation_commands.csv,04_validators/post_dispatch_next_validation_commands.csv,True,684
<REPO_ROOT>\reports\gate_closure_execution_board_20260810\gate_closure_execution_board.csv,04_validators/gate_closure_execution_board.csv,True,2510
<REPO_ROOT>\reports\next_human_execution_handoff_bundle_20260810\NEXT_HUMAN_EXECUTION_HANDOFF_README.md,README_NEXT_HUMAN_EXECUTION_HANDOFF.md,True,960
