model_family,dataset,contrast,delta_mean,directional_support,material_support
hog_rbf_svm,mojahid,random_minus_grouped_balanced_accuracy,0.09764457671126991,True,True
hog_rbf_svm,res_sam,within_minus_transfer_synthetic_to_real_world,0.4116666666666666,True,True
hog_rbf_svm,res_sam,within_minus_transfer_real_world_to_synthetic,0.5555555555555556,True,True
lightweight_cnn,mojahid,random_minus_grouped_balanced_accuracy,0.009838784098062825,True,False
lightweight_cnn,res_sam,within_minus_transfer_synthetic_to_real_world,-0.010333333333333306,False,False
lightweight_cnn,res_sam,within_minus_transfer_real_world_to_synthetic,0.29066666666666674,True,True
resnet18_embedding_linear_svm,mojahid,random_minus_grouped_balanced_accuracy,0.024998660811811124,True,False
resnet18_embedding_linear_svm,res_sam,within_minus_transfer_synthetic_to_real_world,0.5783333333333334,True,True
resnet18_embedding_linear_svm,res_sam,within_minus_transfer_real_world_to_synthetic,0.428888888888889,True,True
efficientnet_b0_embedding_linear_svm,mojahid,random_minus_grouped_balanced_accuracy,0.03401838349212272,True,False
efficientnet_b0_embedding_linear_svm,res_sam,within_minus_transfer_synthetic_to_real_world,0.5833333333333333,True,True
efficientnet_b0_embedding_linear_svm,res_sam,within_minus_transfer_real_world_to_synthetic,0.6088888888888889,True,True
deit_tiny_embedding_linear_svm,mojahid,random_minus_grouped_balanced_accuracy,0.019124609482253363,True,False
deit_tiny_embedding_linear_svm,res_sam,within_minus_transfer_synthetic_to_real_world,0.5066666666666668,True,True
deit_tiny_embedding_linear_svm,res_sam,within_minus_transfer_real_world_to_synthetic,0.56,True,True
