figure_id,format,source,packet_file,bytes,sha256
Figure 1,png,reports/python_figure_preview_package_20260810/figures/figure1_protocol_asset_boundary_preview.png,reports/python_figure_author_review_packet_20260810/figures_for_author_review/figure_1_author_review.png,185473,7701eae6486751643de3f5091d8e5ad887c8cddf85f4afab2fa35cc659ca982c
Figure 1,pdf,reports/python_figure_preview_package_20260810/figures/figure1_protocol_asset_boundary_preview.pdf,reports/python_figure_author_review_packet_20260810/figures_for_author_review/figure_1_author_review.pdf,26455,9dfffa39879740f229acba5958e6241162ff6260e4cede1d7f55e11248353f09
Figure 2,png,reports/python_figure_preview_package_20260810/figures/figure2_res_sam_transfer_signal_preview.png,reports/python_figure_author_review_packet_20260810/figures_for_author_review/figure_2_author_review.png,185730,93f501a952e92b10727fb55c883da7c8d748d91159afff2f9ddaf099679f85e6
Figure 2,pdf,reports/python_figure_preview_package_20260810/figures/figure2_res_sam_transfer_signal_preview.pdf,reports/python_figure_author_review_packet_20260810/figures_for_author_review/figure_2_author_review.pdf,29245,b649f03707229ea59a44a18f24f234fc57cfdcf538f3b9dfeb4e3f89ff8ace37
Figure 3,png,reports/python_figure_preview_package_20260810/figures/figure3_mojahid_directional_boundary_preview.png,reports/python_figure_author_review_packet_20260810/figures_for_author_review/figure_3_author_review.png,130890,3d46d85a0a9fc5ca7b151a8c0afaf618737ce313bb8ae1810c5d00dd53a3106c
Figure 3,pdf,reports/python_figure_preview_package_20260810/figures/figure3_mojahid_directional_boundary_preview.pdf,reports/python_figure_author_review_packet_20260810/figures_for_author_review/figure_3_author_review.pdf,24762,ef146637410da359b40d608399980985914201b278fcb91810c12c8485a4d997
Figure 4,png,reports/python_figure_preview_package_20260810/figures/figure4_4tu_stress_boundary_preview.png,reports/python_figure_author_review_packet_20260810/figures_for_author_review/figure_4_author_review.png,138271,9449717d985b54ece27f752721bb9045b145204264a608076f21eb7f715a98c2
Figure 4,pdf,reports/python_figure_preview_package_20260810/figures/figure4_4tu_stress_boundary_preview.pdf,reports/python_figure_author_review_packet_20260810/figures_for_author_review/figure_4_author_review.pdf,25244,03fb69b6d8b2c9590049b76630d6dd58b759e2252dc47ce9797b116375287746
Figure 5,png,reports/python_figure_preview_package_20260810/figures/figure5_4tu_feasibility_gate_preview.png,reports/python_figure_author_review_packet_20260810/figures_for_author_review/figure_5_author_review.png,106129,6986194a1bb4acef9fee1ef91c11a6008b9e1006b9612820708139f1716a6055
Figure 5,pdf,reports/python_figure_preview_package_20260810/figures/figure5_4tu_feasibility_gate_preview.pdf,reports/python_figure_author_review_packet_20260810/figures_for_author_review/figure_5_author_review.pdf,23395,eb498d2bc3c870b8454b805658d8b5ad84849c6eaf7e93fe2b2ec859f084167c
Figure 6,png,reports/python_figure_preview_package_20260810/figures/figure6_external_validation_open_gate_preview.png,reports/python_figure_author_review_packet_20260810/figures_for_author_review/figure_6_author_review.png,132233,9a2f195b6e54dd1f3244a120c07adcdc59c3fa0af3d8e802c1d8825c6e882280
Figure 6,pdf,reports/python_figure_preview_package_20260810/figures/figure6_external_validation_open_gate_preview.pdf,reports/python_figure_author_review_packet_20260810/figures_for_author_review/figure_6_author_review.pdf,22277,11ae3e28e03bb0f3b14834c963488a9ffb0708deb1ae425b6570de078a3915d6
