upload_order,source_relative_path,staged_relative_path,category,sha256,upload_decision,public_release_status
1,reports/companion_artifacts_skeleton_20260810/data_repository_plan.csv,files/reports/companion_artifacts_skeleton_20260810/data_repository_plan.csv,companion_artifact_skeleton,de1bebba5f786f962ddc327971f9f9203d4345d51e434847975a8fda338b7724,queue_after_rights_and_licence_clearance,blocked_pending_licence_rights_and_identifier
2,reports/figure1_table1_sources_20260810/figure1_flow_source.csv,files/reports/figure1_table1_sources_20260810/figure1_flow_source.csv,figure_table_source_data,3a7c3319dfdc22c41b08dce3e0a390a8c5a133050bd11090f929051949b22409,queue_after_rights_and_licence_clearance,blocked_pending_licence_rights_and_identifier
3,reports/figure1_table1_sources_20260810/figure1_table1_source_summary.json,files/reports/figure1_table1_sources_20260810/figure1_table1_source_summary.json,figure_table_source_data,21a4758a53cd037c35051f04059f32a2cb91991b9de976cb98bbd5251b1083aa,queue_after_rights_and_licence_clearance,blocked_pending_licence_rights_and_identifier
4,reports/figure1_table1_sources_20260810/figure1_table1_source_summary.md,files/reports/figure1_table1_sources_20260810/figure1_table1_source_summary.md,figure_table_source_data,a388ee46bbcbff65bc588444f6b039f5c50cf00837fa6f18869750972226fa4a,queue_after_rights_and_licence_clearance,blocked_pending_licence_rights_and_identifier
5,reports/figure1_table1_sources_20260810/table1_asset_audit.csv,files/reports/figure1_table1_sources_20260810/table1_asset_audit.csv,figure_table_source_data,747c3093c9689793733c7075777c06210c809cd9705c01c3e4855a0ccd506aee,queue_after_rights_and_licence_clearance,blocked_pending_licence_rights_and_identifier
6,reports/figure2_table2_sources_20260810/figure2_source_data.csv,files/reports/figure2_table2_sources_20260810/figure2_source_data.csv,figure_table_source_data,dc1dd100ae33bfcf3cdb038e6515fd0403977e1ede311f711cb56df95131de3d,queue_after_rights_and_licence_clearance,blocked_pending_licence_rights_and_identifier
7,reports/figure2_table2_sources_20260810/figure2_table2_source_summary.md,files/reports/figure2_table2_sources_20260810/figure2_table2_source_summary.md,figure_table_source_data,34164469cc3fede5abbab833a66a415d7e254f2af46646a79b77b5e15037f7fa,queue_after_rights_and_licence_clearance,blocked_pending_licence_rights_and_identifier
8,reports/figure2_table2_sources_20260810/table2_model_family_support.csv,files/reports/figure2_table2_sources_20260810/table2_model_family_support.csv,figure_table_source_data,34ec3399c056bf85dc46530fc33b460f8ea965ea05e1f84788a3e52805c2314f,queue_after_rights_and_licence_clearance,blocked_pending_licence_rights_and_identifier
9,reports/figure3_sources_20260810/figure3_claim_boundary.csv,files/reports/figure3_sources_20260810/figure3_claim_boundary.csv,figure_table_source_data,4cf86e540a92cad60f9ab1beff69365c29e342787e73181e99c4688056cb6a19,queue_after_rights_and_licence_clearance,blocked_pending_licence_rights_and_identifier
10,reports/figure3_sources_20260810/figure3_hog_split_source_data.csv,files/reports/figure3_sources_20260810/figure3_hog_split_source_data.csv,figure_table_source_data,b4b2cb54e474bf1cb1359841a6fe7ebc922f934e0e2c575971bec6584da3192c,queue_after_rights_and_licence_clearance,blocked_pending_licence_rights_and_identifier
11,reports/figure3_sources_20260810/figure3_model_delta_source_data.csv,files/reports/figure3_sources_20260810/figure3_model_delta_source_data.csv,figure_table_source_data,3d1f6329717a91cc8722174716c563cc24b2af43ecd190d7294fc0ffa37843a5,queue_after_rights_and_licence_clearance,blocked_pending_licence_rights_and_identifier
12,reports/figure3_sources_20260810/figure3_source_summary.json,files/reports/figure3_sources_20260810/figure3_source_summary.json,figure_table_source_data,d17829c9ae55942ff8b6b6d9d0dc67e958be466ee46387108a80d156f8dd569c,queue_after_rights_and_licence_clearance,blocked_pending_licence_rights_and_identifier
13,reports/figure3_sources_20260810/figure3_source_summary.md,files/reports/figure3_sources_20260810/figure3_source_summary.md,figure_table_source_data,f51e831e83f23232cac23655f0b49444554465189ecad9c27e6aabeac0d0650d,queue_after_rights_and_licence_clearance,blocked_pending_licence_rights_and_identifier
14,reports/figure4_sources_20260810/figure4_counterfactual_source_data.csv,files/reports/figure4_sources_20260810/figure4_counterfactual_source_data.csv,figure_table_source_data,3d701da7cc506196a4ef91029053ac95159965f1c014b9f1b650aad16fd3b634,queue_after_rights_and_licence_clearance,blocked_pending_licence_rights_and_identifier
