dataset,seed,protocol,train_environment,test_environment,train_n,test_n,accuracy,balanced_accuracy,macro_f1
mojahid,20260810,random_stratified_80_20,,,2019,505,0.994059405940594,0.9928974005060961,0.9938805388578045
mojahid,20260810,grouped_fold_0_test_fold_1_val,,,1512,586,0.9675767918088737,0.9635233968406814,0.9660290942815387
res_sam,20260810,within_real_world_random_80_20,real_world,real_world,480,120,0.9,0.9,0.8992307376453718
res_sam,20260810,within_synthetic_random_80_20,synthetic,synthetic,360,90,0.9777777777777777,0.9777777777777779,0.9775767853778028
res_sam,20260810,transfer_synthetic_to_real_world,synthetic,real_world,450,300,0.33666666666666667,0.33666666666666667,0.1736850376767
res_sam,20260810,transfer_real_world_to_synthetic,real_world,synthetic,300,450,0.5555555555555556,0.5555555555555555,0.5445895285916248
mojahid,20260811,random_stratified_80_20,,,2019,505,0.9881188118811881,0.9867309019482932,0.987642117716652
mojahid,20260811,grouped_fold_0_test_fold_1_val,,,1512,586,0.9675767918088737,0.9635233968406814,0.9660290942815387
res_sam,20260811,within_real_world_random_80_20,real_world,real_world,480,120,0.8916666666666667,0.8916666666666666,0.8931492681492683
res_sam,20260811,within_synthetic_random_80_20,synthetic,synthetic,360,90,0.9888888888888889,0.9888888888888889,0.9888858016115588
res_sam,20260811,transfer_synthetic_to_real_world,synthetic,real_world,450,300,0.33666666666666667,0.33666666666666667,0.1736850376767
res_sam,20260811,transfer_real_world_to_synthetic,real_world,synthetic,300,450,0.5555555555555556,0.5555555555555555,0.5445895285916248
mojahid,20260812,random_stratified_80_20,,,2019,505,0.9920792079207921,0.9903540903540904,0.9916245891841369
mojahid,20260812,grouped_fold_0_test_fold_1_val,,,1512,586,0.9675767918088737,0.9635233968406814,0.9660290942815387
res_sam,20260812,within_real_world_random_80_20,real_world,real_world,480,120,0.95,0.9499999999999998,0.9494849378995721
res_sam,20260812,within_synthetic_random_80_20,synthetic,synthetic,360,90,0.9777777777777777,0.9777777777777779,0.9779478767997084
res_sam,20260812,transfer_synthetic_to_real_world,synthetic,real_world,450,300,0.33666666666666667,0.33666666666666667,0.1736850376767
res_sam,20260812,transfer_real_world_to_synthetic,real_world,synthetic,300,450,0.5555555555555556,0.5555555555555555,0.5445895285916248
mojahid,20260813,random_stratified_80_20,,,2019,505,0.9841584158415841,0.9814398966572879,0.9836060741645314
mojahid,20260813,grouped_fold_0_test_fold_1_val,,,1512,586,0.9675767918088737,0.9635233968406814,0.9660290942815387
res_sam,20260813,within_real_world_random_80_20,real_world,real_world,480,120,0.925,0.9250000000000002,0.9247754149834934
res_sam,20260813,within_synthetic_random_80_20,synthetic,synthetic,360,90,0.9777777777777777,0.9777777777777779,0.9777746905004476
res_sam,20260813,transfer_synthetic_to_real_world,synthetic,real_world,450,300,0.33666666666666667,0.33666666666666667,0.1736850376767
res_sam,20260813,transfer_real_world_to_synthetic,real_world,synthetic,300,450,0.5555555555555556,0.5555555555555555,0.5445895285916248
mojahid,20260814,random_stratified_80_20,,,2019,505,0.9920792079207921,0.9911879987966944,0.992020328020328
mojahid,20260814,grouped_fold_0_test_fold_1_val,,,1512,586,0.9675767918088737,0.9635233968406814,0.9660290942815387
res_sam,20260814,within_real_world_random_80_20,real_world,real_world,480,120,0.9083333333333333,0.9083333333333333,0.9057850349891429
res_sam,20260814,within_synthetic_random_80_20,synthetic,synthetic,360,90,1.0,1.0,1.0
res_sam,20260814,transfer_synthetic_to_real_world,synthetic,real_world,450,300,0.33666666666666667,0.33666666666666667,0.1736850376767
res_sam,20260814,transfer_real_world_to_synthetic,real_world,synthetic,300,450,0.5555555555555556,0.5555555555555555,0.5445895285916248
