seed,direction,method,metric,value
20260811,synthetic_to_real_world,raw_source_to_raw_target,accuracy,0.43666666666666665
20260811,synthetic_to_real_world,raw_source_to_raw_target,balanced_accuracy,0.4366666666666667
20260811,synthetic_to_real_world,raw_source_to_raw_target,macro_f1,0.3423478099492822
20260811,synthetic_to_real_world,source_style_aug_to_raw_target,accuracy,0.4033333333333333
20260811,synthetic_to_real_world,source_style_aug_to_raw_target,balanced_accuracy,0.4033333333333333
20260811,synthetic_to_real_world,source_style_aug_to_raw_target,macro_f1,0.2927085175361038
20260811,synthetic_to_real_world,source_style_aug_to_per_image_zscore_target,accuracy,0.39666666666666667
20260811,synthetic_to_real_world,source_style_aug_to_per_image_zscore_target,balanced_accuracy,0.39666666666666667
20260811,synthetic_to_real_world,source_style_aug_to_per_image_zscore_target,macro_f1,0.28260346776326867
20260811,synthetic_to_real_world,source_style_aug_to_per_image_equalized_target,accuracy,0.4266666666666667
20260811,synthetic_to_real_world,source_style_aug_to_per_image_equalized_target,balanced_accuracy,0.4266666666666667
20260811,synthetic_to_real_world,source_style_aug_to_per_image_equalized_target,macro_f1,0.33522863429405486
20260811,real_world_to_synthetic,raw_source_to_raw_target,accuracy,0.3511111111111111
20260811,real_world_to_synthetic,raw_source_to_raw_target,balanced_accuracy,0.3511111111111111
20260811,real_world_to_synthetic,raw_source_to_raw_target,macro_f1,0.20336096463118916
20260811,real_world_to_synthetic,source_style_aug_to_raw_target,accuracy,0.34
20260811,real_world_to_synthetic,source_style_aug_to_raw_target,balanced_accuracy,0.34
20260811,real_world_to_synthetic,source_style_aug_to_raw_target,macro_f1,0.18116778875292808
20260811,real_world_to_synthetic,source_style_aug_to_per_image_zscore_target,accuracy,0.34
20260811,real_world_to_synthetic,source_style_aug_to_per_image_zscore_target,balanced_accuracy,0.34
20260811,real_world_to_synthetic,source_style_aug_to_per_image_zscore_target,macro_f1,0.18142206377500494
20260811,real_world_to_synthetic,source_style_aug_to_per_image_equalized_target,accuracy,0.34
20260811,real_world_to_synthetic,source_style_aug_to_per_image_equalized_target,balanced_accuracy,0.34
20260811,real_world_to_synthetic,source_style_aug_to_per_image_equalized_target,macro_f1,0.18077224788634186
20260812,synthetic_to_real_world,raw_source_to_raw_target,accuracy,0.43666666666666665
20260812,synthetic_to_real_world,raw_source_to_raw_target,balanced_accuracy,0.4366666666666667
20260812,synthetic_to_real_world,raw_source_to_raw_target,macro_f1,0.3423478099492822
20260812,synthetic_to_real_world,source_style_aug_to_raw_target,accuracy,0.4033333333333333
20260812,synthetic_to_real_world,source_style_aug_to_raw_target,balanced_accuracy,0.4033333333333333
20260812,synthetic_to_real_world,source_style_aug_to_raw_target,macro_f1,0.2927085175361038
20260812,synthetic_to_real_world,source_style_aug_to_per_image_zscore_target,accuracy,0.39666666666666667
20260812,synthetic_to_real_world,source_style_aug_to_per_image_zscore_target,balanced_accuracy,0.39666666666666667
20260812,synthetic_to_real_world,source_style_aug_to_per_image_zscore_target,macro_f1,0.28260346776326867
20260812,synthetic_to_real_world,source_style_aug_to_per_image_equalized_target,accuracy,0.4266666666666667
20260812,synthetic_to_real_world,source_style_aug_to_per_image_equalized_target,balanced_accuracy,0.4266666666666667
20260812,synthetic_to_real_world,source_style_aug_to_per_image_equalized_target,macro_f1,0.33522863429405486
20260812,real_world_to_synthetic,raw_source_to_raw_target,accuracy,0.3511111111111111
20260812,real_world_to_synthetic,raw_source_to_raw_target,balanced_accuracy,0.3511111111111111
20260812,real_world_to_synthetic,raw_source_to_raw_target,macro_f1,0.20336096463118916
20260812,real_world_to_synthetic,source_style_aug_to_raw_target,accuracy,0.34
20260812,real_world_to_synthetic,source_style_aug_to_raw_target,balanced_accuracy,0.34
20260812,real_world_to_synthetic,source_style_aug_to_raw_target,macro_f1,0.18116778875292808
20260812,real_world_to_synthetic,source_style_aug_to_per_image_zscore_target,accuracy,0.34
20260812,real_world_to_synthetic,source_style_aug_to_per_image_zscore_target,balanced_accuracy,0.34
20260812,real_world_to_synthetic,source_style_aug_to_per_image_zscore_target,macro_f1,0.18142206377500494
20260812,real_world_to_synthetic,source_style_aug_to_per_image_equalized_target,accuracy,0.34
20260812,real_world_to_synthetic,source_style_aug_to_per_image_equalized_target,balanced_accuracy,0.34
20260812,real_world_to_synthetic,source_style_aug_to_per_image_equalized_target,macro_f1,0.18077224788634186
20260813,synthetic_to_real_world,raw_source_to_raw_target,accuracy,0.43666666666666665
20260813,synthetic_to_real_world,raw_source_to_raw_target,balanced_accuracy,0.4366666666666667
20260813,synthetic_to_real_world,raw_source_to_raw_target,macro_f1,0.3423478099492822
20260813,synthetic_to_real_world,source_style_aug_to_raw_target,accuracy,0.4033333333333333
20260813,synthetic_to_real_world,source_style_aug_to_raw_target,balanced_accuracy,0.4033333333333333
20260813,synthetic_to_real_world,source_style_aug_to_raw_target,macro_f1,0.2927085175361038
20260813,synthetic_to_real_world,source_style_aug_to_per_image_zscore_target,accuracy,0.39666666666666667
20260813,synthetic_to_real_world,source_style_aug_to_per_image_zscore_target,balanced_accuracy,0.39666666666666667
20260813,synthetic_to_real_world,source_style_aug_to_per_image_zscore_target,macro_f1,0.28260346776326867
20260813,synthetic_to_real_world,source_style_aug_to_per_image_equalized_target,accuracy,0.4266666666666667
20260813,synthetic_to_real_world,source_style_aug_to_per_image_equalized_target,balanced_accuracy,0.4266666666666667
20260813,synthetic_to_real_world,source_style_aug_to_per_image_equalized_target,macro_f1,0.33522863429405486
20260813,real_world_to_synthetic,raw_source_to_raw_target,accuracy,0.3511111111111111
20260813,real_world_to_synthetic,raw_source_to_raw_target,balanced_accuracy,0.3511111111111111
20260813,real_world_to_synthetic,raw_source_to_raw_target,macro_f1,0.20336096463118916
20260813,real_world_to_synthetic,source_style_aug_to_raw_target,accuracy,0.34
20260813,real_world_to_synthetic,source_style_aug_to_raw_target,balanced_accuracy,0.34
20260813,real_world_to_synthetic,source_style_aug_to_raw_target,macro_f1,0.18116778875292808
20260813,real_world_to_synthetic,source_style_aug_to_per_image_zscore_target,accuracy,0.34
20260813,real_world_to_synthetic,source_style_aug_to_per_image_zscore_target,balanced_accuracy,0.34
20260813,real_world_to_synthetic,source_style_aug_to_per_image_zscore_target,macro_f1,0.18142206377500494
20260813,real_world_to_synthetic,source_style_aug_to_per_image_equalized_target,accuracy,0.34
20260813,real_world_to_synthetic,source_style_aug_to_per_image_equalized_target,balanced_accuracy,0.34
20260813,real_world_to_synthetic,source_style_aug_to_per_image_equalized_target,macro_f1,0.18077224788634186
20260814,synthetic_to_real_world,raw_source_to_raw_target,accuracy,0.43666666666666665
20260814,synthetic_to_real_world,raw_source_to_raw_target,balanced_accuracy,0.4366666666666667
20260814,synthetic_to_real_world,raw_source_to_raw_target,macro_f1,0.3423478099492822
20260814,synthetic_to_real_world,source_style_aug_to_raw_target,accuracy,0.4033333333333333
20260814,synthetic_to_real_world,source_style_aug_to_raw_target,balanced_accuracy,0.4033333333333333
20260814,synthetic_to_real_world,source_style_aug_to_raw_target,macro_f1,0.2927085175361038
20260814,synthetic_to_real_world,source_style_aug_to_per_image_zscore_target,accuracy,0.39666666666666667
20260814,synthetic_to_real_world,source_style_aug_to_per_image_zscore_target,balanced_accuracy,0.39666666666666667
20260814,synthetic_to_real_world,source_style_aug_to_per_image_zscore_target,macro_f1,0.28260346776326867
20260814,synthetic_to_real_world,source_style_aug_to_per_image_equalized_target,accuracy,0.4266666666666667
20260814,synthetic_to_real_world,source_style_aug_to_per_image_equalized_target,balanced_accuracy,0.4266666666666667
20260814,synthetic_to_real_world,source_style_aug_to_per_image_equalized_target,macro_f1,0.33522863429405486
20260814,real_world_to_synthetic,raw_source_to_raw_target,accuracy,0.3511111111111111
20260814,real_world_to_synthetic,raw_source_to_raw_target,balanced_accuracy,0.3511111111111111
20260814,real_world_to_synthetic,raw_source_to_raw_target,macro_f1,0.20336096463118916
20260814,real_world_to_synthetic,source_style_aug_to_raw_target,accuracy,0.34
20260814,real_world_to_synthetic,source_style_aug_to_raw_target,balanced_accuracy,0.34
20260814,real_world_to_synthetic,source_style_aug_to_raw_target,macro_f1,0.18116778875292808
20260814,real_world_to_synthetic,source_style_aug_to_per_image_zscore_target,accuracy,0.34
20260814,real_world_to_synthetic,source_style_aug_to_per_image_zscore_target,balanced_accuracy,0.34
20260814,real_world_to_synthetic,source_style_aug_to_per_image_zscore_target,macro_f1,0.18142206377500494
20260814,real_world_to_synthetic,source_style_aug_to_per_image_equalized_target,accuracy,0.34
20260814,real_world_to_synthetic,source_style_aug_to_per_image_equalized_target,balanced_accuracy,0.34
20260814,real_world_to_synthetic,source_style_aug_to_per_image_equalized_target,macro_f1,0.18077224788634186
20260815,synthetic_to_real_world,raw_source_to_raw_target,accuracy,0.43666666666666665
20260815,synthetic_to_real_world,raw_source_to_raw_target,balanced_accuracy,0.4366666666666667
20260815,synthetic_to_real_world,raw_source_to_raw_target,macro_f1,0.3423478099492822
20260815,synthetic_to_real_world,source_style_aug_to_raw_target,accuracy,0.4033333333333333
20260815,synthetic_to_real_world,source_style_aug_to_raw_target,balanced_accuracy,0.4033333333333333
20260815,synthetic_to_real_world,source_style_aug_to_raw_target,macro_f1,0.2927085175361038
20260815,synthetic_to_real_world,source_style_aug_to_per_image_zscore_target,accuracy,0.39666666666666667
20260815,synthetic_to_real_world,source_style_aug_to_per_image_zscore_target,balanced_accuracy,0.39666666666666667
20260815,synthetic_to_real_world,source_style_aug_to_per_image_zscore_target,macro_f1,0.28260346776326867
20260815,synthetic_to_real_world,source_style_aug_to_per_image_equalized_target,accuracy,0.4266666666666667
20260815,synthetic_to_real_world,source_style_aug_to_per_image_equalized_target,balanced_accuracy,0.4266666666666667
20260815,synthetic_to_real_world,source_style_aug_to_per_image_equalized_target,macro_f1,0.33522863429405486
20260815,real_world_to_synthetic,raw_source_to_raw_target,accuracy,0.3511111111111111
20260815,real_world_to_synthetic,raw_source_to_raw_target,balanced_accuracy,0.3511111111111111
20260815,real_world_to_synthetic,raw_source_to_raw_target,macro_f1,0.20336096463118916
20260815,real_world_to_synthetic,source_style_aug_to_raw_target,accuracy,0.34
20260815,real_world_to_synthetic,source_style_aug_to_raw_target,balanced_accuracy,0.34
20260815,real_world_to_synthetic,source_style_aug_to_raw_target,macro_f1,0.18116778875292808
20260815,real_world_to_synthetic,source_style_aug_to_per_image_zscore_target,accuracy,0.34
20260815,real_world_to_synthetic,source_style_aug_to_per_image_zscore_target,balanced_accuracy,0.34
20260815,real_world_to_synthetic,source_style_aug_to_per_image_zscore_target,macro_f1,0.18142206377500494
20260815,real_world_to_synthetic,source_style_aug_to_per_image_equalized_target,accuracy,0.34
20260815,real_world_to_synthetic,source_style_aug_to_per_image_equalized_target,balanced_accuracy,0.34
20260815,real_world_to_synthetic,source_style_aug_to_per_image_equalized_target,macro_f1,0.18077224788634186
