panel,layer,target,feature,model,variant,n_replicates,test_balanced_accuracy_mean,test_balanced_accuracy_std,delta_balanced_accuracy_mean,delta_balanced_accuracy_std,prediction_flip_rate_mean,prediction_flip_rate_std,interpretation
Figure 4,fixed_split_seed_sweep,Land type,HOG image features from 4TU raw traces,ExtraTrees,log_clip,4,0.0905,0.0095,-0.3429,0.0243,0.8583,0.0204,Strong fixed-split sensitivity signal.
Figure 4,fixed_split_seed_sweep,Land type,HOG image features from 4TU raw traces,ExtraTrees,zscore_clip,4,0.5752,0.0244,0.1419,0.0471,0.375,0.0527,Prediction instability without a large BA drop.
Figure 4,fixed_split_seed_sweep,Land type,HOG image features from 4TU raw traces,ExtraTrees,time_reverse,4,0.3333,0.0,-0.1,0.0278,0.7833,0.0486,Material drop under this stress variant.
Figure 4,fixed_split_seed_sweep,Land type,HOG image features from 4TU raw traces,ExtraTrees,remove_top_band,4,0.4143,0.0117,-0.019,0.0278,0.0333,0.0486,Limited or no BA drop.
Figure 4,fixed_split_seed_sweep,Land type,HOG image features from 4TU raw traces,ExtraTrees,remove_bottom_band,4,0.4333,0.0278,0.0,0.0,0.0,0.0,Limited or no BA drop.
Figure 4,fixed_split_seed_sweep,Land type,HOG image features from 4TU raw traces,ExtraTrees,remove_border,4,0.4762,0.0213,0.0429,0.0178,0.1167,0.0312,Limited or no BA drop.
Figure 4,fixed_split_seed_sweep,Land type,HOG image features from 4TU raw traces,ExtraTrees,amplitude_jitter,4,0.4333,0.0278,0.0,0.0,0.0,0.0,Limited or no BA drop.
Figure 4,group_aware_repeated_split,Land type,HOG image features from 4TU raw traces,ExtraTrees,log_clip,2,0.2456,0.0148,-0.0422,0.0347,0.4693,0.3402,Signal weakens under project-level repeated splits.
Figure 4,group_aware_repeated_split,Land type,HOG image features from 4TU raw traces,ExtraTrees,zscore_clip,2,0.2308,0.0192,-0.057,0.0391,0.3971,0.3648,Material drop under this stress variant.
Figure 4,group_aware_repeated_split,Land type,HOG image features from 4TU raw traces,ExtraTrees,time_reverse,2,0.25,0.0,-0.0378,0.0199,0.3971,0.3648,Prediction instability without a large BA drop.
Figure 4,group_aware_repeated_split,Land type,HOG image features from 4TU raw traces,ExtraTrees,remove_top_band,2,0.2253,0.0426,-0.0625,0.0625,0.0799,0.0154,Material drop under this stress variant.
Figure 4,group_aware_repeated_split,Land type,HOG image features from 4TU raw traces,ExtraTrees,remove_bottom_band,2,0.2878,0.0199,0.0,0.0,0.0,0.0,Limited or no BA drop.
Figure 4,group_aware_repeated_split,Land type,HOG image features from 4TU raw traces,ExtraTrees,remove_border,2,0.2878,0.0199,0.0,0.0,0.0722,0.0246,Limited or no BA drop.
Figure 4,group_aware_repeated_split,Land type,HOG image features from 4TU raw traces,ExtraTrees,amplitude_jitter,2,0.2878,0.0199,0.0,0.0,0.0,0.0,Limited or no BA drop.
