figure_id,source_data_filename,source_file,copied_file,copy_status
Figure 1,Source_Data_Figure_1.csv,reports/figure1_table1_sources_20260810/figure1_flow_source.csv,reports\source_data_panel_map_review_packet_20260811\candidate_source_files\figure_1\figure1_flow_source.csv,copied
Figure 1,Source_Data_Figure_1.csv,reports/figure1_table1_sources_20260810/table1_asset_audit.csv,reports\source_data_panel_map_review_packet_20260811\candidate_source_files\figure_1\table1_asset_audit.csv,copied
Figure 2,Source_Data_Figure_2.csv,reports/figure2_table2_sources_20260810/figure2_source_data.csv,reports\source_data_panel_map_review_packet_20260811\candidate_source_files\figure_2\figure2_source_data.csv,copied
Figure 2,Source_Data_Figure_2.csv,reports/figure2_table2_sources_20260810/table2_model_family_support.csv,reports\source_data_panel_map_review_packet_20260811\candidate_source_files\figure_2\table2_model_family_support.csv,copied
Figure 3,Source_Data_Figure_3.csv,reports/figure3_sources_20260810/figure3_hog_split_source_data.csv,reports\source_data_panel_map_review_packet_20260811\candidate_source_files\figure_3\figure3_hog_split_source_data.csv,copied
Figure 3,Source_Data_Figure_3.csv,reports/figure3_sources_20260810/figure3_model_delta_source_data.csv,reports\source_data_panel_map_review_packet_20260811\candidate_source_files\figure_3\figure3_model_delta_source_data.csv,copied
Figure 3,Source_Data_Figure_3.csv,reports/figure3_sources_20260810/figure3_claim_boundary.csv,reports\source_data_panel_map_review_packet_20260811\candidate_source_files\figure_3\figure3_claim_boundary.csv,copied
Figure 4,Source_Data_Figure_4.csv,reports/figure4_sources_20260810/figure4_counterfactual_source_data.csv,reports\source_data_panel_map_review_packet_20260811\candidate_source_files\figure_4\figure4_counterfactual_source_data.csv,copied
Figure 4,Source_Data_Figure_4.csv,reports/figure4_sources_20260810/figure4_evidence_layer_boundary.csv,reports\source_data_panel_map_review_packet_20260811\candidate_source_files\figure_4\figure4_evidence_layer_boundary.csv,copied
Figure 5,Source_Data_Figure_5.csv,reports/figure5_figure6_sources_20260810/figure5_4tu_feasibility_source_data.csv,reports\source_data_panel_map_review_packet_20260811\candidate_source_files\figure_5\figure5_4tu_feasibility_source_data.csv,copied
Figure 6,Source_Data_Figure_6.csv,reports/figure5_figure6_sources_20260810/figure6_external_gate_source_data.csv,reports\source_data_panel_map_review_packet_20260811\candidate_source_files\figure_6\figure6_external_gate_source_data.csv,copied
Figure 6,Source_Data_Figure_6.csv,reports/external_validation_readiness_20260810/external_validation_readiness_tracks.csv,reports\source_data_panel_map_review_packet_20260811\candidate_source_files\figure_6\external_validation_readiness_tracks.csv,copied
