task,seed,metric,value
mojahid_processing_role_is_augmented,20260811,accuracy,0.6187335092348285
mojahid_processing_role_is_augmented,20260811,balanced_accuracy,0.5760329038215535
mojahid_processing_role_is_augmented,20260811,macro_f1,0.5674498413444357
mojahid_processing_role_is_augmented,20260812,accuracy,0.6345646437994723
mojahid_processing_role_is_augmented,20260812,balanced_accuracy,0.6142738539998813
mojahid_processing_role_is_augmented,20260812,macro_f1,0.5964326558070251
mojahid_processing_role_is_augmented,20260813,accuracy,0.6530343007915568
mojahid_processing_role_is_augmented,20260813,balanced_accuracy,0.6286163282249388
mojahid_processing_role_is_augmented,20260813,macro_f1,0.6125580373888082
mojahid_processing_role_is_augmented,20260814,accuracy,0.6160949868073878
mojahid_processing_role_is_augmented,20260814,balanced_accuracy,0.5877322286324242
mojahid_processing_role_is_augmented,20260814,macro_f1,0.5737153657504305
mojahid_processing_role_is_augmented,20260815,accuracy,0.637203166226913
mojahid_processing_role_is_augmented,20260815,balanced_accuracy,0.5985081454748774
mojahid_processing_role_is_augmented,20260815,macro_f1,0.5884038282689266
mojahid_augmentation_lineage_source_group,20260811,accuracy,0.5857988165680473
mojahid_augmentation_lineage_source_group,20260811,balanced_accuracy,0.5916666666666666
mojahid_augmentation_lineage_source_group,20260811,macro_f1,0.5839111235986236
mojahid_augmentation_lineage_source_group,20260812,accuracy,0.5710059171597633
mojahid_augmentation_lineage_source_group,20260812,balanced_accuracy,0.584375
mojahid_augmentation_lineage_source_group,20260812,macro_f1,0.5752725664858017
mojahid_augmentation_lineage_source_group,20260813,accuracy,0.6035502958579881
mojahid_augmentation_lineage_source_group,20260813,balanced_accuracy,0.60625
mojahid_augmentation_lineage_source_group,20260813,macro_f1,0.5962317196692197
mojahid_augmentation_lineage_source_group,20260814,accuracy,0.6124260355029586
mojahid_augmentation_lineage_source_group,20260814,balanced_accuracy,0.6197916666666667
mojahid_augmentation_lineage_source_group,20260814,macro_f1,0.6137469876614613
mojahid_augmentation_lineage_source_group,20260815,accuracy,0.6301775147928994
mojahid_augmentation_lineage_source_group,20260815,balanced_accuracy,0.6375
mojahid_augmentation_lineage_source_group,20260815,macro_f1,0.6285823551448552
ressam_environment_source_group,20260811,accuracy,1.0
ressam_environment_source_group,20260811,balanced_accuracy,1.0
ressam_environment_source_group,20260811,macro_f1,1.0
ressam_environment_source_group,20260812,accuracy,0.9904761904761905
ressam_environment_source_group,20260812,balanced_accuracy,0.9888888888888889
ressam_environment_source_group,20260812,macro_f1,0.9902497910669514
ressam_environment_source_group,20260813,accuracy,0.9904761904761905
ressam_environment_source_group,20260813,balanced_accuracy,0.9888888888888889
ressam_environment_source_group,20260813,macro_f1,0.9902497910669514
ressam_environment_source_group,20260814,accuracy,0.9904761904761905
ressam_environment_source_group,20260814,balanced_accuracy,0.9916666666666667
ressam_environment_source_group,20260814,macro_f1,0.9903038138332256
ressam_environment_source_group,20260815,accuracy,0.9936507936507937
ressam_environment_source_group,20260815,balanced_accuracy,0.9935185185185185
ressam_environment_source_group,20260815,macro_f1,0.9935185185185185
