n	title	doi	status	text_chars	file	url	final_url	page_title	h1
1	Non-destructive compaction quality evaluation of runway construction based on GPR data	10.1080/10589759.2023.2255363	ok	4043	articles\01_runway_compaction.txt	https://www.tandfonline.com/doi/full/10.1080/10589759.2023.2255363	https://www.tandfonline.com/doi/full/10.1080/10589759.2023.2255363	Non-destructive compaction quality evaluation of runway construction based on GPR data: Nondestructive Testing and Evaluation: Vol 39 , No 6 - Get Access	Non-destructive compaction quality evaluation of runway construction based on GPR data
2	Crack depth measurement and key points of accurate identification in concrete structures: a review	10.1080/10589759.2024.2340645	challenge	700	articles\02_crack_depth_review.txt	https://www.tandfonline.com/doi/full/10.1080/10589759.2024.2340645	https://www.tandfonline.com/doi/full/10.1080/10589759.2024.2340645	Just a moment...	www.tandfonline.com
3	Assessing concrete strength loss at elevated temperatures as a function of dielectric variation measured by GPR: an empirical study	10.1080/10589759.2022.2140155	challenge	267	articles\03_concrete_strength_loss.txt	https://www.tandfonline.com/doi/full/10.1080/10589759.2022.2140155	https://www.tandfonline.com/doi/full/10.1080/10589759.2022.2140155	Just a moment...	www.tandfonline.com
4	Automatic recognition for tunnel lining voids in GPR images based on SC-PGGAN and bidirectional ...	10.1080/10589759.2025.2595524	challenge	267	articles\04_tunnel_voids.txt	https://www.tandfonline.com/doi/full/10.1080/10589759.2025.2595524	https://www.tandfonline.com/doi/full/10.1080/10589759.2025.2595524	Just a moment...	www.tandfonline.com
5	Pavement thickness and stabilised foundation layer assessment using ground-coupled GPR	10.1080/10589759.2015.1111890	challenge	267	articles\05_pavement_thickness.txt	https://www.tandfonline.com/doi/full/10.1080/10589759.2015.1111890	https://www.tandfonline.com/doi/full/10.1080/10589759.2015.1111890	Just a moment...	www.tandfonline.com
6	Using ground-penetrating radar for assessing the structural needs of asphalt pavements	10.1080/10589759.2012.695784	challenge	267	articles\06_asphalt_structural_needs.txt	https://www.tandfonline.com/doi/full/10.1080/10589759.2012.695784	https://www.tandfonline.com/doi/full/10.1080/10589759.2012.695784	Just a moment...	www.tandfonline.com
7	Novel perspectives in bridges inspection using GPR	10.1080/10589759.2012.694883	challenge	267	articles\07_bridges_inspection.txt	https://www.tandfonline.com/doi/full/10.1080/10589759.2012.694883	https://www.tandfonline.com/doi/full/10.1080/10589759.2012.694883	Just a moment...	www.tandfonline.com
8	Time-varying deconvolution of GPR data in civil engineering	10.1080/10589759.2012.695787	challenge	267	articles\08_time_varying_deconvolution.txt	https://www.tandfonline.com/doi/full/10.1080/10589759.2012.695787	https://www.tandfonline.com/doi/full/10.1080/10589759.2012.695787	Just a moment...	www.tandfonline.com
9	Significance of GPR polarisation for improving target detection and characterisation	10.1080/10589759.2014.949708	challenge	267	articles\09_gpr_polarisation.txt	https://www.tandfonline.com/doi/full/10.1080/10589759.2014.949708	https://www.tandfonline.com/doi/full/10.1080/10589759.2014.949708	Just a moment...	www.tandfonline.com
10	Performance evaluation of the neural networks for moisture detection using GPR	10.1080/10589759.2014.941839	challenge	267	articles\10_moisture_detection.txt	https://www.tandfonline.com/doi/full/10.1080/10589759.2014.941839	https://www.tandfonline.com/doi/full/10.1080/10589759.2014.941839	Just a moment...	www.tandfonline.com
