seed,split,train_n,test_n,hog_accuracy,hog_balanced_accuracy,hog_macro_f1,metadata_accuracy,metadata_balanced_accuracy,metadata_macro_f1,train_groups,test_groups,shared_groups,shared_test_samples
20260811,random_stratified_80_20,5735,1434,0.7873082287308228,0.7319680556168169,0.7368643540599786,0.9672245467224547,0.8560679509077141,0.8734868148392099,5574,1425,73,73
20260811,hash_group_stratified_80_20,5745,1424,0.7837078651685393,0.6905910712676746,0.6992234044122848,0.9719101123595506,0.9019038662486938,0.9094024248716224,5542,1384,0,0
20260812,random_stratified_80_20,5735,1434,0.8047419804741981,0.7323437021379939,0.7376841061008875,0.9714086471408647,0.9003637019950345,0.9131673449615532,5573,1426,73,73
20260812,hash_group_stratified_80_20,5736,1433,0.7599441730635031,0.6835400764687952,0.6816815514551519,0.9678995115143056,0.8861861725822404,0.8918396164193186,5541,1385,0,0
20260813,random_stratified_80_20,5735,1434,0.799860529986053,0.7620274440942711,0.762278299562053,0.9665271966527197,0.8529476941768943,0.870452143911862,5585,1420,79,79
20260813,hash_group_stratified_80_20,5739,1430,0.7832167832167832,0.6823370420416707,0.6932864015146856,0.972027972027972,0.9026893916672101,0.9056484771696812,5542,1384,0,0
20260814,random_stratified_80_20,5735,1434,0.7705718270571827,0.7131145921066724,0.7200944810603573,0.9728033472803347,0.9190744572203341,0.9238320099505131,5584,1420,78,78
20260814,hash_group_stratified_80_20,5731,1438,0.7482614742698191,0.6548675795832194,0.6655546498833196,0.9700973574408901,0.9074161934765794,0.9161098223873715,5541,1385,0,0
20260815,random_stratified_80_20,5735,1434,0.7782426778242678,0.7174058624893674,0.7301718195495333,0.9693165969316597,0.8951354968216796,0.9044262295081966,5579,1427,80,80
20260815,hash_group_stratified_80_20,5739,1430,0.7776223776223776,0.6770647785351266,0.6858116505653653,0.9643356643356643,0.848042186621645,0.8634097738433185,5541,1385,0,0
