accuracy,balanced_accuracy,dose,eligible_test_duplicate_groups,leaked_duplicate_groups,leaked_train_samples,macro_f1,remaining_test_samples_from_leaked_groups,requested_dose,seed,shared_test_samples,shared_train_test_groups,test_n,train_n
0.7837078651685393,0.6905910712676746,0.0,0,0,0,0.6992234044122848,0,0.0,20260811,,,1424,5745
0.7974683544303798,0.7025566785425931,0.05,40,2,2,0.709845062869443,2,0.05,20260811,2,2,1422,5747
0.7908450704225352,0.6989787643313143,0.1,40,4,4,0.706731220560333,4,0.1,20260811,4,4,1420,5749
0.7994350282485876,0.7163014047363168,0.2,40,8,8,0.7240544605588317,8,0.2,20260811,8,8,1416,5753
0.7855113636363636,0.7028506315518305,0.4,40,16,16,0.7061235421079629,16,0.4,20260811,16,16,1408,5761
0.7599441730635031,0.6835400764687952,0.0,0,0,0,0.6816815514551519,0,0.0,20260812,,,1433,5736
0.7596086652690426,0.6720732276373313,0.05,47,2,2,0.6779649247843553,2,0.05,20260812,2,2,1431,5738
0.773109243697479,0.6969777533045521,0.1,47,5,5,0.6963386042808726,5,0.1,20260812,5,5,1428,5741
0.7689606741573034,0.6940473299888723,0.2,47,9,9,0.6935527687161371,9,0.2,20260812,9,9,1424,5745
0.7786421499292786,0.7015759981434949,0.4,47,19,19,0.7006154821524184,19,0.4,20260812,19,19,1414,5755
0.7832167832167832,0.6823370420416707,0.0,0,0,0,0.6932864015146856,0,0.0,20260813,,,1430,5739
0.7899159663865546,0.6897711596243213,0.05,45,2,2,0.7007036917155254,2,0.05,20260813,2,2,1428,5741
0.773492286115007,0.672658748507852,0.1,45,4,4,0.6813518564459798,4,0.1,20260813,4,4,1426,5743
0.7818437719915552,0.689905240707868,0.2,45,9,9,0.7004860302388825,9,0.2,20260813,9,9,1421,5748
0.7889518413597734,0.6920580063267167,0.4,45,18,18,0.7028524814477859,18,0.4,20260813,18,18,1412,5757
0.7482614742698191,0.6548675795832194,0.0,0,0,0,0.6655546498833196,0,0.0,20260814,,,1438,5731
0.7526132404181185,0.6650466613210321,0.05,53,3,3,0.6728276862272822,3,0.05,20260814,3,3,1435,5734
0.743893928820656,0.6514420404619903,0.1,53,5,5,0.6612880643617915,5,0.1,20260814,5,5,1433,5736
0.7428170988086895,0.6622911160881471,0.2,53,11,11,0.6695443384619928,11,0.2,20260814,11,11,1427,5742
0.7424135497529993,0.6517178483927619,0.4,53,21,21,0.6626146033522294,21,0.4,20260814,21,21,1417,5752
0.7776223776223776,0.6770647785351266,0.0,0,0,0,0.6858116505653653,0,0.0,20260815,,,1430,5739
0.7689075630252101,0.6731199747180072,0.05,45,2,2,0.6828249579549269,2,0.05,20260815,2,2,1428,5741
0.7776998597475456,0.6842202760030076,0.1,45,4,4,0.6927615157098249,4,0.1,20260815,4,4,1426,5743
0.7797325826882477,0.6864738233940157,0.2,45,9,9,0.6961035569291082,9,0.2,20260815,9,9,1421,5748
0.7854107648725213,0.6856061037160491,0.4,45,18,18,0.6952081410452313,18,0.4,20260815,18,18,1412,5757
