seed,split,model_family,train_n,test_n,accuracy,balanced_accuracy,macro_f1,shared_groups,shared_test_samples
20260811,random_stratified_80_20,hog_logistic_sgd,5735,1434,0.7873082287308228,0.7319680556168169,0.7368643540599786,73,73
20260811,random_stratified_80_20,pixel_logistic_sgd,5735,1434,0.43235704323570434,0.46878369768532907,0.4447638002953889,73,73
20260811,random_stratified_80_20,metadata_logistic_sgd,5735,1434,0.7377963737796374,0.6347294958185223,0.626211032359308,73,73
20260811,random_stratified_80_20,hog_metadata_logistic_sgd,5735,1434,0.8228730822873083,0.7806658180917315,0.7836734420401755,73,73
20260811,random_stratified_80_20,hog_extra_trees,5735,1434,0.8570432357043236,0.7866076505521694,0.8116658675526727,73,73
20260811,hash_group_stratified_80_20,hog_logistic_sgd,5745,1424,0.7837078651685393,0.6905910712676746,0.6992234044122848,0,0
20260811,hash_group_stratified_80_20,pixel_logistic_sgd,5745,1424,0.3981741573033708,0.3791567104946538,0.37985198460770075,0,0
20260811,hash_group_stratified_80_20,metadata_logistic_sgd,5745,1424,0.6945224719101124,0.6765797647695008,0.6489046100356448,0,0
20260811,hash_group_stratified_80_20,hog_metadata_logistic_sgd,5745,1424,0.8181179775280899,0.7258309232611563,0.7309472456866317,0,0
20260811,hash_group_stratified_80_20,hog_extra_trees,5745,1424,0.8384831460674157,0.7048129411730694,0.6901272924335901,0,0
20260812,random_stratified_80_20,hog_logistic_sgd,5735,1434,0.8047419804741981,0.7323437021379939,0.7376841061008875,73,73
20260812,random_stratified_80_20,pixel_logistic_sgd,5735,1434,0.4309623430962343,0.45080552088594433,0.43892536094908924,73,73
20260812,random_stratified_80_20,metadata_logistic_sgd,5735,1434,0.6220362622036262,0.6073755507208907,0.5247165332085969,73,73
20260812,random_stratified_80_20,hog_metadata_logistic_sgd,5735,1434,0.8333333333333334,0.7752975432819998,0.7792229445847906,73,73
20260812,random_stratified_80_20,hog_extra_trees,5735,1434,0.8647140864714087,0.789934177328916,0.8163149207268763,73,73
20260812,hash_group_stratified_80_20,hog_logistic_sgd,5736,1433,0.7599441730635031,0.6835400764687952,0.6816815514551519,0,0
