dataset,seed,protocol,train_environment,test_environment,train_n,test_n,accuracy,balanced_accuracy,macro_f1
mojahid,20260810,random_stratified_80_20,,,2019,505,0.9841584158415841,0.9797720797720798,0.9827046305544535
mojahid,20260810,grouped_fold_0_test_fold_1_val,,,1512,586,0.9829351535836177,0.9811359867330016,0.982162568402264
res_sam,20260810,within_real_world_random_80_20,real_world,real_world,480,120,0.49166666666666664,0.49166666666666664,0.4504243827160494
res_sam,20260810,within_synthetic_random_80_20,synthetic,synthetic,360,90,0.6666666666666666,0.6666666666666666,0.6526695526695527
res_sam,20260810,transfer_synthetic_to_real_world,synthetic,real_world,450,300,0.3333333333333333,0.3333333333333333,0.23327187813507413
res_sam,20260810,transfer_real_world_to_synthetic,real_world,synthetic,300,450,0.33555555555555555,0.33555555555555555,0.2640388039540738
mojahid,20260811,random_stratified_80_20,,,2019,505,0.9861386138613861,0.9823153899240856,0.9847618184361187
mojahid,20260811,grouped_fold_0_test_fold_1_val,,,1512,586,0.9778156996587031,0.9768945212493599,0.9771029907931607
res_sam,20260811,within_real_world_random_80_20,real_world,real_world,480,120,0.5083333333333333,0.5083333333333334,0.4478532739402305
res_sam,20260811,within_synthetic_random_80_20,synthetic,synthetic,360,90,0.7666666666666667,0.7666666666666667,0.7412638627327892
res_sam,20260811,transfer_synthetic_to_real_world,synthetic,real_world,450,300,0.5466666666666666,0.5466666666666667,0.4940624481732623
res_sam,20260811,transfer_real_world_to_synthetic,real_world,synthetic,300,450,0.28,0.27999999999999997,0.1614275339765536
mojahid,20260812,random_stratified_80_20,,,2019,505,0.9821782178217822,0.9828617437313089,0.9818372355974739
mojahid,20260812,grouped_fold_0_test_fold_1_val,,,1512,586,0.962457337883959,0.9630696364567332,0.9618544714307934
res_sam,20260812,within_real_world_random_80_20,real_world,real_world,480,120,0.44166666666666665,0.44166666666666665,0.4462310908878522
res_sam,20260812,within_synthetic_random_80_20,synthetic,synthetic,360,90,0.6333333333333333,0.6333333333333334,0.5597507331378299
res_sam,20260812,transfer_synthetic_to_real_world,synthetic,real_world,450,300,0.3333333333333333,0.3333333333333333,0.16666666666666666
res_sam,20260812,transfer_real_world_to_synthetic,real_world,synthetic,300,450,0.3088888888888889,0.3088888888888889,0.20678471221425665
mojahid,20260813,random_stratified_80_20,,,2019,505,0.998019801980198,0.9973544973544973,0.997819463832649
mojahid,20260813,grouped_fold_0_test_fold_1_val,,,1512,586,0.9795221843003413,0.9770865335381465,0.9790751123525866
res_sam,20260813,within_real_world_random_80_20,real_world,real_world,480,120,0.43333333333333335,0.43333333333333335,0.41249937801661934
res_sam,20260813,within_synthetic_random_80_20,synthetic,synthetic,360,90,0.6222222222222222,0.6222222222222222,0.5191473306923222
res_sam,20260813,transfer_synthetic_to_real_world,synthetic,real_world,450,300,0.59,0.59,0.512297124028509
res_sam,20260813,transfer_real_world_to_synthetic,real_world,synthetic,300,450,0.34444444444444444,0.3444444444444444,0.20859924725904108
mojahid,20260814,random_stratified_80_20,,,2019,505,0.9920792079207921,0.9911879987966944,0.991555434622242
mojahid,20260814,grouped_fold_0_test_fold_1_val,,,1512,586,0.9880546075085325,0.9861111111111112,0.9876167961274344
res_sam,20260814,within_real_world_random_80_20,real_world,real_world,480,120,0.16666666666666666,0.16666666666666666,0.06060606060606061
res_sam,20260814,within_synthetic_random_80_20,synthetic,synthetic,360,90,0.36666666666666664,0.3666666666666667,0.2341122139509236
res_sam,20260814,transfer_synthetic_to_real_world,synthetic,real_world,450,300,0.29,0.29000000000000004,0.18472780416514434
res_sam,20260814,transfer_real_world_to_synthetic,real_world,synthetic,300,450,0.3333333333333333,0.3333333333333333,0.16666666666666666
