dataset,protocol,model,train_n,test_n,train_groups,test_groups,shared_train_test_groups,test_label_counts,accuracy,balanced_accuracy,macro_f1
mojahid,random_stratified_70_15_15,hog_sgd_logistic,1761,380,556,228,157,"{""cavity"": 60, ""intact"": 182, ""utility"": 138}",0.8894736842105263,0.8529808355895313,0.8556645702306079
mojahid,existing_fold_p2,hog_sgd_logistic,1512,586,408,149,0,"{""intact"": 257, ""cavity"": 112, ""utility"": 217}",0.8225255972696246,0.7703929004763698,0.780174464829788
mojahid,source_group_holdout_70_15_15,hog_sgd_logistic,1738,392,464,103,0,"{""intact"": 190, ""cavity"": 62, ""utility"": 140}",0.8086734693877551,0.731077694235589,0.7486045815137522
mojahid,provenance_size_holdout_p4,hog_sgd_logistic,1705,534,617,49,0,"{""intact"": 260, ""cavity"": 85, ""utility"": 189}",0.7752808988764045,0.6859939987390967,0.7012765851946489
mojahid,datasail_like_group_balance,hog_sgd_logistic,1738,392,464,103,0,"{""intact"": 190, ""cavity"": 62, ""utility"": 140}",0.8086734693877551,0.731077694235589,0.7486045815137522
tigpr,random_stratified_70_15_15,hog_sgd_logistic,5017,1076,4890,1071,44,"{""Crack"": 184, ""Interlayer_bonding_deficiency"": 303, ""Loose"": 315, ""No_damage"": 228, ""Void"": 46}",0.7853159851301115,0.7086709761201684,0.7154883146064883
tigpr,existing_fold_p2,hog_sgd_logistic,4301,1434,4215,1434,49,"{""Crack"": 245, ""Interlayer_bonding_deficiency"": 404, ""Loose"": 420, ""No_damage"": 304, ""Void"": 61}",0.7880055788005579,0.7159558347895151,0.7231828882744529
tigpr,source_group_holdout_70_15_15,hog_sgd_logistic,5019,1075,4849,1039,0,"{""Crack"": 184, ""Interlayer_bonding_deficiency"": 303, ""Loose"": 315, ""No_damage"": 228, ""Void"": 45}",0.772093023255814,0.6959187554911098,0.7045461015580872
tigpr,provenance_size_holdout_p4,hog_sgd_logistic,5016,1436,4991,1282,0,"{""Crack"": 244, ""Interlayer_bonding_deficiency"": 404, ""Loose"": 420, ""No_damage"": 304, ""Void"": 64}",0.7493036211699164,0.6570969299567699,0.666441906116341
tigpr,datasail_like_group_balance,hog_sgd_logistic,5019,1075,4849,1039,0,"{""Crack"": 184, ""Interlayer_bonding_deficiency"": 303, ""Loose"": 315, ""No_damage"": 228, ""Void"": 45}",0.772093023255814,0.6959187554911098,0.7045461015580872
zenodo_14637589,random_stratified_70_15_15,byte_signature_sgd_logistic,638,138,19,17,16,"{""pipe"": 83, ""rebar"": 33, ""tunnel"": 22}",0.9057971014492754,0.8961299744432275,0.8901253336035945
zenodo_14637589,existing_fold_p2,byte_signature_sgd_logistic,444,210,7,8,0,"{""pipe"": 113, ""rebar"": 49, ""tunnel"": 48}",0.8571428571428571,0.8678473601830112,0.8591336814571192
zenodo_14637589,source_group_holdout_70_15_15,byte_signature_sgd_logistic,433,210,5,8,0,"{""pipe"": 113, ""rebar"": 49, ""tunnel"": 48}",0.8047619047619048,0.8433881664760299,0.8182940579100454
zenodo_14637589,provenance_size_holdout_p4,byte_signature_sgd_logistic,236,531,14,3,0,"{""pipe"": 348, ""rebar"": 135, ""tunnel"": 48}",0.7080979284369114,0.5906662409535973,0.5443397398163694
zenodo_14637589,datasail_like_group_balance,byte_signature_sgd_logistic,433,210,5,8,0,"{""pipe"": 113, ""rebar"": 49, ""tunnel"": 48}",0.8047619047619048,0.8433881664760299,0.8182940579100454
deepmask_gpr,random_stratified_70_15_15,hog_sgd_logistic,1766,379,285,216,216,"{""cavity"": 95, ""intact"": 146, ""utility"": 138}",0.8865435356200527,0.8766858579842499,0.8790729105174769
deepmask_gpr,existing_fold_p2,hog_sgd_logistic,1746,512,197,58,0,"{""cavity"": 128, ""intact"": 195, ""utility"": 189}",0.779296875,0.7642397147605481,0.7634429648711846
deepmask_gpr,source_group_holdout_70_15_15,hog_sgd_logistic,1740,392,197,44,0,"{""cavity"": 96, ""intact"": 156, ""utility"": 140}",0.7806122448979592,0.7579212454212455,0.7580267628277594
deepmask_gpr,provenance_size_holdout_p4,hog_sgd_logistic,1746,512,197,58,0,"{""cavity"": 128, ""intact"": 195, ""utility"": 189}",0.779296875,0.7642397147605481,0.7634429648711846
deepmask_gpr,datasail_like_group_balance,hog_sgd_logistic,1740,392,197,44,0,"{""cavity"": 96, ""intact"": 156, ""utility"": 140}",0.7806122448979592,0.7579212454212455,0.7580267628277594
