dataset,contrast,random_protocol,comparison_protocol,random_balanced_accuracy,comparison_balanced_accuracy,observed_delta_balanced_accuracy,bootstrap_delta,bootstrap_random,bootstrap_comparison,p_bootstrap_delta_le_zero,random_shared_train_test_groups,comparison_shared_train_test_groups
mojahid,random_minus_existing_fold_p2,random_stratified_70_15_15,existing_fold_p2,0.8529808355895313,0.7703929004763698,0.08258793511316154,"{""mean"": 0.08319248405077526, ""ci95_low"": 0.029039705407093743, ""ci95_high"": 0.1357431974656046}","{""mean"": 0.8530297207623295, ""ci95_low"": 0.8097027791049529, ""ci95_high"": 0.893501021924935}","{""mean"": 0.7698372367115541, ""ci95_low"": 0.7342451208706151, ""ci95_high"": 0.8068268306914834}",0.0029985007496251873,157,0
mojahid,random_minus_source_group_holdout_70_15_15,random_stratified_70_15_15,source_group_holdout_70_15_15,0.8529808355895313,0.731077694235589,0.12190314135394231,"{""mean"": 0.1204822588734396, ""ci95_low"": 0.05318911050687471, ""ci95_high"": 0.18627668174283663}","{""mean"": 0.8531921869193609, ""ci95_low"": 0.8089202102245582, ""ci95_high"": 0.8959310797897754}","{""mean"": 0.7327099280459213, ""ci95_low"": 0.6838302409248929, ""ci95_high"": 0.780016775810494}",0.0009995002498750624,157,0
mojahid,random_minus_provenance_size_holdout_p4,random_stratified_70_15_15,provenance_size_holdout_p4,0.8529808355895313,0.6859939987390967,0.16698683685043458,"{""mean"": 0.16664441391073959, ""ci95_low"": 0.10638182753591967, ""ci95_high"": 0.22799711820811577}","{""mean"": 0.8528067805383023, ""ci95_low"": 0.8106176009980359, ""ci95_high"": 0.8953309975049105}","{""mean"": 0.6861623666275627, ""ci95_low"": 0.6434410088821854, ""ci95_high"": 0.728936402196206}",0.0004997501249375312,157,0
mojahid,random_minus_datasail_like_group_balance,random_stratified_70_15_15,datasail_like_group_balance,0.8529808355895313,0.731077694235589,0.12190314135394231,"{""mean"": 0.1210656566412435, ""ci95_low"": 0.056782612999395195, ""ci95_high"": 0.1870793937184098}","{""mean"": 0.8527600599883208, ""ci95_low"": 0.8087250491054838, ""ci95_high"": 0.8932191299039126}","{""mean"": 0.7316944033470774, ""ci95_low"": 0.6839191729323308, ""ci95_high"": 0.7802263723825693}",0.0004997501249375312,157,0
tigpr,random_minus_existing_fold_p2,random_stratified_70_15_15,existing_fold_p2,0.7086709761201684,0.7159558347895151,-0.007284858669346694,"{""mean"": -0.008026988720927119, ""ci95_low"": -0.053021139991589784, ""ci95_high"": 0.035324985714400806}","{""mean"": 0.7085489631148469, ""ci95_low"": 0.6759696554037554, ""ci95_high"": 0.7407347874457272}","{""mean"": 0.716575951835774, ""ci95_low"": 0.686163901533926, ""ci95_high"": 0.7455596519827231}",0.638680659670165,44,49
tigpr,random_minus_source_group_holdout_70_15_15,random_stratified_70_15_15,source_group_holdout_70_15_15,0.7086709761201684,0.6959187554911098,0.012752220629058564,"{""mean"": 0.011885496685824188, ""ci95_low"": -0.03708275756473985, ""ci95_high"": 0.05935174889260747}","{""mean"": 0.7084085148685676, ""ci95_low"": 0.6753863938616811, ""ci95_high"": 0.7432351898723706}","{""mean"": 0.6965230181827435, ""ci95_low"": 0.6640862298881082, ""ci95_high"": 0.729004065534046}",0.3098450774612694,44,0
tigpr,random_minus_provenance_size_holdout_p4,random_stratified_70_15_15,provenance_size_holdout_p4,0.7086709761201684,0.6570969299567699,0.051574046163398446,"{""mean"": 0.05084289722702608, ""ci95_low"": 0.006518220525998058, ""ci95_high"": 0.09561198390178764}","{""mean"": 0.7079533784175246, ""ci95_low"": 0.6754727309197084, ""ci95_high"": 0.7418412455212503}","{""mean"": 0.6571104811904985, ""ci95_low"": 0.6297933249739447, ""ci95_high"": 0.6865103830361388}",0.010994502748625687,44,0
tigpr,random_minus_datasail_like_group_balance,random_stratified_70_15_15,datasail_like_group_balance,0.7086709761201684,0.6959187554911098,0.012752220629058564,"{""mean"": 0.012496535598394753, ""ci95_low"": -0.03405763192778904, ""ci95_high"": 0.060271684916121435}","{""mean"": 0.7086911165631111, ""ci95_low"": 0.6749182988501531, ""ci95_high"": 0.7415246595556908}","{""mean"": 0.6961945809647163, ""ci95_low"": 0.6625462191855014, ""ci95_high"": 0.7302042281500134}",0.2913543228385807,44,0
zenodo_14637589,random_minus_existing_fold_p2,random_stratified_70_15_15,existing_fold_p2,0.8961299744432275,0.8678473601830112,0.028282614260216277,"{""mean"": 0.02782546884373108, ""ci95_low"": -0.052220811850298414, ""ci95_high"": 0.10172492585394037}","{""mean"": 0.8957559936716564, ""ci95_low"": 0.8315078495801388, ""ci95_high"": 0.9527427893391748}","{""mean"": 0.8679305248279252, ""ci95_low"": 0.8195172187606605, ""ci95_high"": 0.9123401222583427}",0.24587706146926536,16,0
zenodo_14637589,random_minus_source_group_holdout_70_15_15,random_stratified_70_15_15,source_group_holdout_70_15_15,0.8961299744432275,0.8433881664760299,0.05274180796719763,"{""mean"": 0.05373905146104201, ""ci95_low"": -0.027278615504591406, ""ci95_high"": 0.129010151332889}","{""mean"": 0.8957676463429476, ""ci95_low"": 0.8254229037361567, ""ci95_high"": 0.9506739077522208}","{""mean"": 0.8420285948819055, ""ci95_low"": 0.7921522259346216, ""ci95_high"": 0.887721238938053}",0.09545227386306847,16,0
