dataset,protocol,model_family,feature_family,train_n,test_n,shared_train_test_groups,test_label_counts,accuracy,balanced_accuracy,macro_f1
mojahid,random_stratified_70_15_15,hog_sgd_logistic,hog,1761,380,157,"{""cavity"": 60, ""intact"": 182, ""utility"": 138}",0.8894736842105263,0.8529808355895313,0.8556645702306079
mojahid,random_stratified_70_15_15,hog_extra_trees,hog,1761,380,157,"{""cavity"": 60, ""intact"": 182, ""utility"": 138}",0.9026315789473685,0.8356293464989117,0.8569557003372354
mojahid,random_stratified_70_15_15,pixel32_sgd_logistic,pixel32,1761,380,157,"{""cavity"": 60, ""intact"": 182, ""utility"": 138}",0.881578947368421,0.8460981047937569,0.8657770552507396
mojahid,random_stratified_70_15_15,pixel32_extra_trees,pixel32,1761,380,157,"{""cavity"": 60, ""intact"": 182, ""utility"": 138}",0.9526315789473684,0.9062801932367149,0.926576241793633
mojahid,random_stratified_70_15_15,image_metadata_extra_trees,image_metadata,1761,380,157,"{""cavity"": 60, ""intact"": 182, ""utility"": 138}",0.9157894736842105,0.9192679301374952,0.9137181295406395
mojahid,existing_fold_p2,hog_sgd_logistic,hog,1512,586,0,"{""intact"": 257, ""cavity"": 112, ""utility"": 217}",0.8225255972696246,0.7703929004763698,0.780174464829788
mojahid,existing_fold_p2,hog_extra_trees,hog,1512,586,0,"{""intact"": 257, ""cavity"": 112, ""utility"": 217}",0.8481228668941979,0.7603178587865421,0.7715167548500882
mojahid,existing_fold_p2,pixel32_sgd_logistic,pixel32,1512,586,0,"{""intact"": 257, ""cavity"": 112, ""utility"": 217}",0.7474402730375427,0.667280433574208,0.6824758526886185
mojahid,existing_fold_p2,pixel32_extra_trees,pixel32,1512,586,0,"{""intact"": 257, ""cavity"": 112, ""utility"": 217}",0.8430034129692833,0.7377112135176652,0.7335854049042575
mojahid,existing_fold_p2,image_metadata_extra_trees,image_metadata,1512,586,0,"{""intact"": 257, ""cavity"": 112, ""utility"": 217}",0.9215017064846417,0.9144435827550551,0.9206099794069459
mojahid,source_group_holdout_70_15_15,hog_sgd_logistic,hog,1738,392,0,"{""intact"": 190, ""cavity"": 62, ""utility"": 140}",0.8086734693877551,0.731077694235589,0.7486045815137522
mojahid,source_group_holdout_70_15_15,hog_extra_trees,hog,1738,392,0,"{""intact"": 190, ""cavity"": 62, ""utility"": 140}",0.8520408163265306,0.7543455412725363,0.7692555318041207
mojahid,source_group_holdout_70_15_15,pixel32_sgd_logistic,pixel32,1738,392,0,"{""intact"": 190, ""cavity"": 62, ""utility"": 140}",0.6760204081632653,0.6263400436575309,0.6428372537966143
mojahid,source_group_holdout_70_15_15,pixel32_extra_trees,pixel32,1738,392,0,"{""intact"": 190, ""cavity"": 62, ""utility"": 140}",0.9030612244897959,0.8059382326784704,0.8250185180526556
mojahid,source_group_holdout_70_15_15,image_metadata_extra_trees,image_metadata,1738,392,0,"{""intact"": 190, ""cavity"": 62, ""utility"": 140}",0.8928571428571429,0.8910744603444094,0.8796135240371417
mojahid,provenance_size_holdout_p4,hog_sgd_logistic,hog,1705,534,0,"{""intact"": 260, ""cavity"": 85, ""utility"": 189}",0.7752808988764045,0.6859939987390967,0.7012765851946489
mojahid,provenance_size_holdout_p4,hog_extra_trees,hog,1705,534,0,"{""intact"": 260, ""cavity"": 85, ""utility"": 189}",0.8314606741573034,0.7070171658406953,0.7108298322457615
mojahid,provenance_size_holdout_p4,pixel32_sgd_logistic,pixel32,1705,534,0,"{""intact"": 260, ""cavity"": 85, ""utility"": 189}",0.7247191011235955,0.666502669443846,0.6842419701964203
mojahid,provenance_size_holdout_p4,pixel32_extra_trees,pixel32,1705,534,0,"{""intact"": 260, ""cavity"": 85, ""utility"": 189}",0.8576779026217228,0.7256976864820003,0.7263056723730384
mojahid,provenance_size_holdout_p4,image_metadata_extra_trees,image_metadata,1705,534,0,"{""intact"": 260, ""cavity"": 85, ""utility"": 189}",0.8202247191011236,0.8358667113569075,0.8179049636242768
mojahid,datasail_like_group_balance,hog_sgd_logistic,hog,1738,392,0,"{""intact"": 190, ""cavity"": 62, ""utility"": 140}",0.8086734693877551,0.731077694235589,0.7486045815137522
mojahid,datasail_like_group_balance,hog_extra_trees,hog,1738,392,0,"{""intact"": 190, ""cavity"": 62, ""utility"": 140}",0.8520408163265306,0.7543455412725363,0.7692555318041207
mojahid,datasail_like_group_balance,pixel32_sgd_logistic,pixel32,1738,392,0,"{""intact"": 190, ""cavity"": 62, ""utility"": 140}",0.6760204081632653,0.6263400436575309,0.6428372537966143
mojahid,datasail_like_group_balance,pixel32_extra_trees,pixel32,1738,392,0,"{""intact"": 190, ""cavity"": 62, ""utility"": 140}",0.9030612244897959,0.8059382326784704,0.8250185180526556
mojahid,datasail_like_group_balance,image_metadata_extra_trees,image_metadata,1738,392,0,"{""intact"": 190, ""cavity"": 62, ""utility"": 140}",0.8928571428571429,0.8910744603444094,0.8796135240371417
tigpr,random_stratified_70_15_15,hog_sgd_logistic,hog,5017,1076,44,"{""Crack"": 184, ""Interlayer_bonding_deficiency"": 303, ""Loose"": 315, ""No_damage"": 228, ""Void"": 46}",0.7853159851301115,0.7086709761201684,0.7154883146064883
tigpr,random_stratified_70_15_15,hog_extra_trees,hog,5017,1076,44,"{""Crack"": 184, ""Interlayer_bonding_deficiency"": 303, ""Loose"": 315, ""No_damage"": 228, ""Void"": 46}",0.8578066914498141,0.7791218719779791,0.8009616905308883
tigpr,random_stratified_70_15_15,pixel32_sgd_logistic,pixel32,5017,1076,44,"{""Crack"": 184, ""Interlayer_bonding_deficiency"": 303, ""Loose"": 315, ""No_damage"": 228, ""Void"": 46}",0.4349442379182156,0.4683629021614159,0.4513015724277363
tigpr,random_stratified_70_15_15,pixel32_extra_trees,pixel32,5017,1076,44,"{""Crack"": 184, ""Interlayer_bonding_deficiency"": 303, ""Loose"": 315, ""No_damage"": 228, ""Void"": 46}",0.9377323420074349,0.8405693060316166,0.8603144309647203
tigpr,random_stratified_70_15_15,image_metadata_extra_trees,image_metadata,5017,1076,44,"{""Crack"": 184, ""Interlayer_bonding_deficiency"": 303, ""Loose"": 315, ""No_damage"": 228, ""Void"": 46}",0.7862453531598513,0.7659229128208669,0.7424047384078264
tigpr,existing_fold_p2,hog_sgd_logistic,hog,4301,1434,49,"{""Crack"": 245, ""Interlayer_bonding_deficiency"": 404, ""Loose"": 420, ""No_damage"": 304, ""Void"": 61}",0.7880055788005579,0.7159558347895151,0.7231828882744529
tigpr,existing_fold_p2,hog_extra_trees,hog,4301,1434,49,"{""Crack"": 245, ""Interlayer_bonding_deficiency"": 404, ""Loose"": 420, ""No_damage"": 304, ""Void"": 61}",0.8556485355648535,0.7592203498404462,0.7755939787148788
tigpr,existing_fold_p2,pixel32_sgd_logistic,pixel32,4301,1434,49,"{""Crack"": 245, ""Interlayer_bonding_deficiency"": 404, ""Loose"": 420, ""No_damage"": 304, ""Void"": 61}",0.41562064156206413,0.43705697961020074,0.4225916141916996
tigpr,existing_fold_p2,pixel32_extra_trees,pixel32,4301,1434,49,"{""Crack"": 245, ""Interlayer_bonding_deficiency"": 404, ""Loose"": 420, ""No_damage"": 304, ""Void"": 61}",0.9393305439330544,0.8274868349427607,0.8414398891575552
tigpr,existing_fold_p2,image_metadata_extra_trees,image_metadata,4301,1434,49,"{""Crack"": 245, ""Interlayer_bonding_deficiency"": 404, ""Loose"": 420, ""No_damage"": 304, ""Void"": 61}",0.791492329149233,0.7550427257073051,0.7380445617100576
tigpr,source_group_holdout_70_15_15,hog_sgd_logistic,hog,5019,1075,0,"{""Crack"": 184, ""Interlayer_bonding_deficiency"": 303, ""Loose"": 315, ""No_damage"": 228, ""Void"": 45}",0.772093023255814,0.6959187554911098,0.7045461015580872
tigpr,source_group_holdout_70_15_15,hog_extra_trees,hog,5019,1075,0,"{""Crack"": 184, ""Interlayer_bonding_deficiency"": 303, ""Loose"": 315, ""No_damage"": 228, ""Void"": 45}",0.8372093023255814,0.7121985675193867,0.7001655154804652
tigpr,source_group_holdout_70_15_15,pixel32_sgd_logistic,pixel32,5019,1075,0,"{""Crack"": 184, ""Interlayer_bonding_deficiency"": 303, ""Loose"": 315, ""No_damage"": 228, ""Void"": 45}",0.4372093023255814,0.4687277312235964,0.4548400952781281
