dataset,protocol,seed,model,train_n,test_n,shared_train_test_groups,accuracy,balanced_accuracy,macro_f1
mojahid,random_stratified_70_15_15,20260811,hog_sgd_logistic,1761,380,157,0.8894736842105263,0.8529808355895313,0.8556645702306079
mojahid,random_stratified_70_15_15,20260812,hog_sgd_logistic,1761,380,157,0.881578947368421,0.8359505229070446,0.8489638147967922
mojahid,random_stratified_70_15_15,20260813,hog_sgd_logistic,1761,380,157,0.8710526315789474,0.8237325476455911,0.8371857032442481
mojahid,random_stratified_70_15_15,20260814,hog_sgd_logistic,1761,380,157,0.8894736842105263,0.8400568031002814,0.8533259695630829
mojahid,random_stratified_70_15_15,20260815,hog_sgd_logistic,1761,380,157,0.881578947368421,0.8339783405000795,0.8436438132098871
mojahid,existing_fold_p2,20260811,hog_sgd_logistic,1512,586,0,0.8225255972696246,0.7703929004763698,0.780174464829788
mojahid,existing_fold_p2,20260812,hog_sgd_logistic,1512,586,0,0.8139931740614335,0.7581530509781419,0.7694820110007762
mojahid,existing_fold_p2,20260813,hog_sgd_logistic,1512,586,0,0.8071672354948806,0.7517695762879019,0.7613743531664853
mojahid,existing_fold_p2,20260814,hog_sgd_logistic,1512,586,0,0.8327645051194539,0.7788922459909028,0.7921307805532379
mojahid,existing_fold_p2,20260815,hog_sgd_logistic,1512,586,0,0.8071672354948806,0.7443300340093361,0.755728925555809
mojahid,source_group_holdout_70_15_15,20260811,hog_sgd_logistic,1738,392,0,0.8086734693877551,0.731077694235589,0.7486045815137522
mojahid,source_group_holdout_70_15_15,20260812,hog_sgd_logistic,1738,392,0,0.8214285714285714,0.7551014633357588,0.7674893816591695
mojahid,source_group_holdout_70_15_15,20260813,hog_sgd_logistic,1738,392,0,0.8035714285714286,0.7179561807745168,0.73456892032711
mojahid,source_group_holdout_70_15_15,20260814,hog_sgd_logistic,1738,392,0,0.7882653061224489,0.7079189910259519,0.7248477812698587
mojahid,source_group_holdout_70_15_15,20260815,hog_sgd_logistic,1738,392,0,0.8061224489795918,0.7293233082706768,0.7481766154693293
mojahid,provenance_size_holdout_p4,20260811,hog_sgd_logistic,1705,534,0,0.7752808988764045,0.6859939987390967,0.7012765851946489
mojahid,provenance_size_holdout_p4,20260812,hog_sgd_logistic,1705,534,0,0.7752808988764045,0.6800019152960329,0.6956620735291549
mojahid,provenance_size_holdout_p4,20260813,hog_sgd_logistic,1705,534,0,0.7865168539325843,0.7121629278492024,0.7286713624809371
mojahid,provenance_size_holdout_p4,20260814,hog_sgd_logistic,1705,534,0,0.7771535580524345,0.6786444492326845,0.6959998981180849
mojahid,provenance_size_holdout_p4,20260815,hog_sgd_logistic,1705,534,0,0.7827715355805244,0.6940119067570047,0.7077119628339141
mojahid,datasail_like_group_balance,20260811,hog_sgd_logistic,1738,392,0,0.8086734693877551,0.731077694235589,0.7486045815137522
mojahid,datasail_like_group_balance,20260812,hog_sgd_logistic,1738,392,0,0.8214285714285714,0.7551014633357588,0.7674893816591695
mojahid,datasail_like_group_balance,20260813,hog_sgd_logistic,1738,392,0,0.8035714285714286,0.7179561807745168,0.73456892032711
mojahid,datasail_like_group_balance,20260814,hog_sgd_logistic,1738,392,0,0.7882653061224489,0.7079189910259519,0.7248477812698587
mojahid,datasail_like_group_balance,20260815,hog_sgd_logistic,1738,392,0,0.8061224489795918,0.7293233082706768,0.7481766154693293
tigpr,random_stratified_70_15_15,20260811,hog_sgd_logistic,5017,1076,44,0.7853159851301115,0.7086709761201684,0.7154883146064883
tigpr,random_stratified_70_15_15,20260812,hog_sgd_logistic,5017,1076,44,0.7760223048327137,0.707031056979513,0.7141315490516064
tigpr,random_stratified_70_15_15,20260813,hog_sgd_logistic,5017,1076,44,0.7723048327137546,0.7072394988763342,0.7127168719288266
tigpr,random_stratified_70_15_15,20260814,hog_sgd_logistic,5017,1076,44,0.7760223048327137,0.714919667514316,0.7187930103879102
tigpr,random_stratified_70_15_15,20260815,hog_sgd_logistic,5017,1076,44,0.7769516728624535,0.7297119017230261,0.725834678881194
tigpr,existing_fold_p2,20260811,hog_sgd_logistic,4301,1434,49,0.7880055788005579,0.7159558347895151,0.7231828882744529
tigpr,existing_fold_p2,20260812,hog_sgd_logistic,4301,1434,49,0.7907949790794979,0.7194610083246002,0.7313726016761868
tigpr,existing_fold_p2,20260813,hog_sgd_logistic,4301,1434,49,0.7852161785216178,0.7161355807667894,0.7203991028177845
tigpr,existing_fold_p2,20260814,hog_sgd_logistic,4301,1434,49,0.7887029288702929,0.7166718926783419,0.7259155182134103
tigpr,existing_fold_p2,20260815,hog_sgd_logistic,4301,1434,49,0.793584379358438,0.7187217039747326,0.7297286423516705
tigpr,source_group_holdout_70_15_15,20260811,hog_sgd_logistic,5019,1075,0,0.772093023255814,0.6959187554911098,0.7045461015580872
tigpr,source_group_holdout_70_15_15,20260812,hog_sgd_logistic,5019,1075,0,0.7841860465116279,0.6982188737016886,0.7124020689985395
tigpr,source_group_holdout_70_15_15,20260813,hog_sgd_logistic,5019,1075,0,0.7730232558139535,0.690375335670213,0.7026702601904302
tigpr,source_group_holdout_70_15_15,20260814,hog_sgd_logistic,5019,1075,0,0.7916279069767442,0.7064863982311929,0.7190505678783914
tigpr,source_group_holdout_70_15_15,20260815,hog_sgd_logistic,5019,1075,0,0.7934883720930233,0.7106629286661912,0.7233264724366786
tigpr,provenance_size_holdout_p4,20260811,hog_sgd_logistic,5016,1436,0,0.7493036211699164,0.6570969299567699,0.666441906116341
tigpr,provenance_size_holdout_p4,20260812,hog_sgd_logistic,5016,1436,0,0.7388579387186629,0.650374058421496,0.6618694079239041
tigpr,provenance_size_holdout_p4,20260813,hog_sgd_logistic,5016,1436,0,0.7325905292479109,0.6412041648513428,0.6524225674603343
tigpr,provenance_size_holdout_p4,20260814,hog_sgd_logistic,5016,1436,0,0.7263231197771588,0.6398294892197219,0.6499022896612487
tigpr,provenance_size_holdout_p4,20260815,hog_sgd_logistic,5016,1436,0,0.7388579387186629,0.6528672471431785,0.6626134927437202
tigpr,datasail_like_group_balance,20260811,hog_sgd_logistic,5019,1075,0,0.772093023255814,0.6959187554911098,0.7045461015580872
tigpr,datasail_like_group_balance,20260812,hog_sgd_logistic,5019,1075,0,0.7841860465116279,0.6982188737016886,0.7124020689985395
tigpr,datasail_like_group_balance,20260813,hog_sgd_logistic,5019,1075,0,0.7730232558139535,0.690375335670213,0.7026702601904302
tigpr,datasail_like_group_balance,20260814,hog_sgd_logistic,5019,1075,0,0.7916279069767442,0.7064863982311929,0.7190505678783914
tigpr,datasail_like_group_balance,20260815,hog_sgd_logistic,5019,1075,0,0.7934883720930233,0.7106629286661912,0.7233264724366786
zenodo_14637589,random_stratified_70_15_15,20260811,byte_signature_sgd_logistic,638,138,16,0.9057971014492754,0.8961299744432275,0.8901253336035945
zenodo_14637589,random_stratified_70_15_15,20260812,byte_signature_sgd_logistic,638,138,16,0.8985507246376812,0.8860289643422173,0.8826665357080495
zenodo_14637589,random_stratified_70_15_15,20260813,byte_signature_sgd_logistic,638,138,16,0.8985507246376812,0.8921139101861993,0.8848669929485364
