model,split,seed,n_train,n_test,train_groups,test_groups,shared_groups,test_label_counts,accuracy,balanced_accuracy,confusion_matrix_labels,confusion_matrix
sgd_logistic,random_stratified_70_30,0,639,275,19,18,17,"{""pipe"": 167, ""rebar"": 65, ""tunnel"": 43}",0.92,0.9053827943397641,"[""pipe"", ""rebar"", ""tunnel""]","[[157, 3, 7], [7, 58, 0], [5, 0, 38]]"
sgd_logistic,random_stratified_70_30,1,639,275,19,18,17,"{""pipe"": 167, ""rebar"": 65, ""tunnel"": 43}",0.9418181818181818,0.9209995036760112,"[""pipe"", ""rebar"", ""tunnel""]","[[161, 5, 1], [4, 61, 0], [6, 0, 37]]"
sgd_logistic,random_stratified_70_30,2,639,275,19,19,18,"{""pipe"": 167, ""rebar"": 65, ""tunnel"": 43}",0.9454545454545454,0.9141073845154057,"[""pipe"", ""rebar"", ""tunnel""]","[[164, 2, 1], [5, 60, 0], [7, 0, 36]]"
sgd_logistic,random_stratified_70_30,3,639,275,20,18,18,"{""pipe"": 167, ""rebar"": 65, ""tunnel"": 43}",0.92,0.8839658786184339,"[""pipe"", ""rebar"", ""tunnel""]","[[163, 4, 0], [12, 53, 0], [6, 0, 37]]"
sgd_logistic,random_stratified_70_30,4,639,275,19,20,19,"{""pipe"": 167, ""rebar"": 65, ""tunnel"": 43}",0.9163636363636364,0.8867088720591019,"[""pipe"", ""rebar"", ""tunnel""]","[[163, 3, 1], [16, 49, 0], [3, 0, 40]]"
sgd_logistic,project_group_stratified_70_30,0,641,273,14,6,0,"{""pipe"": 90, ""rebar"": 135, ""tunnel"": 48}",0.45787545787545786,0.5925925925925926,"[""pipe"", ""rebar"", ""tunnel""]","[[85, 4, 1], [135, 0, 0], [8, 0, 40]]"
sgd_logistic,project_group_stratified_70_30,1,478,436,14,6,0,"{""pipe"": 355, ""rebar"": 33, ""tunnel"": 48}",0.9151376146788991,0.8991979655712051,"[""pipe"", ""rebar"", ""tunnel""]","[[329, 12, 14], [0, 33, 0], [11, 0, 37]]"
sgd_logistic,project_group_stratified_70_30,2,646,268,14,6,0,"{""pipe"": 85, ""rebar"": 135, ""tunnel"": 48}",0.4925373134328358,0.6373456790123456,"[""pipe"", ""rebar"", ""tunnel""]","[[85, 0, 0], [130, 5, 0], [6, 0, 42]]"
sgd_logistic,project_group_stratified_70_30,3,443,471,14,6,0,"{""pipe"": 390, ""rebar"": 33, ""tunnel"": 48}",0.7898089171974523,0.9032051282051282,"[""pipe"", ""rebar"", ""tunnel""]","[[293, 33, 64], [0, 33, 0], [1, 1, 46]]"
sgd_logistic,project_group_stratified_70_30,4,756,158,14,6,0,"{""pipe"": 89, ""rebar"": 21, ""tunnel"": 48}",0.9240506329113924,0.8905497592295345,"[""pipe"", ""rebar"", ""tunnel""]","[[86, 1, 2], [4, 17, 0], [5, 0, 43]]"
extra_trees,random_stratified_70_30,0,639,275,19,18,17,"{""pipe"": 167, ""rebar"": 65, ""tunnel"": 43}",0.9745454545454545,0.9682516898225016,"[""pipe"", ""rebar"", ""tunnel""]","[[164, 3, 0], [2, 63, 0], [1, 1, 41]]"
extra_trees,random_stratified_70_30,1,639,275,19,18,17,"{""pipe"": 167, ""rebar"": 65, ""tunnel"": 43}",0.9709090909090909,0.9782760061272803,"[""pipe"", ""rebar"", ""tunnel""]","[[160, 7, 0], [0, 65, 0], [1, 0, 42]]"
extra_trees,random_stratified_70_30,2,639,275,19,19,18,"{""pipe"": 167, ""rebar"": 65, ""tunnel"": 43}",0.9745454545454545,0.9740076198229658,"[""pipe"", ""rebar"", ""tunnel""]","[[163, 4, 0], [2, 63, 0], [1, 0, 42]]"
extra_trees,random_stratified_70_30,3,639,275,20,18,18,"{""pipe"": 167, ""rebar"": 65, ""tunnel"": 43}",0.9709090909090909,0.9552522861254236,"[""pipe"", ""rebar"", ""tunnel""]","[[164, 3, 0], [0, 65, 0], [5, 0, 38]]"
extra_trees,random_stratified_70_30,4,639,275,19,20,19,"{""pipe"": 167, ""rebar"": 65, ""tunnel"": 43}",0.96,0.9628913907426649,"[""pipe"", ""rebar"", ""tunnel""]","[[160, 7, 0], [3, 62, 0], [1, 0, 42]]"
extra_trees,project_group_stratified_70_30,0,641,273,14,6,0,"{""pipe"": 90, ""rebar"": 135, ""tunnel"": 48}",0.5421245421245421,0.6868827160493827,"[""pipe"", ""rebar"", ""tunnel""]","[[90, 0, 0], [124, 11, 0], [1, 0, 47]]"
extra_trees,project_group_stratified_70_30,1,478,436,14,6,0,"{""pipe"": 355, ""rebar"": 33, ""tunnel"": 48}",0.8853211009174312,0.9230242566510172,"[""pipe"", ""rebar"", ""tunnel""]","[[310, 45, 0], [0, 33, 0], [4, 1, 43]]"
extra_trees,project_group_stratified_70_30,2,646,268,14,6,0,"{""pipe"": 85, ""rebar"": 135, ""tunnel"": 48}",0.5559701492537313,0.6972222222222223,"[""pipe"", ""rebar"", ""tunnel""]","[[85, 0, 0], [117, 18, 0], [2, 0, 46]]"
extra_trees,project_group_stratified_70_30,3,443,471,14,6,0,"{""pipe"": 390, ""rebar"": 33, ""tunnel"": 48}",0.7664543524416136,0.8998931623931624,"[""pipe"", ""rebar"", ""tunnel""]","[[281, 56, 53], [0, 33, 0], [1, 0, 47]]"
extra_trees,project_group_stratified_70_30,4,756,158,14,6,0,"{""pipe"": 89, ""rebar"": 21, ""tunnel"": 48}",0.9873417721518988,0.9925093632958801,"[""pipe"", ""rebar"", ""tunnel""]","[[87, 2, 0], [0, 21, 0], [0, 0, 48]]"
