dataset,protocol,sample_id,label,source_group,split_role,file_sha256,source_manifest,protocol_seed,notes
deepmask_gpr,existing_fold_p2,deepmask_gpr::cavities::1,cavity,cavity::1,test,160671b257b8de06992d25330f0cd36485616b473f26a2e54a204ac8643c948a,data_manifests/deepmask_gpr_unified_samples_20260811.csv,20260811,existing fold_id P2-style split when available; group fallback otherwise
deepmask_gpr,existing_fold_p2,deepmask_gpr::cavities::10,cavity,cavity::10,test,6e81e3ab064b297e276ee569f2b86099996ca5ec06c24cde8f6ede7732220845,data_manifests/deepmask_gpr_unified_samples_20260811.csv,20260811,existing fold_id P2-style split when available; group fallback otherwise
deepmask_gpr,existing_fold_p2,deepmask_gpr::cavities::11,cavity,cavity::11,train,b95ee6af0d06e646db0aaa75e64f4874f9f974a23170ef9e7f33531bb2b5cfc3,data_manifests/deepmask_gpr_unified_samples_20260811.csv,20260811,existing fold_id P2-style split when available; group fallback otherwise
deepmask_gpr,existing_fold_p2,deepmask_gpr::cavities::12,cavity,cavity::12,val,99e3d60b632058ae42a4d566b00901ddc552e7a12b70fb12bf9df86c5d029fc0,data_manifests/deepmask_gpr_unified_samples_20260811.csv,20260811,existing fold_id P2-style split when available; group fallback otherwise
deepmask_gpr,existing_fold_p2,deepmask_gpr::cavities::14,cavity,cavity::14,train,8346f03776af7e64bf8789f2be20ca7a7a8469baf2637d51e366e506f73b3a1b,data_manifests/deepmask_gpr_unified_samples_20260811.csv,20260811,existing fold_id P2-style split when available; group fallback otherwise
deepmask_gpr,existing_fold_p2,deepmask_gpr::cavities::15,cavity,cavity::15,train,fbd4c550a5ec12efd28bd1ed5c9236225d0cbb280035df008e8d22ca63c899c0,data_manifests/deepmask_gpr_unified_samples_20260811.csv,20260811,existing fold_id P2-style split when available; group fallback otherwise
deepmask_gpr,existing_fold_p2,deepmask_gpr::cavities::16,cavity,cavity::16,train,da1b05c1968eee32890e546072578327ac682c2a2d632bcf28dd6662f3bf309c,data_manifests/deepmask_gpr_unified_samples_20260811.csv,20260811,existing fold_id P2-style split when available; group fallback otherwise
deepmask_gpr,existing_fold_p2,deepmask_gpr::cavities::17,cavity,cavity::17,train,93940cca611ca8be1d7334c86f3bd3b1caaf87cfc1e874182fcd82f1857ff558,data_manifests/deepmask_gpr_unified_samples_20260811.csv,20260811,existing fold_id P2-style split when available; group fallback otherwise
deepmask_gpr,existing_fold_p2,deepmask_gpr::cavities::18,cavity,cavity::18,test,3940058053ade0581149cd4dd00e44da683ca2c8b312720f15f4fd2d038ea8bd,data_manifests/deepmask_gpr_unified_samples_20260811.csv,20260811,existing fold_id P2-style split when available; group fallback otherwise
deepmask_gpr,existing_fold_p2,deepmask_gpr::cavities::19,cavity,cavity::19,test,00b068e5211228612df4a5ddace04d63dac988c2787ed7df7fc0952b5c656ba1,data_manifests/deepmask_gpr_unified_samples_20260811.csv,20260811,existing fold_id P2-style split when available; group fallback otherwise
deepmask_gpr,existing_fold_p2,deepmask_gpr::cavities::2,cavity,cavity::2,train,0139f14aa423e6a1a9b33a5144366a7d19998e10f3116549ca945c8e587a4e11,data_manifests/deepmask_gpr_unified_samples_20260811.csv,20260811,existing fold_id P2-style split when available; group fallback otherwise
