dataset,protocol,sample_id,label,source_group,split_role,file_sha256,source_manifest,protocol_seed,notes
tigpr,existing_fold_p2,tigpr:Crack:1,Crack,sha256:7b58de94b88dcdfda29c34b15027bebf2e4ba690abb0d5bb2a266c704ae72a8d,test,7b58de94b88dcdfda29c34b15027bebf2e4ba690abb0d5bb2a266c704ae72a8d,data_manifests/tigpr_unified_samples_20260810.csv,20260811,existing fold_id P2-style split when available; group fallback otherwise
tigpr,existing_fold_p2,tigpr:Crack:2,Crack,sha256:2e4fd150598473b14c77c3ae1adbbc7cb877e973c5fea00be217ac5a191c5b30,val,2e4fd150598473b14c77c3ae1adbbc7cb877e973c5fea00be217ac5a191c5b30,data_manifests/tigpr_unified_samples_20260810.csv,20260811,existing fold_id P2-style split when available; group fallback otherwise
tigpr,existing_fold_p2,tigpr:Crack:3,Crack,sha256:66fb8810a7fe2234c065473dfbdc6814b5590a0a73d4e6c9fe08b5715114603f,train,66fb8810a7fe2234c065473dfbdc6814b5590a0a73d4e6c9fe08b5715114603f,data_manifests/tigpr_unified_samples_20260810.csv,20260811,existing fold_id P2-style split when available; group fallback otherwise
tigpr,existing_fold_p2,tigpr:Crack:4,Crack,sha256:66fb8810a7fe2234c065473dfbdc6814b5590a0a73d4e6c9fe08b5715114603f,train,66fb8810a7fe2234c065473dfbdc6814b5590a0a73d4e6c9fe08b5715114603f,data_manifests/tigpr_unified_samples_20260810.csv,20260811,existing fold_id P2-style split when available; group fallback otherwise
tigpr,existing_fold_p2,tigpr:Crack:5,Crack,sha256:69173606e81c70c24b95efb39769302742f2be590814a76d15213b63b91c6a4c,train,69173606e81c70c24b95efb39769302742f2be590814a76d15213b63b91c6a4c,data_manifests/tigpr_unified_samples_20260810.csv,20260811,existing fold_id P2-style split when available; group fallback otherwise
tigpr,existing_fold_p2,tigpr:Crack:6,Crack,sha256:433edba633374bd76df06aeeea1768e2f4f744d8b2d7bd6501176abda91cb6ae,test,433edba633374bd76df06aeeea1768e2f4f744d8b2d7bd6501176abda91cb6ae,data_manifests/tigpr_unified_samples_20260810.csv,20260811,existing fold_id P2-style split when available; group fallback otherwise
tigpr,existing_fold_p2,tigpr:Crack:7,Crack,sha256:1cfd9064a6a88937d3f1d0d39e210b70902a88f5d7f4b80900e82dc0f7351b3a,val,1cfd9064a6a88937d3f1d0d39e210b70902a88f5d7f4b80900e82dc0f7351b3a,data_manifests/tigpr_unified_samples_20260810.csv,20260811,existing fold_id P2-style split when available; group fallback otherwise
tigpr,existing_fold_p2,tigpr:Crack:8,Crack,sha256:1cfd9064a6a88937d3f1d0d39e210b70902a88f5d7f4b80900e82dc0f7351b3a,train,1cfd9064a6a88937d3f1d0d39e210b70902a88f5d7f4b80900e82dc0f7351b3a,data_manifests/tigpr_unified_samples_20260810.csv,20260811,existing fold_id P2-style split when available; group fallback otherwise
tigpr,existing_fold_p2,tigpr:Crack:9,Crack,sha256:29cd34dfc4408b8f701462c1e6c8324f995051061b6c4948fb6dff80d90edf3b,train,29cd34dfc4408b8f701462c1e6c8324f995051061b6c4948fb6dff80d90edf3b,data_manifests/tigpr_unified_samples_20260810.csv,20260811,existing fold_id P2-style split when available; group fallback otherwise
tigpr,existing_fold_p2,tigpr:Crack:10,Crack,sha256:898ae4686356609ced9f4042b69482fc1a6ec0f4e8c94968bddd34b5b7ae57be,train,898ae4686356609ced9f4042b69482fc1a6ec0f4e8c94968bddd34b5b7ae57be,data_manifests/tigpr_unified_samples_20260810.csv,20260811,existing fold_id P2-style split when available; group fallback otherwise
tigpr,existing_fold_p2,tigpr:Crack:11,Crack,sha256:898ae4686356609ced9f4042b69482fc1a6ec0f4e8c94968bddd34b5b7ae57be,test,898ae4686356609ced9f4042b69482fc1a6ec0f4e8c94968bddd34b5b7ae57be,data_manifests/tigpr_unified_samples_20260810.csv,20260811,existing fold_id P2-style split when available; group fallback otherwise
tigpr,existing_fold_p2,tigpr:Crack:12,Crack,sha256:541135fb730415bf8e9246ea00cacdfd8e8d3319233045d9ee2bcf602f98295d,val,541135fb730415bf8e9246ea00cacdfd8e8d3319233045d9ee2bcf602f98295d,data_manifests/tigpr_unified_samples_20260810.csv,20260811,existing fold_id P2-style split when available; group fallback otherwise
tigpr,existing_fold_p2,tigpr:Crack:13,Crack,sha256:f974d7bc550e52b4bb22f30214d1c015fb580ccdcb4d543fc893270106fd9bc4,train,f974d7bc550e52b4bb22f30214d1c015fb580ccdcb4d543fc893270106fd9bc4,data_manifests/tigpr_unified_samples_20260810.csv,20260811,existing fold_id P2-style split when available; group fallback otherwise
tigpr,existing_fold_p2,tigpr:Crack:14,Crack,sha256:b2e7464583ce24811c7e493ea56772d107dda54c0cc541dae8818e54472b30c3,train,b2e7464583ce24811c7e493ea56772d107dda54c0cc541dae8818e54472b30c3,data_manifests/tigpr_unified_samples_20260810.csv,20260811,existing fold_id P2-style split when available; group fallback otherwise
tigpr,existing_fold_p2,tigpr:Crack:15,Crack,sha256:efb6056df9dc6ab0b66b692d413a167fe5a8249906116c349ae0d2c013e98048,train,efb6056df9dc6ab0b66b692d413a167fe5a8249906116c349ae0d2c013e98048,data_manifests/tigpr_unified_samples_20260810.csv,20260811,existing fold_id P2-style split when available; group fallback otherwise
tigpr,existing_fold_p2,tigpr:Crack:16,Crack,sha256:ce10c8a4b06078cb4f54d0313050eb586c906c7b14a3da81b38d2b4c916632b6,test,ce10c8a4b06078cb4f54d0313050eb586c906c7b14a3da81b38d2b4c916632b6,data_manifests/tigpr_unified_samples_20260810.csv,20260811,existing fold_id P2-style split when available; group fallback otherwise
tigpr,existing_fold_p2,tigpr:Crack:17,Crack,sha256:40bb67f7fc0ce3f9ad43dc8f3ae724d75e9bd47c199c1326851340e371a4a0bd,val,40bb67f7fc0ce3f9ad43dc8f3ae724d75e9bd47c199c1326851340e371a4a0bd,data_manifests/tigpr_unified_samples_20260810.csv,20260811,existing fold_id P2-style split when available; group fallback otherwise
tigpr,existing_fold_p2,tigpr:Crack:18,Crack,sha256:40bb67f7fc0ce3f9ad43dc8f3ae724d75e9bd47c199c1326851340e371a4a0bd,train,40bb67f7fc0ce3f9ad43dc8f3ae724d75e9bd47c199c1326851340e371a4a0bd,data_manifests/tigpr_unified_samples_20260810.csv,20260811,existing fold_id P2-style split when available; group fallback otherwise
tigpr,existing_fold_p2,tigpr:Crack:19,Crack,sha256:93597d0f95249ec5b7824d23cc1a4b9e9ca3f95c074db9c66731c1c5991ca5ce,train,93597d0f95249ec5b7824d23cc1a4b9e9ca3f95c074db9c66731c1c5991ca5ce,data_manifests/tigpr_unified_samples_20260810.csv,20260811,existing fold_id P2-style split when available; group fallback otherwise
tigpr,existing_fold_p2,tigpr:Crack:20,Crack,sha256:d314d8a356e52bcd4d948bdf61192b9e316784a425db58ecc08dd45f2e07dca4,train,d314d8a356e52bcd4d948bdf61192b9e316784a425db58ecc08dd45f2e07dca4,data_manifests/tigpr_unified_samples_20260810.csv,20260811,existing fold_id P2-style split when available; group fallback otherwise
tigpr,existing_fold_p2,tigpr:Crack:21,Crack,sha256:d314d8a356e52bcd4d948bdf61192b9e316784a425db58ecc08dd45f2e07dca4,test,d314d8a356e52bcd4d948bdf61192b9e316784a425db58ecc08dd45f2e07dca4,data_manifests/tigpr_unified_samples_20260810.csv,20260811,existing fold_id P2-style split when available; group fallback otherwise
